Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220713\VL_CU_APS_CADR_Smoke_Background_SCAN2.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22
Start Time,14:10:01,14:13:00,14:16:00,14:19:00,14:22:00,14:25:00,14:28:00,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:01,14:52:01,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,0.000268581,0.000120035,5.59297e-005,2.73851e-005,1.34014e-005,0.00157251,0.00742442,0.00672905,0.00617989,0.00576802,0.00544503,0.00517078,0.00489418,0.00464682,0.00447101,0.00429759,0.00413247,0.00393407,0.00378528,0.00364757,0.00350854,0.00338164,0.00328416,0.0031788,0.00305682,0.00295047
0.542,0.000124423,5.32116e-005,2.4272e-005,1.20193e-005,5.42619e-006,0.000845931,0.00416702,0.00378739,0.00344613,0.00316396,0.00293227,0.00274157,0.00257814,0.00246253,0.00230648,0.00217975,0.00205994,0.00198283,0.001891,0.00180459,0.0017199,0.00165035,0.00157109,0.00150203,0.00144135,0.0013875
0.583,0.000110235,4.89812e-005,2.33503e-005,1.10054e-005,5.6113e-006,0.00085404,0.00427892,0.00386423,0.00346641,0.0032,0.00294608,0.00275797,0.00259582,0.00246876,0.00228832,0.00215821,0.00202894,0.00196497,0.0018636,0.00177035,0.00169776,0.00160519,0.00151762,0.00144746,0.00139736,0.00134432
0.626,9.70366e-005,4.26332e-005,2.04855e-005,8.04146e-006,4.80691e-006,0.000811648,0.00406345,0.00366169,0.00332279,0.00302907,0.00279075,0.00259276,0.00241904,0.00231199,0.00215237,0.00200493,0.00189522,0.00182963,0.00173731,0.00164967,0.00155533,0.00148551,0.00138255,0.00132127,0.00128529,0.00123097
0.673,8.36225e-005,3.76859e-005,1.72262e-005,6.91279e-006,4.62711e-006,0.000734707,0.00373642,0.00333698,0.00303187,0.00273875,0.00252562,0.00235224,0.0021923,0.00206865,0.00194155,0.00181427,0.00171058,0.0016569,0.00155103,0.00147945,0.00140575,0.00131521,0.00124475,0.00118487,0.00114016,0.00109378
0.723,7.23625e-005,2.89173e-005,1.29367e-005,6.6413e-006,2.90557e-006,0.000657281,0.00332667,0.00296257,0.00267395,0.00245057,0.00224372,0.00208758,0.00194057,0.00183487,0.00169194,0.0016065,0.00152695,0.00145749,0.0013697,0.00128668,0.00123175,0.00118125,0.0011028,0.00103196,0.00099744,0.000940782
0.777,5.84627e-005,2.64413e-005,1.10744e-005,5.23675e-006,2.23206e-006,0.000583425,0.00298065,0.0026473,0.00239294,0.00217196,0.0020043,0.00188454,0.00173714,0.00165318,0.00154544,0.00139924,0.00135022,0.0012836,0.00122548,0.00114496,0.00110401,0.00103482,0.000972662,0.000929737,0.00088192,0.000852388
0.835,4.61285e-005,2.15196e-005,7.98993e-006,3.51557e-006,1.91758e-006,0.000528507,0.00266065,0.00236832,0.00210125,0.00191545,0.00175928,0.00163474,0.00150871,0.00142817,0.00134476,0.00126816,0.00117228,0.00109952,0.00106234,0.00101579,0.000945049,0.000901904,0.000848531,0.000784825,0.000762453,0.000718135
0.898,4.41548e-005,1.66572e-005,7.53541e-006,2.9084e-006,1.4542e-006,0.000480547,0.00235277,0.00209458,0.00183547,0.0016915,0.0015667,0.00143503,0.00134143,0.00128829,0.00118755,0.00110995,0.00103698,0.000991369,0.000936638,0.000882039,0.000823739,0.000779452,0.000742304,0.000689952,0.000675014,0.000637998
0.965,2.34595e-005,1.11555e-005,4.75751e-006,1.64052e-006,1.47647e-006,0.000410786,0.00201341,0.00178226,0.00157818,0.0014622,0.00131849,0.00123039,0.0011336,0.00106716,0.000995468,0.000908356,0.00083683,0.000817964,0.000750702,0.000695253,0.000660474,0.00061175,0.000594361,0.000530544,0.000502328,0.000483626
1.037,1.95435e-005,8.55029e-006,1.83221e-006,8.14314e-007,2.03578e-007,0.000336515,0.00173205,0.00147961,0.00134728,0.00117241,0.00110828,0.00098593,0.000937682,0.000854215,0.000818385,0.000740008,0.000667941,0.000656133,0.000599946,0.000557194,0.000543351,0.000513628,0.000458459,0.000430365,0.000401253,0.000391481
1.114,1.49051e-005,6.82096e-006,3.28417e-006,5.05256e-007,1.7684e-006,0.00030947,0.00153674,0.00131367,0.00115653,0.00106609,0.000987776,0.000908956,0.000835189,0.000784158,0.000715948,0.000639149,0.00060555,0.000552498,0.000520161,0.000482015,0.000464078,0.000417594,0.0003989,0.000393089,0.000343069,0.000338269
1.197,1.34803e-005,5.95642e-006,1.88098e-006,3.13496e-007,0,0.000291865,0.00143644,0.00125085,0.00113141,0.00100005,0.000887507,0.000836094,0.000748942,0.000703485,0.000626678,0.000574324,0.000549245,0.000519463,0.0004762,0.000443597,0.000396259,0.000381211,0.000352369,0.00032102,0.000310988,0.000288416
1.286,1.90624e-005,4.66835e-006,3.11223e-006,3.89029e-007,7.78058e-007,0.000287881,0.00135226,0.00117098,0.00103871,0.00092939,0.000828632,0.000794008,0.000714646,0.000661738,0.000611164,0.000562147,0.000504182,0.000473448,0.00046061,0.000402256,0.000370745,0.000365298,0.000326006,0.000285158,0.000283213,0.000250146
1.382,1.25518e-005,5.31037e-006,2.4138e-006,4.82761e-007,4.82761e-007,0.000286277,0.00142897,0.00122187,0.00107414,0.000943314,0.000872831,0.000795107,0.000725107,0.000691796,0.000592347,0.000562416,0.000516554,0.00044945,0.00042145,0.000420485,0.00037076,0.000372691,0.000319105,0.000304139,0.000289656,0.000263105
1.486,1.13824e-005,4.19353e-006,1.79723e-006,0,1.79723e-006,0.00028516,0.00144078,0.00121073,0.00109391,0.00094654,0.000888429,0.000788384,0.000675158,0.000643407,0.00055115,0.000491841,0.000496634,0.000457694,0.000422348,0.000366634,0.000357049,0.000319906,0.000309722,0.000260598,0.000255206,0.000221059
1.596,8.17757e-006,3.71708e-006,0,0,1.48683e-006,0.000228229,0.00106978,0.000930013,0.000797685,0.000712192,0.000601423,0.000561279,0.000487681,0.000480247,0.000382859,0.000368734,0.000331563,0.000334537,0.000281011,0.00026986,0.000254992,0.000222281,0.000196262,0.000198492,0.000156861,0.000165038
1.715,2.7676e-006,1.84507e-006,1.84507e-006,1.84507e-006,0,0.000199267,0.00100464,0.000867181,0.000746329,0.000677139,0.000540604,0.000506471,0.000440048,0.000386541,0.000334879,0.000321041,0.000318274,0.00026938,0.000239859,0.000216795,0.000216795,0.000194654,0.000190964,0.000170669,0.000166978,0.000131
1.843,2.28961e-006,0,0,0,0,0.000220948,0.00110245,0.000906686,0.000784192,0.000674291,0.00059072,0.00050028,0.000476239,0.000421289,0.000382365,0.000338863,0.000289636,0.000277043,0.000227816,0.00020492,0.000191183,0.000163707,0.000154549,0.000124784,0.000127073,0.000112191
1.981,1.42063e-006,2.84127e-006,0,0,0,0.000150587,0.000892157,0.000775666,0.000644967,0.000552626,0.000451761,0.000353738,0.000329587,0.000267079,0.000218777,0.000230143,0.000196047,0.000176158,0.000166214,0.000137801,0.000139222,0.000110809,8.38173e-005,7.10316e-005,7.10316e-005,6.67697e-005
2.129,7.05167e-006,0,0,0,0,0.000111064,0.000599392,0.000514772,0.000400182,0.000347295,0.000313799,0.000269726,0.000229179,0.000186869,0.000192158,0.000149848,0.000133982,0.000102249,0.00012693,7.58054e-005,9.69604e-005,7.75684e-005,7.93313e-005,6.87538e-005,5.11246e-005,5.64134e-005
2.288,2.18767e-006,0,0,0,0,5.90671e-005,0.000500976,0.000400344,0.000334714,0.000260333,0.000220955,0.000218767,0.000166263,0.000155325,0.000140011,0.000109383,0.000142199,9.84451e-005,0.000105008,8.75068e-005,8.75068e-005,7.00054e-005,6.78178e-005,7.21931e-005,3.71904e-005,4.15657e-005
2.458,0,0,0,0,0,6.51543e-005,0.000415359,0.000312198,0.000314912,0.000244329,0.000230755,0.000179174,0.000133023,0.000154741,0.00011402,9.77315e-005,8.14429e-005,6.51543e-005,7.87281e-005,6.51543e-005,7.60134e-005,8.14429e-005,6.24395e-005,5.701e-005,5.42953e-005,5.42953e-005
2.642,0,0,0,0,0,3.03197e-005,0.000289721,0.000279615,0.000202131,0.000138123,0.000171811,0.000154967,0.000148229,7.41147e-005,0.000128016,7.07459e-005,8.08524e-005,7.07459e-005,4.37951e-005,5.72705e-005,5.72705e-005,7.41147e-005,6.06393e-005,5.05328e-005,6.40082e-005,2.02131e-005
2.839,0,0,0,0,0,2.50832e-005,0.000263374,0.000142138,0.000104513,9.61523e-005,9.19718e-005,0.000121236,7.10691e-005,4.59859e-005,5.85275e-005,5.4347e-005,4.59859e-005,5.01664e-005,2.92637e-005,2.92637e-005,2.92637e-005,2.09027e-005,1.25416e-005,2.92637e-005,3.34443e-005,1.67221e-005
3.051,0,0,0,0,0,1.03756e-005,6.74412e-005,9.33801e-005,6.22534e-005,7.2629e-005,4.15023e-005,8.30045e-005,3.11267e-005,3.11267e-005,2.59389e-005,4.15023e-005,5.18778e-006,2.07511e-005,1.55634e-005,5.18778e-006,5.18778e-006,1.03756e-005,0,1.55634e-005,2.07511e-005,0
3.278,0,0,0,0,0,1.28754e-005,3.86263e-005,3.21886e-005,4.5064e-005,5.79395e-005,1.93132e-005,1.93132e-005,6.43772e-006,1.93132e-005,1.93132e-005,1.28754e-005,1.93132e-005,6.43772e-006,0,1.28754e-005,0,0,1.28754e-005,1.28754e-005,6.43772e-006,0
3.523,0,0,0,0,0,0,7.98881e-006,7.98881e-006,2.39664e-005,2.39664e-005,7.98881e-006,1.59776e-005,0,4.79328e-005,0,1.59776e-005,7.98881e-006,0,7.98881e-006,0,0,0,7.98881e-006,0,0,0
3.786,0,0,0,0,0,9.91361e-006,4.95681e-005,1.98272e-005,2.97408e-005,0,3.96544e-005,0,0,9.91361e-006,1.98272e-005,9.91361e-006,0,0,0,9.91361e-006,9.91361e-006,1.98272e-005,0,9.91361e-006,0,0
4.068,0,0,0,0,0,0,4.92087e-005,3.69065e-005,1.23022e-005,2.46044e-005,4.92087e-005,0,1.23022e-005,1.23022e-005,0,2.46044e-005,0,0,0,1.23022e-005,0,0,1.23022e-005,0,0,1.23022e-005
4.371,0,0,0,0,0,1.52662e-005,0.000152662,4.57987e-005,3.05325e-005,0,1.52662e-005,0,4.57987e-005,1.52662e-005,1.52662e-005,0,1.52662e-005,1.52662e-005,3.05325e-005,1.52662e-005,1.52662e-005,0,0,1.52662e-005,1.52662e-005,0
4.698,1.89444e-005,0,0,0,0,1.89444e-005,3.78889e-005,9.47222e-005,3.78889e-005,0.000113667,3.78889e-005,1.89444e-005,3.78889e-005,0,0,0,1.89444e-005,3.78889e-005,0,0,0,3.78889e-005,1.89444e-005,1.89444e-005,1.89444e-005,0
5.048,0,0,0,0,0,4.70177e-005,0.00021158,4.70177e-005,4.70177e-005,0.000117544,7.05266e-005,2.35089e-005,7.05266e-005,0,4.70177e-005,2.35089e-005,0,2.35089e-005,2.35089e-005,0,0,0,2.35089e-005,2.35089e-005,2.35089e-005,2.35089e-005
5.425,0,0,0,0,0,2.9173e-005,0.000204211,0.000116692,0.000175038,0.000116692,5.83461e-005,5.83461e-005,0.000145865,8.75191e-005,8.75191e-005,2.9173e-005,2.9173e-005,2.9173e-005,0,2.9173e-005,2.9173e-005,5.83461e-005,8.75191e-005,2.9173e-005,0,2.9173e-005
5.829,0,0,0,0,0,0,0.000253414,0.000144808,0.000108606,0.000289616,0.000217212,0.000108606,7.24039e-005,0,0.000108606,7.24039e-005,0.000108606,0,7.24039e-005,0,3.62019e-005,0,0,7.24039e-005,7.24039e-005,7.24039e-005
6.264,0,0,0,0,0,0,0.000584017,0.00031447,0.000224622,0.000224622,8.98487e-005,4.49243e-005,0.000134773,0,4.49243e-005,4.49243e-005,8.98487e-005,0,4.49243e-005,0,0,0,0,8.98487e-005,8.98487e-005,8.98487e-005
6.732,0,0,0,0,0,0,0.000501735,0.000278742,0.000278742,0.000278742,0.000111497,0.000167245,0.000167245,0.000167245,0.000111497,5.57483e-005,0,0.000111497,0.000222993,0.000111497,5.57483e-005,0,0.000111497,0,0.000111497,0.000111497
7.234,0,0,0,0,0,6.91802e-005,6.91802e-005,0.00013836,0.000345901,6.91802e-005,6.91802e-005,0.000345901,6.91802e-005,6.91802e-005,0,6.91802e-005,0.00013836,0,0.00013836,0.000207541,0,0,0,6.91802e-005,6.91802e-005,0
7.774,0,0,0,0,0,0,8.58483e-005,0.000171697,0,0,8.58483e-005,0,8.58483e-005,0,0,0,8.58483e-005,0,0,0,0,0,0,0,0,0.000171697
8.354,0,0,0,0,0,0,0.000106532,0,0.000106532,0,0,0.000106532,0,0,0,0,0,0,0,0,0,0,0.000106532,0,0,0
8.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001322,0,0.0001322,0,0,0,0,0,0,0,0,0
9.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Event 1,29710,13377,6238,3033,1506,165575,761527,696823,642845,602591,568601,539691,512199,489588,469084,449412,431694,413927,398338,383398,369121,356628,345370,332923,322189,311739
Event 3,44,12,1,0,0,4384,48258,39059,32235,27662,24140,21443,19063,16969,15397,13849,12808,11471,10569,9646,8896,8170,7622,7067,6580,6034
Event 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Time,169,74,34,16,8,1158,5822,5218,4734,4368,4078,3841,3607,3415,3246,3091,2951,2808,2684,2571,2462,2358,2268,2183,2094,2013
Inlet Pressure,829.9,829.6,829.3,830.2,830.2,829.9,829.6,829.3,829.3,829.3,829.6,829.6,829.9,829.9,829.6,829.1,829.3,829.9,828.8,828.8,829.3,829.9,829.3,829.9,829.3,829.3
Total Flow,4.97,4.96,4.97,4.96,4.97,4.96,4.97,4.96,4.96,4.96,4.96,4.96,4.96,4.97,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.97,4.96,4.97
Sheath Flow,3.99,3.99,3.96,3.98,3.97,3.98,3.98,3.96,3.95,3.98,3.98,3.99,3.97,3.97,3.97,3.97,3.97,3.96,3.97,3.98,3.95,3.99,3.98,3.98,3.96,3.97
Analog Input Voltage 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analog Input Voltage 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
