Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220718\VL_CU_APS_CADR_Background2_SCAN4.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22
Start Time,14:25:00,14:28:00,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,9.4175e-005,4.25973e-005,1.93028e-005,8.89151e-006,4.3224e-006,0.00459052,0.00642633,0.00572303,0.00532534,0.00499909,0.0047219,0.00448857,0.00429884,0.00411459,0.00397699,0.00382506,0.00369923,0.00358509,0.00347661,0.00336155,0.00326754,0.00318063,0.00308865,0.00299941,0.00292096
0.542,1.6862e-005,7.9059e-006,2.82979e-006,1.34196e-006,7.29326e-007,0.000799312,0.00111768,0.00102249,0.000913525,0.000833883,0.000777345,0.000733235,0.000687492,0.000665,0.000614414,0.000584715,0.000562077,0.000526078,0.000504752,0.000487686,0.000473187,0.000459067,0.000433161,0.000421463,0.000388848
0.583,1.38291e-005,5.5751e-006,2.64274e-006,1.48428e-006,3.62019e-007,0.000664595,0.000937268,0.000859579,0.000768531,0.000707531,0.000658296,0.00062557,0.000576733,0.000559356,0.00051671,0.000502917,0.000468924,0.000443981,0.000422549,0.000412014,0.000387288,0.000379541,0.000364119,0.000345873,0.000318613
0.626,9.70366e-006,3.63887e-006,1.8419e-006,9.88336e-007,6.28941e-007,0.000545472,0.0007842,0.000708682,0.0006324,0.00058487,0.000538598,0.000509128,0.000474311,0.000453556,0.000416044,0.000410923,0.00038873,0.000369233,0.000354318,0.000336394,0.00031775,0.000313482,0.000307193,0.000284191,0.00026447
0.673,7.80477e-006,2.56442e-006,1.5052e-006,5.57483e-007,4.45987e-007,0.000429987,0.000628005,0.000577999,0.00050848,0.00046862,0.000440969,0.000422405,0.000394475,0.000370894,0.000348594,0.000328023,0.000318156,0.000299536,0.000284539,0.000271885,0.000267034,0.000253488,0.00024546,0.000233753,0.000223272
0.723,5.05015e-006,2.62885e-006,6.91802e-007,4.84261e-007,1.3836e-007,0.000342234,0.000498443,0.000460533,0.000403597,0.000369699,0.000342511,0.000328053,0.000312279,0.000297129,0.000277136,0.00026669,0.00024981,0.000239502,0.000224005,0.000220062,0.000198962,0.000196057,0.000184089,0.000183189,0.000169007
0.777,2.83299e-006,1.88866e-006,6.00938e-007,4.29242e-007,8.58483e-008,0.000248102,0.000363825,0.000340646,0.000293859,0.000272483,0.000250334,0.00023222,0.00021608,0.000209899,0.000197108,0.000185175,0.000177363,0.000169379,0.000152295,0.000149376,0.000144483,0.00013109,0.00013006,0.00012551,0.000121475
0.835,2.02412e-006,8.5226e-007,3.19597e-007,2.13065e-007,0,0.000186964,0.000257595,0.000238313,0.000211041,0.000188136,0.00018281,0.000160757,0.00015362,0.000143819,0.000136468,0.000119316,0.000121873,0.000113457,0.000107385,0.000102697,9.57727e-005,8.92742e-005,8.85285e-005,8.73566e-005,7.61707e-005
0.898,1.4542e-006,1.0576e-006,0,0,2.644e-007,0.000136431,0.000199093,0.000180453,0.000155996,0.000142247,0.000137356,0.000117526,0.000123872,0.000112767,0.000104438,9.62417e-005,9.91501e-005,8.31539e-005,8.20963e-005,8.10387e-005,7.93201e-005,6.78187e-005,6.75543e-005,6.63645e-005,5.55241e-005
0.965,8.2026e-007,3.28104e-007,1.64052e-007,0,1.64052e-007,0.000104665,0.000148139,0.000131734,0.000117953,0.000107126,9.53143e-005,8.76038e-005,9.03927e-005,7.84169e-005,7.72685e-005,7.39875e-005,6.44725e-005,6.02071e-005,5.77463e-005,5.46293e-005,5.38091e-005,4.75751e-005,4.95437e-005,4.47862e-005,4.47862e-005
1.037,6.10735e-007,0,0,0,0,8.63173e-005,0.000126626,0.000109322,0.000102604,8.93709e-005,8.95745e-005,7.24739e-005,7.41026e-005,7.0031e-005,6.00556e-005,5.96485e-005,5.74091e-005,6.2295e-005,4.80445e-005,4.94696e-005,4.88588e-005,4.19372e-005,4.05121e-005,3.7662e-005,4.11228e-005
1.114,2.52628e-007,0,0,0,0,8.2862e-005,0.000120504,0.000106609,9.8525e-005,8.38726e-005,8.5641e-005,6.56833e-005,6.06308e-005,5.98729e-005,5.50729e-005,5.30519e-005,4.74941e-005,5.05256e-005,4.37047e-005,3.83995e-005,3.86521e-005,3.99153e-005,3.86521e-005,3.76416e-005,3.61258e-005
