Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220718\VL_CU_APS_CADR_Background2_SCAN5.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22
Start Time,15:50:00,15:53:00,15:56:00,15:59:00,16:02:00,16:05:00,16:08:00,16:11:00,16:14:00,16:17:00,16:20:00,16:23:00,16:26:00,16:29:00,16:32:00,16:35:00,16:38:00,16:41:00,16:44:00,16:47:00,16:50:00,16:53:00,16:56:00,16:59:00,17:02:00,17:05:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,7.82917e-005,3.53687e-005,1.61251e-005,7.88492e-006,3.94246e-006,0.00204345,0.00268667,0.00235209,0.0021396,0.00197935,0.00185282,0.00176204,0.00164878,0.00156042,0.00150272,0.00143989,0.00137879,0.00131709,0.0012688,0.00121443,0.00116182,0.00112295,0.00108222,0.00103735,0.0010087,0.000973931
0.542,1.00064e-005,4.4343e-006,1.92542e-006,9.04365e-007,4.37596e-007,0.000399146,0.000553471,0.000503264,0.000458834,0.000418167,0.000390365,0.000357253,0.000342112,0.000329831,0.000306346,0.000293714,0.000274373,0.000265271,0.000252755,0.000243128,0.000229709,0.000216114,0.000207625,0.000208704,0.000195372,0.000182973
0.583,8.14544e-006,3.51159e-006,2.28072e-006,3.98221e-007,5.43029e-007,0.000340117,0.000476092,0.000424649,0.000398801,0.000359811,0.000334253,0.000302105,0.000296277,0.000282665,0.000264491,0.000250155,0.000234299,0.000231548,0.000216343,0.000203926,0.000193536,0.000185969,0.000178982,0.000173661,0.000163271,0.000157478
0.626,6.42418e-006,2.92008e-006,1.57235e-006,5.39092e-007,3.1447e-007,0.00027889,0.000396997,0.000359619,0.000326735,0.000299421,0.000281676,0.000256473,0.000243849,0.000232259,0.000217434,0.000211728,0.000197892,0.000190479,0.000184954,0.000171431,0.000167433,0.000158673,0.000146229,0.000145106,0.000138592,0.000135357
0.673,5.24034e-006,2.22993e-006,1.28221e-006,3.90238e-007,4.45987e-007,0.000219593,0.000319271,0.000293013,0.000259397,0.000240498,0.000229516,0.000206325,0.000203593,0.000193558,0.000174938,0.000173879,0.000166409,0.000153921,0.000149238,0.000139873,0.000133907,0.000129615,0.000120918,0.000120249,0.00011395,0.000106145
0.723,4.35835e-006,1.3836e-006,8.99343e-007,3.45901e-007,3.45901e-007,0.000176755,0.000255759,0.00023632,0.000216534,0.00020339,0.000187409,0.000170944,0.000165064,0.000157869,0.00014092,0.000136562,0.000134694,0.000132964,0.000123141,0.000109028,0.00011221,0.000103424,9.82359e-005,9.12487e-005,8.73746e-005,8.45382e-005
0.777,2.40375e-006,1.37357e-006,2.57545e-007,2.57545e-007,8.58483e-008,0.000128343,0.000196078,0.000174015,0.000163541,0.000153926,0.000129373,0.000123278,0.000121819,0.00011538,0.000107654,0.000103018,9.50341e-005,9.01407e-005,8.73936e-005,8.06116e-005,8.12125e-005,7.8122e-005,7.08249e-005,7.17692e-005,6.66183e-005,6.12957e-005
0.835,1.17186e-006,5.32662e-007,4.2613e-007,1.06532e-007,2.13065e-007,0.000100673,0.00014254,0.000125176,0.000123578,0.000103763,0.000106,8.78893e-005,8.7037e-005,8.46933e-005,7.5425e-005,7.58511e-005,7.68099e-005,6.62632e-005,6.29607e-005,5.97647e-005,6.17888e-005,5.49707e-005,4.82592e-005,5.41185e-005,4.64481e-005,4.78331e-005
0.898,1.0576e-006,5.28801e-007,0,1.322e-007,1.322e-007,7.90557e-005,0.000111709,9.62417e-005,8.87063e-005,7.83947e-005,8.26251e-005,7.07271e-005,6.55713e-005,6.14731e-005,5.92257e-005,6.13409e-005,5.24835e-005,5.64495e-005,4.53446e-005,4.60056e-005,4.1643e-005,4.37582e-005,3.52974e-005,3.75448e-005,3.59584e-005,3.5033e-005
0.965,6.56208e-007,3.28104e-007,0,0,0,5.11843e-005,7.20189e-005,6.44725e-005,5.93869e-005,5.95509e-005,4.79032e-005,4.77392e-005,4.23254e-005,4.11771e-005,3.93725e-005,3.49431e-005,3.80601e-005,3.36307e-005,2.90372e-005,2.80529e-005,2.57562e-005,2.55921e-005,2.49359e-005,2.11627e-005,2.14908e-005,1.8866e-005
1.037,8.14314e-007,6.10735e-007,0,0,0,4.70266e-005,5.80199e-005,5.00803e-005,4.41765e-005,4.19372e-005,3.86799e-005,3.52191e-005,3.35904e-005,3.27761e-005,2.48366e-005,2.93153e-005,2.91117e-005,2.91117e-005,2.23936e-005,2.17829e-005,2.09686e-005,2.23936e-005,2.19865e-005,1.58791e-005,1.95435e-005,1.36398e-005
1.114,1.01051e-006,2.52628e-007,0,0,0,4.39573e-005,4.57257e-005,4.42099e-005,4.19363e-005,3.63785e-005,3.41048e-005,3.28417e-005,3.00628e-005,2.62733e-005,2.02103e-005,2.04629e-005,2.19787e-005,2.07155e-005,1.74313e-005,1.66735e-005,1.54103e-005,1.51577e-005,1.69261e-005,1.33893e-005,1.16209e-005,9.8525e-006
1.197,6.26992e-007,0,3.13496e-007,0,0,4.63974e-005,3.51115e-005,3.51115e-005,2.85281e-005,2.60202e-005,2.88416e-005,2.66472e-005,1.75558e-005,2.28852e-005,1.84963e-005,1.78693e-005,1.69288e-005,1.81828e-005,1.47343e-005,1.34803e-005,1.15993e-005,1.37938e-005,1.22263e-005,1.03454e-005,1.00319e-005,1.06589e-005
1.286,0,0,3.89029e-007,0,3.89029e-007,3.34565e-005,4.0459e-005,3.30675e-005,2.99552e-005,2.91772e-005,2.13966e-005,3.11223e-005,2.21746e-005,1.98405e-005,1.78953e-005,2.02295e-005,1.98405e-005,1.59502e-005,1.08928e-005,8.94767e-006,1.4005e-005,1.01148e-005,1.12818e-005,1.01148e-005,6.22446e-006,8.16961e-006
1.382,0,0,0,0,0,4.53795e-005,3.57243e-005,2.75174e-005,2.60691e-005,2.60691e-005,2.55863e-005,2.75174e-005,1.83449e-005,1.93104e-005,1.78621e-005,1.49656e-005,1.2069e-005,1.15863e-005,9.65521e-006,1.35173e-005,1.25518e-005,8.20693e-006,1.2069e-005,7.24141e-006,8.20693e-006,8.20693e-006
1.486,0,0,5.99076e-007,0,0,3.83409e-005,3.47464e-005,2.15667e-005,3.05529e-005,2.21658e-005,2.15667e-005,1.6175e-005,2.03686e-005,1.67741e-005,1.97695e-005,1.67741e-005,1.43778e-005,1.67741e-005,1.49769e-005,1.01843e-005,1.13824e-005,8.38706e-006,5.39168e-006,8.98614e-006,9.58521e-006,4.19353e-006
1.596,0,0,0,0,0,4.16313e-005,3.9401e-005,2.75064e-005,2.23025e-005,2.23025e-005,2.08156e-005,1.41249e-005,1.93288e-005,1.7842e-005,1.11512e-005,1.48683e-005,9.66441e-006,9.66441e-006,6.69074e-006,9.66441e-006,5.94733e-006,9.66441e-006,2.23025e-006,9.66441e-006,4.4605e-006,1.48683e-006
1.715,9.22533e-007,0,0,9.22533e-007,0,5.99646e-005,3.87464e-005,2.58309e-005,3.32112e-005,2.85985e-005,2.02957e-005,1.56831e-005,1.01479e-005,1.19929e-005,7.38026e-006,1.56831e-005,1.19929e-005,1.19929e-005,1.19929e-005,1.10704e-005,7.38026e-006,3.69013e-006,6.45773e-006,1.84507e-006,5.5352e-006,3.69013e-006
