Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220718\VL_CU_SMPS_CADR_Background2_SCAN5.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022
Start Time,15:50:00,15:53:00,15:56:00,15:59:00,16:02:00,16:05:00,16:08:00,16:11:00,16:14:00,16:17:00,16:20:00,16:23:00,16:26:00,16:29:00,16:32:00,16:35:00,16:38:00,16:41:00,16:44:00,16:47:00,16:50:00,16:53:00,16:56:00,16:59:00,17:02:00,17:05:00
Sample Temp (C),23.8,23.9,23.9,23.9,24.0,24.0,24.0,24.0,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1
Sample Pressure (kPa),81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2
Relative Humidity (%),41.7,41.6,41.5,41.5,41.5,41.5,41.5,41.5,41.4,41.4,41.4,41.4,41.4,41.5,41.5,41.5,41.5,41.5,41.6,41.6,41.6,41.6,41.7,41.7,41.7,41.7
Mean Free Path (m),8.43516e-008,8.43877e-008,8.43877e-008,8.43877e-008,8.44238e-008,8.44238e-008,8.44238e-008,8.44238e-008,8.44599e-008,8.44599e-008,8.44599e-008,8.44599e-008,8.44599e-008,8.44599e-008,8.44599e-008,8.43559e-008,8.43559e-008,8.43559e-008,8.43559e-008,8.43559e-008,8.43559e-008,8.43559e-008,8.43559e-008,8.43559e-008,8.43559e-008,8.43559e-008
Gas Viscosity (Pa*s),1.83627e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
