Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220718\VL_CU_APS_CADR_Background_07182022.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22
Start Time,10:10:00,10:13:00,10:16:00,10:19:00,10:22:00,10:25:00,10:28:00,10:31:01,10:34:00,10:37:00,10:40:00,10:43:00,10:46:00,10:49:01,10:52:00,10:55:00,10:58:00,11:01:01,11:04:00,11:07:00,11:10:00,11:13:00,11:16:00,11:19:00,11:22:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,3.02469e-006,1.57402e-006,8.24019e-007,5.13161e-007,2.9112e-007,0.0345926,0.035892,0.0343968,0.0376004,0.0366897,0.0353746,0.0343807,0.0340402,0.0335773,0.032595,0.0321562,0.0312094,0.0309264,0.0302177,0.0295646,0.0293645,0.0288911,0.028581,0.0278783,0.0276197
0.542,1.77956e-006,4.66769e-007,3.7925e-007,2.04211e-007,1.45865e-007,0.0134069,0.0142152,0.0133941,0.0136202,0.0131013,0.0131024,0.012924,0.0123744,0.0119787,0.0120334,0.0117134,0.0117915,0.0113666,0.0112845,0.0111907,0.010729,0.0105059,0.0101759,0.0101198,0.00976755
0.583,1.48428e-006,5.06827e-007,6.15433e-007,1.8101e-007,3.62019e-008,0.0140331,0.0148743,0.0139323,0.0137949,0.0131276,0.0132324,0.0130903,0.0123826,0.0119189,0.0120012,0.0116335,0.0117476,0.0112509,0.0111605,0.0110764,0.0105418,0.0102277,0.00980939,0.00978835,0.0093506
0.626,1.43758e-006,7.1879e-007,3.59395e-007,8.98487e-008,8.98487e-008,0.0133179,0.0140859,0.0130614,0.0127006,0.0120946,0.0121927,0.0120454,0.0113098,0.0108469,0.0109564,0.0105309,0.0106222,0.0101268,0.0100148,0.00993844,0.00936345,0.00907809,0.00863513,0.00861007,0.00818841
0.673,1.11497e-006,6.13232e-007,2.78742e-007,1.11497e-007,1.67245e-007,0.0117029,0.0123418,0.0113818,0.0109259,0.0103677,0.010457,0.0101975,0.00961954,0.0092007,0.00922646,0.00884787,0.00890708,0.0084059,0.00835896,0.00821223,0.00775866,0.00747881,0.00711951,0.00702847,0.0066893
0.723,1.45278e-006,5.53442e-007,2.07541e-007,2.07541e-007,6.91802e-008,0.00982089,0.0103393,0.00953193,0.00914735,0.00863134,0.008613,0.00845555,0.00790529,0.00753857,0.00752086,0.00720678,0.00719951,0.00684137,0.00672674,0.00660595,0.00623085,0.00597931,0.00569844,0.00563694,0.00527319
0.777,8.58483e-007,6.00938e-007,2.57545e-007,3.43393e-007,8.58483e-008,0.00831398,0.00867841,0.00800278,0.00771012,0.00730114,0.00717469,0.00702488,0.0065486,0.00630539,0.00619207,0.00594482,0.00589881,0.00559233,0.00548657,0.00537179,0.00507527,0.00485189,0.00459804,0.00451262,0.00432538
