Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220718\VL_CU_APS_CADR_Background2_SCAN2.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22,07/18/22
Start Time,11:35:00,11:38:00,11:41:00,11:44:00,11:47:00,11:50:00,11:53:01,11:56:00,11:59:00,12:02:00,12:05:00,12:08:01,12:11:01,12:14:00,12:17:00,12:20:00,12:23:00,12:26:00,12:29:00,12:32:00,12:35:00,12:38:00,12:41:01,12:44:00,12:47:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,0.000394182,0.000170148,7.9688e-005,4.01253e-005,2.1459e-005,0.00158862,0.00165533,0.00152942,0.00141809,0.00134649,0.00126841,0.00122167,0.00116694,0.00112224,0.00107568,0.00103835,0.00100213,0.000965903,0.000941597,0.000909806,0.000876356,0.000852435,0.000818414,0.000797305,0.000766969
0.542,0.000145719,6.26054e-005,2.70726e-005,1.38572e-005,7.87672e-006,0.000561494,0.000584015,0.000539089,0.000508924,0.000475783,0.000469278,0.000425431,0.000413761,0.00039019,0.000371781,0.000356145,0.000340391,0.000324667,0.000307747,0.000306638,0.000292547,0.000272155,0.000272885,0.000258036,0.000246541
0.583,0.000128119,5.46287e-005,2.62464e-005,1.19828e-005,6.51635e-006,0.000503279,0.000537164,0.000476309,0.000453103,0.000424757,0.000418893,0.000390004,0.000366074,0.000351412,0.000338452,0.000324225,0.000301997,0.000287552,0.000276547,0.000263876,0.000255622,0.000239657,0.000234552,0.000222678,0.000223909
0.626,0.000101035,4.12855e-005,2.06203e-005,8.89502e-006,4.58228e-006,0.000416179,0.000442011,0.000403196,0.000381408,0.000351758,0.00033545,0.000316851,0.000300948,0.000286483,0.000271208,0.000265638,0.000249016,0.000234325,0.000227632,0.000215547,0.00020791,0.000199958,0.000192995,0.000181584,0.000179024
0.673,7.84936e-005,3.1888e-005,1.32681e-005,5.90932e-006,3.79089e-006,0.000327744,0.000336999,0.000304051,0.000292902,0.00027378,0.000263634,0.000242505,0.000230464,0.000220094,0.00020861,0.000202701,0.000190994,0.000184583,0.000168471,0.000170869,0.000162172,0.000148681,0.000144834,0.000144109,0.000131064
0.723,5.94258e-005,2.69111e-005,1.14147e-005,5.81114e-006,3.25147e-006,0.000244275,0.000259633,0.000228848,0.000215566,0.000204358,0.000204012,0.00018312,0.00017634,0.000163473,0.000157938,0.000143134,0.000143964,0.000132964,0.000127153,0.000126185,0.000115669,0.00011138,0.000105915,0.000102318,9.69906e-005
0.777,4.3611e-005,1.94876e-005,9.70086e-006,3.86317e-006,1.88866e-006,0.000191356,0.000189639,0.000179251,0.000154785,0.000147745,0.00014577,0.000128172,0.000121132,0.000116324,0.000120617,0.000111517,9.70086e-005,9.76095e-005,9.08275e-005,8.36163e-005,7.99248e-005,7.63192e-005,7.82078e-005,7.43447e-005,6.55023e-005
0.835,3.06813e-005,1.43819e-005,5.96582e-006,3.40904e-006,2.02412e-006,0.000129011,0.00012688,0.000110474,0.000102378,9.43877e-005,8.89546e-005,8.3841e-005,8.28822e-005,7.65968e-005,7.12702e-005,6.81808e-005,6.35999e-005,6.37064e-005,5.68883e-005,5.56099e-005,5.32662e-005,4.68743e-005,4.55959e-005,4.762e-005,4.18673e-005
0.898,2.47214e-005,1.03116e-005,3.4372e-006,2.3796e-006,1.4542e-006,9.32011e-005,8.69877e-005,7.73371e-005,7.54863e-005,6.71577e-005,6.63645e-005,6.08121e-005,5.73749e-005,5.63173e-005,4.8914e-005,4.58734e-005,4.41548e-005,4.0321e-005,4.0982e-005,3.66194e-005,3.71482e-005,3.60906e-005,3.19924e-005,2.86874e-005,2.82908e-005
0.965,1.50928e-005,5.08562e-006,3.11699e-006,1.80457e-006,9.84313e-007,5.69261e-005,5.29888e-005,5.56137e-005,4.18333e-005,4.13411e-005,3.87163e-005,3.95366e-005,3.60915e-005,3.29745e-005,3.11699e-005,2.85451e-005,2.42797e-005,2.57562e-005,2.29673e-005,2.14908e-005,2.01784e-005,1.82098e-005,1.75536e-005,1.78817e-005,1.65693e-005
1.037,9.36461e-006,3.05368e-006,1.22147e-006,2.03578e-006,2.03578e-007,3.68477e-005,3.19618e-005,2.58545e-005,2.32079e-005,2.72795e-005,2.03578e-005,1.97471e-005,1.95435e-005,1.97471e-005,2.13757e-005,1.71006e-005,1.58791e-005,1.14004e-005,1.11968e-005,1.24183e-005,1.42505e-005,1.11968e-005,1.24183e-005,1.09932e-005,9.36461e-006
1.114,7.83147e-006,3.78942e-006,1.01051e-006,1.01051e-006,5.05256e-007,3.03154e-005,2.29892e-005,2.1726e-005,1.74313e-005,1.59156e-005,1.86945e-005,1.2884e-005,1.69261e-005,1.61682e-005,1.21262e-005,1.26314e-005,9.09462e-006,8.84199e-006,9.09462e-006,8.33673e-006,1.0863e-005,7.32622e-006,7.57885e-006,8.58936e-006,5.81045e-006
1.197,3.13496e-006,3.13496e-007,6.26992e-007,0,0,2.19447e-005,1.69288e-005,1.66153e-005,1.03454e-005,1.66153e-005,1.03454e-005,1.06589e-005,8.77788e-006,8.46439e-006,9.09138e-006,6.89691e-006,9.09138e-006,5.64293e-006,7.5239e-006,6.89691e-006,6.89691e-006,7.21041e-006,4.38894e-006,4.38894e-006,6.26992e-006
1.286,2.33417e-006,2.7232e-006,3.89029e-007,7.78058e-007,3.89029e-007,1.86734e-005,9.33669e-006,1.01148e-005,1.12818e-005,1.2838e-005,8.16961e-006,1.01148e-005,8.55864e-006,1.16709e-005,5.44641e-006,5.44641e-006,2.33417e-006,5.05738e-006,3.89029e-006,5.44641e-006,6.22446e-006,7.39155e-006,5.44641e-006,3.11223e-006,2.7232e-006
1.382,1.93104e-006,1.44828e-006,9.65521e-007,4.82761e-007,4.82761e-007,1.11035e-005,5.79313e-006,7.72417e-006,1.0138e-005,1.06207e-005,8.20693e-006,6.75865e-006,6.75865e-006,2.89656e-006,3.37932e-006,3.86209e-006,5.79313e-006,4.34485e-006,3.37932e-006,4.82761e-006,2.89656e-006,2.4138e-006,4.34485e-006,2.89656e-006,3.37932e-006
1.486,5.99076e-007,1.79723e-006,5.99076e-007,0,0,7.78799e-006,8.38706e-006,1.13824e-005,4.19353e-006,1.01843e-005,7.18891e-006,5.39168e-006,8.38706e-006,4.19353e-006,2.99538e-006,4.19353e-006,3.59445e-006,2.3963e-006,1.79723e-006,5.39168e-006,4.19353e-006,2.3963e-006,4.19353e-006,1.79723e-006,4.19353e-006
1.596,4.4605e-006,1.48683e-006,0,0,0,1.26381e-005,1.41249e-005,6.69074e-006,7.43416e-006,2.97366e-006,5.94733e-006,3.71708e-006,4.4605e-006,4.4605e-006,2.23025e-006,5.20391e-006,2.23025e-006,1.48683e-006,3.71708e-006,4.4605e-006,4.4605e-006,1.48683e-006,7.43416e-007,1.48683e-006,1.48683e-006
1.715,2.7676e-006,9.22533e-007,0,0,0,1.29155e-005,1.19929e-005,9.22533e-006,3.69013e-006,9.22533e-006,5.5352e-006,8.3028e-006,9.22533e-006,1.84507e-006,6.45773e-006,2.7676e-006,2.7676e-006,3.69013e-006,3.69013e-006,2.7676e-006,5.5352e-006,1.84507e-006,5.5352e-006,3.69013e-006,2.7676e-006
1.843,0,0,0,0,0,1.60273e-005,1.60273e-005,1.71721e-005,4.57922e-006,1.37377e-005,1.14481e-005,5.72403e-006,1.03033e-005,6.86884e-006,6.86884e-006,2.28961e-006,5.72403e-006,6.86884e-006,3.43442e-006,2.28961e-006,3.43442e-006,6.86884e-006,2.28961e-006,4.57922e-006,2.28961e-006
1.981,1.42063e-006,0,0,0,0,2.27301e-005,2.13095e-005,1.13651e-005,1.70476e-005,9.94443e-006,7.10316e-006,7.10316e-006,8.5238e-006,8.5238e-006,1.42063e-005,9.94443e-006,5.68253e-006,2.84127e-006,1.42063e-006,7.10316e-006,4.2619e-006,5.68253e-006,9.94443e-006,5.68253e-006,4.2619e-006
2.129,3.52583e-006,0,0,0,0,2.64438e-005,2.46808e-005,1.76292e-005,1.58663e-005,1.23404e-005,1.23404e-005,2.1155e-005,1.05775e-005,1.58663e-005,5.28875e-006,7.05167e-006,1.58663e-005,1.41033e-005,8.81459e-006,7.05167e-006,1.76292e-006,1.76292e-006,5.28875e-006,8.81459e-006,3.52583e-006
