Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220725\VL_CU_SMPS_APS_OccupiedSmoke_20220725_Trial1.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22
Start Time,09:50:00,09:53:01,09:56:00,09:59:00,10:02:00,10:05:00,10:08:00,10:11:00,10:14:00,10:17:00,10:20:00,10:23:00,10:26:00,10:29:00,10:32:00,10:35:00,10:38:00,10:41:00,10:44:00,10:47:00,10:50:00,10:53:00,10:56:00,10:59:00,11:02:01,11:05:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,3.49838e-006,1.68258e-006,9.67112e-007,6.41452e-007,4.73687e-007,0.00717759,0.00785765,0.00688184,0.00624584,0.00571649,0.00528856,0.00491886,0.00579072,0.00543676,0.00510378,0.0049008,0.00462722,0.00442238,0.00424449,0.00404121,0.00392714,0.00375568,0.00360821,0.00347272,0.00332474,0.00319023
0.542,1.48783e-006,7.29326e-007,6.12634e-007,2.62557e-007,2.33384e-007,0.00195853,0.00206239,0.00177305,0.00153249,0.00143925,0.00133998,0.00124508,0.00137951,0.00130526,0.00127982,0.00120744,0.00116797,0.00109915,0.00104787,0.00101764,0.000945528,0.000904219,0.000864135,0.000819325,0.000774778,0.000742133
0.583,1.59289e-006,7.60241e-007,5.06827e-007,3.25817e-007,7.24039e-008,0.00163452,0.00170319,0.00146922,0.00126996,0.00118981,0.00109482,0.00102857,0.0011097,0.00104776,0.00104189,0.000958012,0.000940201,0.00088702,0.000834274,0.000804371,0.000739931,0.00072002,0.000675709,0.0006331,0.000617207,0.000573403
0.626,1.39266e-006,6.28941e-007,4.04319e-007,2.69546e-007,3.59395e-007,0.00122441,0.00129804,0.00110137,0.000944894,0.000886986,0.00083119,0.000770003,0.000805134,0.000762456,0.000753247,0.000694036,0.000670406,0.000638779,0.000602705,0.000578895,0.000532219,0.00051353,0.000479702,0.000450142,0.000433385,0.000402837
0.673,8.91973e-007,2.22993e-007,2.22993e-007,1.67245e-007,1.67245e-007,0.000900001,0.000925255,0.000793243,0.000675893,0.000635085,0.000590932,0.000549567,0.000564173,0.000523198,0.000515003,0.000475923,0.000457973,0.000432942,0.000408747,0.000384162,0.000360413,0.000335828,0.000326908,0.000306281,0.000290393,0.000270156
0.723,9.68523e-007,4.15081e-007,2.76721e-007,1.3836e-007,0,0.000642753,0.000678174,0.000582566,0.000495676,0.000451332,0.000417918,0.000387547,0.0003899,0.000372743,0.00034687,0.000329713,0.00031733,0.0003046,0.000278727,0.000265998,0.00025064,0.000234452,0.000219025,0.000215289,0.000188862,0.000192321
0.777,4.29242e-007,2.57545e-007,2.57545e-007,2.57545e-007,8.58483e-008,0.000486846,0.000490709,0.00042246,0.000363224,0.000332662,0.000302272,0.000283385,0.000277805,0.000263726,0.000258489,0.000233507,0.000223721,0.000205521,0.000199082,0.000192043,0.000166202,0.000158304,0.000157703,0.000145255,0.000137787,0.000123965
0.835,9.58792e-007,4.2613e-007,4.2613e-007,2.13065e-007,1.06532e-007,0.000337282,0.000354966,0.000285827,0.000248327,0.000227553,0.000201346,0.000178016,0.000188775,0.000180253,0.000175033,0.000155963,0.000144778,0.000141262,0.000124856,0.000124963,0.000113457,0.000112072,0.000100247,8.57586e-005,8.93807e-005,8.57586e-005
0.898,5.28801e-007,0,3.966e-007,0,0,0.000263871,0.000244967,0.000216676,0.00017966,0.000157186,0.000145685,0.000131936,0.000136563,0.000126516,0.00012559,0.000116204,0.000107479,9.78281e-005,9.34655e-005,8.80453e-005,7.82625e-005,7.32389e-005,7.49575e-005,6.49103e-005,6.50425e-005,5.48631e-005
0.965,3.28104e-007,4.92156e-007,3.28104e-007,0,0,0.000192925,0.000195714,0.000155029,0.000121891,0.000119102,0.000103189,9.67907e-005,0.000104501,0.000101384,8.69476e-005,8.30104e-005,7.5628e-005,6.6277e-005,6.84097e-005,6.10274e-005,5.72542e-005,4.93797e-005,5.3481e-005,4.83954e-005,4.60986e-005,3.95366e-005
1.037,0,8.14314e-007,0,0,2.03578e-007,0.000161845,0.000166731,0.000129476,0.000112375,9.66998e-005,8.89638e-005,7.36954e-005,9.16103e-005,7.57312e-005,7.65455e-005,6.96238e-005,5.63912e-005,5.53733e-005,5.41519e-005,4.74338e-005,4.45837e-005,4.07157e-005,4.33622e-005,3.88835e-005,3.92906e-005,2.68724e-005
1.114,5.05256e-007,0,0,0,0,0.000162693,0.000148798,0.000117977,0.000104083,8.66515e-005,7.32622e-005,6.94728e-005,8.10937e-005,7.55358e-005,6.34097e-005,5.86097e-005,5.83571e-005,5.33045e-005,5.07783e-005,4.21889e-005,4.59783e-005,4.3452e-005,3.30943e-005,3.15785e-005,2.93049e-005,2.77891e-005
