Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220725\VL_CU_APS_OccupiedSmoke_20220725_Trial2.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22,07/25/22
Start Time,11:20:00,11:23:00,11:26:01,11:29:00,11:32:00,11:35:00,11:38:01,11:41:00,11:44:00,11:47:00,11:50:00,11:53:00,11:56:00,11:59:00,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:26:01,12:29:00,12:32:00,12:35:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,1.38603e-005,7.07077e-006,3.85364e-006,2.12173e-006,1.51975e-006,0.00750529,0.00898859,0.00811918,0.00760679,0.00716908,0.00680956,0.00650435,0.00621786,0.00595124,0.0057525,0.00552341,0.00535084,0.00518621,0.00502564,0.0048488,0.00578711,0.00560866,0.00543842,0.00530134,0.00513648,0.00497425
0.542,3.99671e-006,2.01294e-006,7.87672e-007,4.37596e-007,3.20904e-007,0.00256708,0.00318824,0.00285817,0.00259967,0.00237509,0.00221756,0.00209238,0.00198806,0.00190124,0.00177757,0.00171144,0.00159871,0.00150679,0.00143531,0.00140331,0.0014686,0.00142446,0.00135599,0.00128717,0.00123665,0.00115414
0.583,3.25817e-006,2.06351e-006,7.24039e-007,3.62019e-007,3.25817e-007,0.00239903,0.00295636,0.00265219,0.00237561,0.00215456,0.00203238,0.00189742,0.001792,0.00170765,0.00156211,0.00152045,0.00142491,0.00131196,0.00125494,0.00121827,0.00125204,0.00118366,0.00113631,0.00106687,0.00103422,0.000950735
0.626,3.23455e-006,1.39266e-006,8.08638e-007,4.49244e-007,3.59395e-007,0.00201486,0.00247619,0.00221571,0.00196683,0.00177227,0.00164621,0.00155456,0.00145748,0.00138767,0.00126067,0.00122302,0.00114885,0.00105788,0.001001,0.000981597,0.00096192,0.000931686,0.000870634,0.000823239,0.000806572,0.000735457
0.673,2.73167e-006,1.33796e-006,6.6898e-007,4.45987e-007,1.11497e-007,0.00157037,0.00192176,0.00170333,0.00150047,0.0013611,0.00125813,0.00118476,0.0011124,0.00102817,0.00095653,0.000928823,0.000851779,0.000787724,0.000748198,0.000725509,0.000713746,0.000683307,0.000644897,0.000618695,0.000588925,0.000538362
0.723,1.17606e-006,5.53442e-007,4.15081e-007,1.3836e-007,6.91802e-008,0.00118603,0.0014404,0.0012788,0.00111242,0.00101425,0.000941819,0.000866344,0.000802629,0.000764234,0.000693877,0.000678312,0.000620616,0.000582566,0.000560083,0.000532895,0.000514908,0.000497336,0.00048267,0.000446766,0.000421861,0.000387202
0.777,1.03018e-006,7.72635e-007,5.1509e-007,2.57545e-007,1.71697e-007,0.000881662,0.00105696,0.000944503,0.000824745,0.000746022,0.00068713,0.000647897,0.000600252,0.000558186,0.000505303,0.000496117,0.000449759,0.00041894,0.000394473,0.000378849,0.000371637,0.000341848,0.000331975,0.000315149,0.000307595,0.000275917
0.835,9.58792e-007,4.2613e-007,2.13065e-007,1.06532e-007,1.06532e-007,0.000625772,0.000737737,0.000654855,0.000570588,0.000500596,0.000473004,0.000416755,0.000392679,0.000372864,0.000337601,0.000321089,0.000302765,0.000276771,0.000259193,0.000252801,0.000242361,0.000234371,0.00022244,0.000197085,0.000195167,0.000176524
0.898,6.61001e-007,1.322e-007,1.322e-007,3.966e-007,1.322e-007,0.000451199,0.000523513,0.000457809,0.000398055,0.000353635,0.00032746,0.000295203,0.000272332,0.000260566,0.000230954,0.000216808,0.000202531,0.000178206,0.000176752,0.000164589,0.00016406,0.000155203,0.000150973,0.000143834,0.000130746,0.000117262
0.965,6.56208e-007,0,1.64052e-007,0,0,0.000314324,0.000367969,0.00030809,0.000253953,0.000250836,0.000204737,0.000192597,0.000178653,0.000166021,0.000141577,0.000136491,0.000127304,0.000116641,0.000108602,0.000106634,0.000108767,0.0001004,9.59705e-005,8.8096e-005,8.99006e-005,7.79247e-005
1.037,1.01789e-006,0,4.07157e-007,0,0,0.000220272,0.00025773,0.000219661,0.000199303,0.000162863,0.000143319,0.000148205,0.000137823,0.000120926,0.000112375,9.28318e-005,9.81248e-005,9.26282e-005,8.36707e-005,7.71562e-005,8.46886e-005,8.12278e-005,7.81741e-005,7.75634e-005,7.61383e-005,6.2295e-005
1.114,1.7684e-006,7.57885e-007,0,0,0,0.000197303,0.000221555,0.000193766,0.00016244,0.00014324,0.000140461,0.000123283,0.000101557,9.95355e-005,9.49882e-005,8.71567e-005,8.53883e-005,7.27569e-005,7.14938e-005,6.7957e-005,7.25043e-005,7.73042e-005,6.74517e-005,6.21465e-005,6.66938e-005,6.08834e-005
1.197,3.13496e-007,9.40488e-007,3.13496e-007,0,0,0.000183709,0.000212864,0.00017399,0.000156434,0.000137311,0.000121636,9.74972e-005,0.000105021,9.27948e-005,9.71837e-005,6.17587e-005,7.8374e-005,6.80286e-005,6.95961e-005,6.33262e-005,7.36715e-005,7.55525e-005,5.51753e-005,6.01912e-005,5.67428e-005,5.48618e-005
1.286,1.16709e-006,7.78058e-007,3.89029e-007,3.89029e-007,3.89029e-007,0.000177397,0.000191402,0.000179342,0.000155223,0.000139661,0.000119821,0.00011204,9.84243e-005,9.72572e-005,8.36412e-005,7.46936e-005,6.92472e-005,6.38007e-005,6.10775e-005,6.41898e-005,7.35265e-005,7.19704e-005,7.11923e-005,6.22446e-005,5.83543e-005,5.71873e-005
1.382,0,0,0,0,0,0.000198415,0.000209035,0.000173794,0.00014869,0.000147725,0.000124069,0.000104759,9.51039e-005,9.75177e-005,0.000102345,8.20693e-005,7.869e-005,6.8552e-005,7.00003e-005,6.22761e-005,7.91728e-005,7.53107e-005,7.43451e-005,6.46899e-005,5.06899e-005,5.31037e-005
1.486,1.19815e-006,0,0,0,0,0.000209077,0.000217465,0.000177926,0.000171935,0.000157557,0.000122811,0.000106036,0.000107235,9.52531e-005,9.04604e-005,9.58521e-005,9.70503e-005,8.32715e-005,7.00919e-005,7.36863e-005,9.22577e-005,8.38706e-005,8.02762e-005,7.78799e-005,7.48845e-005,6.94928e-005
1.596,0,0,0,0,0,0.000254992,0.000265399,0.000216334,0.000199235,0.000157604,0.000139762,0.000127124,0.00011969,0.000113743,0.000113743,9.88743e-005,9.36704e-005,9.51572e-005,8.62362e-005,6.91377e-005,0.000108539,0.000100361,8.25192e-005,8.17757e-005,9.51572e-005,8.4006e-005
1.715,0,0,0,0,0,0.000295211,0.000306281,0.000226943,0.00021495,0.000186352,0.000193732,0.000172514,0.000176204,0.000147605,0.000121774,0.000139302,0.000135612,0.000118084,0.000102401,0.000108859,0.000118084,0.000130077,0.000115317,0.000102401,0.000113472,9.68659e-005
1.843,0,0,0,0,0,0.000325125,0.000401827,0.000309098,0.000306808,0.000243844,0.000227816,0.000209499,0.000182024,0.000171721,0.000157983,0.000154549,0.000133942,0.000121349,0.000159128,0.00011906,0.000153404,0.000138522,0.000146535,0.000146535,0.000135087,0.000125929
1.981,0,0,0,0,1.42063e-006,0.000447499,0.000545523,0.000417666,0.000323904,0.000346634,0.000308277,0.00026992,0.000254293,0.000248611,0.000203151,0.000198889,0.000186103,0.000177579,0.000188944,0.00015627,0.000213095,0.000186103,0.000196047,0.000177579,0.000184682,0.000173317
2.129,0,0,0,0,0,0.000585289,0.000639939,0.000520061,0.000456596,0.000393131,0.000382553,0.000345532,0.000356109,0.000287356,0.000255623,0.000269726,0.000230942,0.00021155,0.000243283,0.000176292,0.00025386,0.000225653,0.000259149,0.000250334,0.000216839,0.000195684
2.288,0,2.18767e-006,0,0,0,0.000689116,0.000846628,0.000566607,0.000570982,0.000511915,0.000470349,0.000426596,0.000350027,0.000341277,0.000308461,0.000295335,0.000269083,0.000234081,0.000238456,0.000229705,0.000312837,0.000258145,0.000247207,0.000271271,0.000282209,0.00022533
2.458,0,0,0,0,0,0.000659687,0.000787281,0.000678691,0.000532093,0.000529379,0.000445221,0.000428932,0.000491372,0.000323057,0.000339345,0.000295909,0.00028505,0.000271476,0.000255188,0.000230755,0.000306768,0.00028505,0.000295909,0.000266047,0.000217181,0.000252473
2.642,0,0,0,0,0,0.000609762,0.00079168,0.000582811,0.00055586,0.000397524,0.000367205,0.000316672,0.000289721,0.000299828,0.000299828,0.000225713,0.000218975,0.000195393,0.000185287,0.000198762,0.000272877,0.000222344,0.000212238,0.0002055,0.000161705,0.000198762
2.839,0,0,0,0,0,0.00038879,0.000455678,0.000372068,0.000263374,0.000259193,0.000217388,0.000192305,0.000196485,0.000183944,0.000175582,0.00015886,0.000163041,0.000117055,0.000125416,0.000104513,0.000150499,0.000117055,0.000142138,0.000104513,0.000121236,0.000112874
3.051,0,0,0,0,0,0.000176385,0.000290516,0.000134882,0.000160821,0.000134882,0.000108943,6.74412e-005,8.81923e-005,8.81923e-005,0.000119319,5.18778e-005,7.2629e-005,6.22534e-005,4.66901e-005,6.74412e-005,8.30045e-005,7.78168e-005,5.70656e-005,6.74412e-005,4.15023e-005,6.74412e-005
3.278,0,0,0,0,0,0.000122317,8.36903e-005,0.00014163,6.43772e-005,5.79395e-005,2.57509e-005,7.08149e-005,5.79395e-005,4.5064e-005,4.5064e-005,6.43772e-006,3.86263e-005,4.5064e-005,2.57509e-005,2.57509e-005,7.08149e-005,5.15017e-005,2.57509e-005,1.93132e-005,1.93132e-005,1.93132e-005
3.523,0,0,0,0,0,8.78769e-005,7.18992e-005,7.18992e-005,5.59216e-005,3.9944e-005,3.19552e-005,7.98881e-006,3.9944e-005,7.98881e-006,4.79328e-005,7.98881e-006,1.59776e-005,3.19552e-005,7.98881e-006,1.59776e-005,3.19552e-005,3.19552e-005,3.19552e-005,1.59776e-005,0,0
3.786,0,0,0,0,0,9.91361e-005,7.93089e-005,4.95681e-005,3.96544e-005,3.96544e-005,9.91361e-006,5.94817e-005,3.96544e-005,2.97408e-005,1.98272e-005,1.98272e-005,1.98272e-005,9.91361e-006,0,1.98272e-005,2.97408e-005,3.96544e-005,1.98272e-005,9.91361e-006,0,9.91361e-006
