Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220725\VL_CU_SMPS_OccupiedSmoke_20220725_Trial1.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022,7/25/2022
Start Time,09:50:00,09:53:00,09:56:00,09:59:00,10:02:00,10:05:00,10:08:00,10:11:00,10:14:00,10:17:00,10:20:00,10:23:00,10:26:00,10:29:00,10:32:00,10:35:00,10:38:00,10:41:00,10:44:00,10:47:00,10:50:00,10:53:00,10:56:00,10:59:00,11:02:00,11:05:00
Sample Temp (C),21.2,21.4,21.5,21.6,21.7,21.8,21.9,22.0,22.0,22.1,22.1,22.2,22.2,22.3,22.3,22.4,22.4,22.5,22.5,22.6,22.6,22.6,22.7,22.7,22.8,22.8
Sample Pressure (kPa),81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5
Relative Humidity (%),59.3,60.1,60.8,61.3,61.7,62.0,62.3,62.5,62.6,62.7,62.8,62.8,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.8,62.8,62.8,62.7
Mean Free Path (m),8.30039e-008,8.30757e-008,8.31116e-008,8.31475e-008,8.31834e-008,8.32193e-008,8.32552e-008,8.32911e-008,8.32911e-008,8.33270e-008,8.33270e-008,8.33629e-008,8.33629e-008,8.33988e-008,8.33988e-008,8.34347e-008,8.34347e-008,8.34706e-008,8.34706e-008,8.35065e-008,8.35065e-008,8.35065e-008,8.35424e-008,8.35424e-008,8.35784e-008,8.35784e-008
Gas Viscosity (Pa*s),1.82384e-005,1.82480e-005,1.82528e-005,1.82576e-005,1.82624e-005,1.82672e-005,1.82719e-005,1.82767e-005,1.82767e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83149e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.8,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 17.5,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.8,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.004,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 19.5,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 20.2,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 20.9,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.006,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 21.7,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 22.5,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.008,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 23.3,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.009,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 24.1,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.011,0.008,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.013,0.009,0.006,0.005,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 25.9,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.015,0.011,0.008,0.006,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.018,0.012,0.009,0.007,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 27.9,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.020,0.015,0.011,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000
 28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.023,0.018,0.013,0.010,0.008,0.006,0.005,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.028,0.021,0.016,0.012,0.009,0.007,0.006,0.005,0.004,0.003,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
 31.1,0.000,0.000,0.000,0.000,0.000,0.000,0.043,0.032,0.025,0.019,0.015,0.012,0.009,0.007,0.006,0.005,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001
 32.2,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.037,0.029,0.023,0.018,0.014,0.011,0.009,0.007,0.006,0.005,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.001,0.001
 33.4,0.000,0.000,0.000,0.000,0.000,0.000,0.058,0.044,0.034,0.027,0.021,0.017,0.014,0.011,0.009,0.008,0.007,0.006,0.005,0.004,0.003,0.003,0.003,0.002,0.002,0.002
 34.6,0.000,0.000,0.000,0.000,0.000,0.000,0.067,0.051,0.040,0.032,0.025,0.021,0.017,0.014,0.012,0.010,0.008,0.007,0.006,0.005,0.004,0.004,0.003,0.003,0.003,0.002
 35.9,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.060,0.047,0.038,0.031,0.025,0.021,0.017,0.015,0.012,0.010,0.009,0.007,0.006,0.006,0.005,0.004,0.004,0.003,0.003
 37.2,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.070,0.057,0.045,0.036,0.030,0.025,0.021,0.019,0.015,0.013,0.011,0.010,0.008,0.007,0.006,0.005,0.005,0.004,0.004
 38.5,0.000,0.000,0.000,0.000,0.000,0.001,0.101,0.083,0.067,0.053,0.043,0.036,0.030,0.025,0.022,0.019,0.016,0.014,0.012,0.010,0.009,0.008,0.007,0.006,0.006,0.005
 40.0,0.000,0.000,0.000,0.000,0.000,0.001,0.118,0.097,0.077,0.063,0.052,0.045,0.037,0.031,0.028,0.023,0.020,0.018,0.015,0.013,0.011,0.010,0.009,0.008,0.007,0.006
 41.4,0.000,0.000,0.000,0.000,0.000,0.001,0.136,0.112,0.092,0.075,0.062,0.052,0.045,0.039,0.033,0.029,0.024,0.022,0.019,0.017,0.015,0.014,0.011,0.010,0.009,0.009
 42.9,0.000,0.000,0.000,0.000,0.000,0.003,0.157,0.132,0.109,0.087,0.076,0.064,0.056,0.048,0.041,0.036,0.030,0.027,0.024,0.021,0.019,0.017,0.015,0.013,0.012,0.011
 44.5,0.000,0.000,0.000,0.000,0.000,0.008,0.181,0.153,0.125,0.105,0.091,0.076,0.066,0.057,0.051,0.044,0.037,0.033,0.029,0.027,0.023,0.021,0.018,0.016,0.016,0.013
 46.1,0.000,0.000,0.000,0.000,0.000,0.014,0.212,0.177,0.149,0.124,0.108,0.092,0.080,0.071,0.062,0.052,0.047,0.041,0.036,0.032,0.029,0.026,0.024,0.022,0.020,0.017
 47.8,0.000,0.000,0.000,0.000,0.000,0.021,0.247,0.210,0.175,0.148,0.130,0.111,0.097,0.084,0.075,0.065,0.057,0.051,0.045,0.041,0.037,0.033,0.031,0.028,0.025,0.022
 49.6,0.000,0.000,0.000,0.000,0.000,0.031,0.290,0.243,0.211,0.180,0.155,0.137,0.119,0.105,0.090,0.082,0.072,0.065,0.058,0.053,0.047,0.042,0.038,0.035,0.033,0.030
 51.4,0.000,0.000,0.000,0.000,0.000,0.043,0.336,0.285,0.251,0.214,0.187,0.166,0.144,0.131,0.111,0.101,0.088,0.080,0.072,0.066,0.058,0.054,0.048,0.044,0.042,0.037
 53.3,0.000,0.000,0.000,0.000,0.000,0.065,0.393,0.334,0.293,0.255,0.216,0.194,0.168,0.151,0.134,0.121,0.109,0.095,0.089,0.084,0.072,0.068,0.060,0.056,0.053,0.048
 55.2,0.000,0.000,0.000,0.000,0.000,0.090,0.470,0.394,0.349,0.300,0.260,0.231,0.206,0.181,0.163,0.148,0.134,0.122,0.109,0.100,0.091,0.084,0.075,0.070,0.066,0.059
 57.3,0.000,0.000,0.000,0.000,0.000,0.126,0.534,0.463,0.406,0.358,0.314,0.277,0.247,0.222,0.198,0.179,0.159,0.148,0.136,0.124,0.118,0.104,0.096,0.090,0.081,0.076
 59.4,0.000,0.000,0.000,0.000,0.000,0.181,0.639,0.543,0.478,0.421,0.376,0.334,0.294,0.269,0.237,0.219,0.200,0.183,0.168,0.152,0.141,0.128,0.121,0.114,0.104,0.096
 61.5,0.000,0.000,0.000,0.000,0.000,0.248,0.729,0.636,0.560,0.500,0.445,0.398,0.353,0.324,0.294,0.261,0.243,0.225,0.205,0.188,0.171,0.158,0.147,0.138,0.126,0.119
 63.8,0.000,0.000,0.000,0.000,0.000,0.347,0.852,0.745,0.654,0.584,0.536,0.480,0.422,0.388,0.352,0.322,0.296,0.270,0.250,0.229,0.213,0.194,0.182,0.167,0.155,0.147
 66.1,0.001,0.000,0.000,0.000,0.000,0.491,1.002,0.867,0.794,0.697,0.629,0.568,0.515,0.467,0.420,0.384,0.354,0.331,0.304,0.277,0.256,0.236,0.222,0.208,0.192,0.182
 68.5,0.001,0.000,0.000,0.000,0.000,0.699,1.145,1.018,0.909,0.823,0.746,0.690,0.609,0.560,0.506,0.464,0.427,0.403,0.371,0.336,0.315,0.288,0.272,0.255,0.237,0.222
 71.0,0.001,0.000,0.000,0.000,0.000,0.895,1.309,1.156,1.024,0.929,0.850,0.776,0.697,0.629,0.582,0.528,0.482,0.451,0.412,0.382,0.358,0.328,0.313,0.290,0.269,0.252
 73.7,0.001,0.000,0.000,0.000,0.000,1.088,1.471,1.287,1.152,1.052,0.963,0.877,0.786,0.727,0.662,0.610,0.548,0.520,0.483,0.438,0.411,0.377,0.356,0.334,0.317,0.290
 76.4,0.001,0.000,0.000,0.000,0.000,1.330,1.692,1.502,1.351,1.217,1.135,1.038,0.939,0.853,0.789,0.739,0.662,0.630,0.580,0.526,0.501,0.461,0.420,0.399,0.375,0.354
 79.1,0.001,0.000,0.000,0.000,0.000,1.620,1.956,1.760,1.578,1.436,1.326,1.200,1.089,1.022,0.939,0.880,0.793,0.729,0.691,0.631,0.596,0.556,0.509,0.479,0.450,0.422
 82.0,0.001,0.001,0.000,0.000,0.000,1.984,2.267,2.010,1.824,1.646,1.531,1.405,1.263,1.186,1.114,1.023,0.940,0.878,0.828,0.756,0.698,0.662,0.610,0.575,0.552,0.507
 85.1,0.002,0.001,0.000,0.000,0.000,2.340,2.564,2.304,2.117,1.915,1.789,1.609,1.498,1.407,1.306,1.207,1.101,1.039,0.972,0.892,0.830,0.797,0.718,0.691,0.644,0.602
