Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220720\VL_CU_APS_CADR_Smoke_Oransi_SCAN1.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22,07/20/22
Start Time,10:00:01,10:03:00,10:06:00,10:09:00,10:12:00,10:15:00,10:18:00,10:21:00,10:24:00,10:27:00,10:30:00,10:33:00,10:36:00,10:39:00,10:42:00,10:45:01,10:48:00,10:51:00,10:54:00,10:57:00,11:00:01,11:03:00,11:06:00,11:09:00,11:12:00,11:15:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,1.92436e-006,9.72046e-007,6.90794e-007,4.8849e-007,4.09542e-007,0.0117969,0.0121388,0.00590054,0.00270431,0.00125238,0.000585966,0.000278898,0.00013545,6.65975e-005,3.29953e-005,1.75906e-005,9.2221e-006,6.54281e-006,3.52305e-006,2.32403e-006,1.426e-006,1.14968e-006,1.03126e-006,7.59874e-007,6.21715e-007,6.06912e-007
0.542,8.46019e-007,5.25115e-007,2.33384e-007,2.04211e-007,2.04211e-007,0.00387762,0.00408464,0.00205898,0.00100242,0.000484127,0.0002286,0.000106452,5.0411e-005,2.50013e-005,1.47032e-005,6.56394e-006,3.50077e-006,2.42136e-006,1.31279e-006,9.04365e-007,5.25115e-007,2.91731e-007,3.50077e-007,4.08423e-007,2.62557e-007,1.45865e-007
0.583,6.87837e-007,3.98221e-007,3.62019e-007,4.34423e-007,1.8101e-007,0.00362888,0.00378553,0.00189043,0.000911348,0.000448506,0.000209573,9.85055e-005,4.60489e-005,2.26624e-005,1.17294e-005,6.22673e-006,3.54779e-006,2.02731e-006,1.15846e-006,6.15433e-007,5.79231e-007,4.34423e-007,3.25817e-007,3.62019e-007,1.8101e-007,2.17212e-007
0.626,6.73865e-007,6.28941e-007,1.34773e-007,4.04319e-007,1.34773e-007,0.00313329,0.00325733,0.00158897,0.000772744,0.000366673,0.000173767,8.43679e-005,3.76466e-005,2.02609e-005,9.25442e-006,5.25615e-006,2.33607e-006,1.6622e-006,1.21296e-006,4.04319e-007,5.39092e-007,2.24622e-007,1.79697e-007,2.24622e-007,8.98487e-008,4.04319e-007
0.673,3.3449e-007,5.57483e-007,2.78742e-007,1.11497e-007,1.67245e-007,0.00255946,0.00263561,0.00126014,0.000613399,0.000299257,0.000139761,6.69537e-005,3.22783e-005,1.64458e-005,7.86051e-006,5.01735e-006,2.17418e-006,1.67245e-006,9.47722e-007,2.22993e-007,5.01735e-007,1.67245e-007,3.3449e-007,2.78742e-007,1.67245e-007,3.3449e-007
0.723,6.91802e-007,1.3836e-007,2.07541e-007,6.91802e-008,0,0.00202082,0.00209907,0.000988101,0.000477689,0.000232791,0.000108336,5.34763e-005,2.58042e-005,1.32826e-005,6.6413e-006,2.83639e-006,1.72951e-006,1.0377e-006,4.15081e-007,3.45901e-007,3.45901e-007,1.3836e-007,3.45901e-007,2.07541e-007,1.3836e-007,1.3836e-007
0.777,3.43393e-007,8.58483e-008,3.43393e-007,8.58483e-008,1.71697e-007,0.00159918,0.00160614,0.000787573,0.0003749,0.000183286,8.22427e-005,3.97478e-005,1.75989e-005,1.08169e-005,4.46411e-006,1.97451e-006,1.03018e-006,5.1509e-007,4.29242e-007,4.29242e-007,3.43393e-007,8.58483e-008,2.57545e-007,1.71697e-007,0,0
