Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220720\VL_CU_SMPS_CADR_Smoke_Oransi_SCAN1.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022,7/20/2022
Start Time,10:00:00,10:03:00,10:06:00,10:09:00,10:12:00,10:15:00,10:18:00,10:21:00,10:24:00,10:27:00,10:30:00,10:33:00,10:36:00,10:39:00,10:42:01,10:45:01,10:48:01,10:51:01,10:54:01,10:57:00,11:00:00,11:03:01,11:06:00,11:09:01,11:12:00,11:15:00
Sample Temp (C),20.6,20.8,21.0,21.1,21.2,21.4,21.5,21.6,21.6,21.7,21.8,21.9,21.9,22.0,22.1,22.1,22.2,22.2,22.3,22.3,22.4,22.4,22.5,22.5,22.6,22.6
Sample Pressure (kPa),81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7
Relative Humidity (%),44.7,44.5,44.3,44.2,44.0,43.8,43.6,43.4,43.3,43.1,43.0,42.9,42.8,42.8,42.7,42.6,42.5,42.5,42.4,42.4,42.4,42.3,42.3,42.3,42.2,42.2
Mean Free Path (m),8.25859e-008,8.26575e-008,8.27291e-008,8.27649e-008,8.28007e-008,8.28723e-008,8.29082e-008,8.29440e-008,8.29440e-008,8.29798e-008,8.30156e-008,8.30514e-008,8.30514e-008,8.30872e-008,8.31230e-008,8.31230e-008,8.31588e-008,8.31588e-008,8.31947e-008,8.31947e-008,8.32305e-008,8.32305e-008,8.32663e-008,8.32663e-008,8.33021e-008,8.33021e-008
Gas Viscosity (Pa*s),1.82097e-005,1.82193e-005,1.82289e-005,1.82337e-005,1.82384e-005,1.82480e-005,1.82528e-005,1.82576e-005,1.82576e-005,1.82624e-005,1.82672e-005,1.82719e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83054e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
