Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220726\VL_CU_APS_CADR_20220726_SmokeOreck_Trial3.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22,07/26/22
Start Time,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00,15:17:00,15:20:00,15:23:00,15:26:00,15:29:00,15:32:00,15:35:00,15:38:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,3.19246e-006,1.82567e-006,1.14968e-006,6.36518e-007,5.92109e-007,0.0112335,0.0124081,0.00700184,0.00396381,0.00228224,0.00128692,0.00074963,0.000427399,0.000254,0.000149897,9.18362e-005,5.70201e-005,3.38637e-005,2.06005e-005,1.39738e-005,8.95565e-006,5.90136e-006,4.34214e-006,2.85693e-006,2.13653e-006,1.65791e-006,1.4556e-006
0.542,1.28361e-006,7.29326e-007,3.7925e-007,2.62557e-007,2.62557e-007,0.00314876,0.00346459,0.0018865,0.00104282,0.000559568,0.000316411,0.00017991,0.000106715,5.99798e-005,3.46576e-005,2.04795e-005,1.12025e-005,7.32244e-006,4.81355e-006,2.82979e-006,2.07129e-006,1.13775e-006,7.87672e-007,6.7098e-007,6.7098e-007,5.83461e-007,3.50077e-007
0.583,1.33947e-006,4.70625e-007,2.17212e-007,2.89616e-007,3.25817e-007,0.00285822,0.00310526,0.00163521,0.000894224,0.000470698,0.000270247,0.000150528,8.9274e-005,5.06465e-005,2.85995e-005,1.69425e-005,9.23149e-006,6.15433e-006,3.7288e-006,1.48428e-006,1.59289e-006,1.12226e-006,7.60241e-007,6.87837e-007,3.62019e-007,3.25817e-007,2.53414e-007
0.626,1.30281e-006,3.1447e-007,8.98487e-008,8.98487e-008,8.98487e-008,0.00238261,0.00257412,0.00133075,0.000724495,0.000372423,0.000209258,0.000119005,7.16993e-005,4.13753e-005,2.26419e-005,1.33425e-005,8.35593e-006,4.85183e-006,3.77365e-006,1.61728e-006,1.03326e-006,8.08638e-007,5.39092e-007,5.39092e-007,5.39092e-007,1.79697e-007,2.69546e-007
0.673,1.17071e-006,6.13232e-007,3.90238e-007,0,5.57483e-008,0.00188859,0.00201196,0.00103725,0.000542543,0.000284484,0.000161336,9.3267e-005,5.29609e-005,2.90449e-005,1.67245e-005,9.30997e-006,5.90932e-006,2.73167e-006,2.73167e-006,8.91973e-007,1.00347e-006,5.57483e-007,5.01735e-007,2.22993e-007,3.90238e-007,5.01735e-007,2.22993e-007
0.723,4.84261e-007,6.91802e-007,1.3836e-007,0,0,0.00144428,0.00154756,0.000780353,0.000410861,0.000211207,0.00012155,6.90418e-005,3.9917e-005,2.17918e-005,1.15531e-005,7.26392e-006,4.56589e-006,2.62885e-006,1.52196e-006,1.52196e-006,6.91802e-007,4.84261e-007,3.45901e-007,2.07541e-007,2.76721e-007,1.3836e-007,2.07541e-007
0.777,3.43393e-007,1.71697e-007,8.58483e-008,8.58483e-008,0,0.00114213,0.00119715,0.000590722,0.000305706,0.00014929,8.84238e-005,4.80751e-005,2.52394e-005,1.43367e-005,1.05593e-005,5.23675e-006,2.06036e-006,1.54527e-006,1.63112e-006,9.44332e-007,8.58483e-007,1.71697e-007,1.71697e-007,8.58483e-008,2.57545e-007,1.71697e-007,1.71697e-007
0.835,6.39195e-007,4.2613e-007,2.13065e-007,2.13065e-007,0,0.000871648,0.000889866,0.000415583,0.000207312,0.000106639,5.69949e-005,3.25989e-005,1.90693e-005,1.0014e-005,5.43315e-006,3.30251e-006,2.02412e-006,1.17186e-006,3.19597e-007,5.32662e-007,4.2613e-007,0,1.06532e-007,0,0,2.13065e-007,1.06532e-007
0.898,2.644e-007,1.322e-007,1.322e-007,0,0,0.000663248,0.000678715,0.000308159,0.000143305,7.37677e-005,4.0982e-005,2.28706e-005,1.17658e-005,7.13881e-006,3.966e-006,2.9084e-006,1.322e-006,1.0576e-006,7.93201e-007,1.322e-007,2.644e-007,1.322e-007,3.966e-007,2.644e-007,2.644e-007,2.644e-007,0
0.965,4.92156e-007,0,1.64052e-007,1.64052e-007,0,0.000513975,0.000503804,0.000214416,9.92515e-005,4.3966e-005,2.28032e-005,1.37804e-005,6.23398e-006,2.62483e-006,2.29673e-006,1.47647e-006,4.92156e-007,6.56208e-007,6.56208e-007,3.28104e-007,3.28104e-007,0,0,3.28104e-007,1.64052e-007,0,3.28104e-007
1.037,2.03578e-007,2.03578e-007,0,0,0,0.000422425,0.000404918,0.000145966,7.41026e-005,3.17582e-005,1.3029e-005,8.55029e-006,3.25726e-006,1.22147e-006,2.23936e-006,4.07157e-007,6.10735e-007,8.14314e-007,4.07157e-007,4.07157e-007,4.07157e-007,0,2.03578e-007,0,2.03578e-007,0,0
1.114,7.57885e-007,0,0,0,0,0.000377427,0.000348374,0.000138693,5.27993e-005,1.91997e-005,1.06104e-005,6.3157e-006,2.02103e-006,1.01051e-006,5.05256e-007,1.26314e-006,0,2.52628e-007,0,0,0,0,7.57885e-007,0,2.52628e-007,2.52628e-007,0
1.197,3.13496e-007,0,0,3.13496e-007,3.13496e-007,0.000349234,0.000342338,0.000129474,5.26673e-005,2.44527e-005,9.09138e-006,5.01593e-006,2.50797e-006,9.40488e-007,1.25398e-006,6.26992e-007,9.40488e-007,3.13496e-007,6.26992e-007,0,0,3.13496e-007,3.13496e-007,6.26992e-007,3.13496e-007,3.13496e-007,6.26992e-007
1.286,1.16709e-006,0,0,0,0,0.000347014,0.000324061,0.000120599,5.21299e-005,2.21746e-005,7.78058e-006,4.27932e-006,1.94514e-006,1.94514e-006,7.78058e-007,7.78058e-007,0,7.78058e-007,3.89029e-007,3.89029e-007,0,3.89029e-007,0,3.89029e-007,0,3.89029e-007,3.89029e-007
1.382,4.82761e-007,0,0,0,0,0.00036545,0.000361588,0.000120207,4.20002e-005,2.12415e-005,5.79313e-006,4.34485e-006,1.44828e-006,9.65521e-007,9.65521e-007,0,4.82761e-007,0,9.65521e-007,0,4.82761e-007,4.82761e-007,0,0,4.82761e-007,0,4.82761e-007
1.486,0,0,0,0,0,0.000394791,0.000379814,0.000107235,5.33177e-005,1.6175e-005,4.79261e-006,4.19353e-006,1.79723e-006,5.99076e-007,0,1.19815e-006,5.99076e-007,5.99076e-007,0,0,0,0,5.99076e-007,0,0,0,0
1.596,0,0,0,0,0,0.000457201,0.000451253,0.000138275,5.87299e-005,2.08156e-005,8.92099e-006,2.23025e-006,7.43416e-007,0,0,0,0,0,7.43416e-007,7.43416e-007,0,7.43416e-007,7.43416e-007,1.48683e-006,0,0,0
1.715,9.22533e-007,0,0,0,0,0.000604259,0.000559055,0.000174359,6.08872e-005,2.02957e-005,6.45773e-006,0,1.84507e-006,0,9.22533e-007,1.84507e-006,0,0,0,0,0,0,0,0,0,0,1.84507e-006
1.843,0,0,0,0,0,0.00076931,0.000698332,0.000218658,5.83851e-005,2.51857e-005,4.57922e-006,4.57922e-006,1.14481e-006,1.14481e-006,0,0,0,0,0,0,0,1.14481e-006,0,0,1.14481e-006,1.14481e-006,0
1.981,0,0,0,0,1.42063e-006,0.000934776,0.000894999,0.000275603,8.94999e-005,3.55158e-005,1.13651e-005,2.84127e-006,4.2619e-006,0,1.42063e-006,0,0,0,1.42063e-006,0,0,0,1.42063e-006,0,1.42063e-006,1.42063e-006,0
2.129,0,0,0,0,0,0.00118644,0.00118292,0.000398419,0.00012693,4.05471e-005,1.76292e-005,5.28875e-006,1.76292e-006,1.76292e-006,0,0,0,0,0,0,0,0,0,0,0,0,0
2.288,0,0,0,0,0,0.00144386,0.00131916,0.000472537,0.000111571,3.50027e-005,1.9689e-005,1.09383e-005,6.56301e-006,0,2.18767e-006,0,2.18767e-006,0,0,0,0,0,0,0,0,0,2.18767e-006
2.458,0,0,0,0,0,0.00148226,0.00134109,0.00039907,0.000160171,4.34362e-005,1.08591e-005,5.42953e-006,2.71476e-006,0,2.71476e-006,0,0,0,2.71476e-006,0,0,0,0,0,0,0,0
2.642,0,0,0,0,0,0.00121279,0.000950016,0.000330147,9.76967e-005,4.04262e-005,6.7377e-006,0,0,3.36885e-006,0,0,0,0,0,0,0,3.36885e-006,0,0,0,3.36885e-006,0
2.839,0,0,0,0,0,0.000760857,0.000643802,0.00023411,7.52496e-005,1.67221e-005,1.25416e-005,0,0,0,0,4.18053e-006,4.18053e-006,0,0,0,0,0,0,0,0,0,0
3.051,0,0,0,0,0,0.000482464,0.000456525,6.74412e-005,4.15023e-005,2.59389e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.278,0,0,0,0,0,0.000328324,0.000206007,5.15017e-005,1.93132e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.523,0,7.98881e-006,0,0,0,0.000191731,0.00019972,1.59776e-005,0,0,0,0,0,0,0,0,0,0,7.98881e-006,7.98881e-006,0,0,0,0,0,0,0
3.786,0,0,0,0,0,0.000218099,0.000208186,1.98272e-005,0,9.91361e-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.068,0,0,0,0,0,0.000319857,0.000258346,4.92087e-005,1.23022e-005,0,1.23022e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.371,0,0,0,0,0,0.00036639,0.000320591,4.57987e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52662e-005,0
4.698,0,0,0,0,0,0.0005115,0.000359944,7.57778e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.048,0,0,0,0,0,0.000540704,0.000399651,0.000141053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.425,0,0,0,0,0,0.000846018,0.000612634,5.83461e-005,0.000145865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.829,0,0,0,0,0,0.000796443,0.000543029,0.00018101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.264,0,0,0,0,0,0.000763714,0.000539092,0.000134773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.732,0,0,0,0,0,0.000947722,0.000167245,5.57483e-005,5.57483e-005,5.57483e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.234,0,0,0,0,0,0.000484261,6.91802e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.774,0,0,0,0,0,0.000343393,0.000171697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.977,0,0,0,0,0,0.0001322,0.0002644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.647,0,0,0,0,0,0,0.000164052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
