Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220726\VL_CU_SMPS_CADR_20220726_SmokeOreck_Trial3.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022,7/26/2022
Start Time,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:01,15:05:00,15:08:00,15:11:00,15:14:00,15:17:00,15:20:00,15:23:00,15:26:00,15:29:00,15:32:00,15:35:00,15:38:00
Sample Temp (C),23.7,23.8,23.8,23.9,24.0,24.0,24.0,24.1,24.1,24.1,24.2,24.2,24.2,24.3,24.3,24.3,24.4,24.4,24.4,24.4,24.4,24.5,24.5,24.5,24.5,24.5,24.6
Sample Pressure (kPa),81.5,81.4,81.5,81.4,81.4,81.5,81.4,81.4,81.5,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4
Relative Humidity (%),53.7,53.6,53.5,53.4,53.4,53.4,53.3,53.3,53.3,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.3,53.3,53.3,53.3
Mean Free Path (m),8.39016e-008,8.40407e-008,8.39376e-008,8.40767e-008,8.41126e-008,8.40094e-008,8.41126e-008,8.41486e-008,8.40454e-008,8.41486e-008,8.41846e-008,8.41846e-008,8.41846e-008,8.42206e-008,8.42206e-008,8.42206e-008,8.42565e-008,8.42565e-008,8.42565e-008,8.42565e-008,8.42565e-008,8.42925e-008,8.42925e-008,8.42925e-008,8.42925e-008,8.42925e-008,8.43285e-008
Gas Viscosity (Pa*s),1.83579e-005,1.83627e-005,1.83627e-005,1.83674e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83913e-005,1.83913e-005,1.83913e-005,1.83913e-005,1.83913e-005,1.83960e-005,1.83960e-005,1.83960e-005,1.83960e-005,1.83960e-005,1.84008e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.8,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 17.5,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.8,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 19.5,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 20.2,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 20.9,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 21.7,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 22.5,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 23.3,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 24.1,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.004,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.005,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 25.9,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.006,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.007,0.004,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 27.9,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.008,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.010,0.006,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.012,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 31.1,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.014,0.009,0.006,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 32.2,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.018,0.011,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 33.4,0.000,0.000,0.000,0.000,0.000,0.001,0.040,0.022,0.013,0.008,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 34.6,0.000,0.000,0.000,0.000,0.000,0.003,0.048,0.026,0.016,0.011,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 35.9,0.000,0.000,0.000,0.000,0.000,0.004,0.056,0.031,0.020,0.013,0.009,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 37.2,0.000,0.000,0.000,0.000,0.000,0.005,0.067,0.038,0.024,0.015,0.010,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 38.5,0.000,0.000,0.000,0.000,0.000,0.006,0.079,0.047,0.029,0.019,0.013,0.009,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 40.0,0.000,0.000,0.000,0.000,0.000,0.007,0.095,0.056,0.036,0.023,0.015,0.011,0.007,0.005,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 41.4,0.000,0.000,0.000,0.000,0.000,0.009,0.112,0.067,0.043,0.027,0.019,0.013,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 42.9,0.000,0.000,0.000,0.000,0.000,0.010,0.134,0.080,0.052,0.033,0.022,0.015,0.011,0.008,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 44.5,0.000,0.000,0.000,0.000,0.000,0.011,0.159,0.096,0.062,0.041,0.027,0.019,0.012,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 46.1,0.000,0.000,0.000,0.000,0.000,0.010,0.189,0.113,0.074,0.048,0.032,0.022,0.015,0.011,0.008,0.005,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 47.8,0.000,0.000,0.000,0.000,0.000,0.013,0.223,0.137,0.089,0.057,0.038,0.027,0.018,0.013,0.009,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 49.6,0.000,0.000,0.000,0.000,0.000,0.021,0.264,0.167,0.108,0.068,0.047,0.032,0.022,0.015,0.010,0.007,0.005,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000
 51.4,0.000,0.000,0.000,0.000,0.000,0.041,0.317,0.197,0.128,0.082,0.056,0.038,0.027,0.018,0.012,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000
 53.3,0.000,0.000,0.000,0.000,0.000,0.064,0.371,0.232,0.149,0.099,0.067,0.044,0.030,0.021,0.014,0.010,0.006,0.005,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000
 55.2,0.000,0.000,0.000,0.000,0.000,0.089,0.443,0.272,0.176,0.117,0.076,0.052,0.035,0.024,0.017,0.012,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000
 57.3,0.000,0.000,0.000,0.000,0.000,0.113,0.522,0.315,0.209,0.136,0.091,0.060,0.042,0.030,0.019,0.013,0.010,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000
 59.4,0.000,0.000,0.000,0.000,0.000,0.139,0.618,0.371,0.244,0.160,0.104,0.071,0.049,0.032,0.023,0.015,0.011,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000
 61.5,0.000,0.000,0.000,0.000,0.000,0.172,0.713,0.439,0.286,0.189,0.123,0.082,0.057,0.038,0.026,0.018,0.012,0.008,0.006,0.004,0.003,0.001,0.001,0.001,0.001,0.000,0.000
 63.8,0.000,0.000,0.000,0.000,0.000,0.279,0.835,0.513,0.336,0.215,0.145,0.093,0.066,0.043,0.030,0.020,0.014,0.009,0.006,0.004,0.003,0.001,0.001,0.001,0.001,0.000,0.000
 66.1,0.000,0.000,0.000,0.000,0.000,0.466,0.969,0.599,0.392,0.250,0.163,0.108,0.077,0.052,0.035,0.022,0.015,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.000
 68.5,0.000,0.000,0.000,0.000,0.000,0.668,1.138,0.692,0.448,0.290,0.188,0.126,0.085,0.059,0.038,0.027,0.018,0.011,0.008,0.005,0.003,0.003,0.002,0.001,0.001,0.001,0.000
 71.0,0.000,0.000,0.000,0.000,0.000,0.812,1.275,0.772,0.504,0.324,0.208,0.140,0.097,0.067,0.043,0.029,0.020,0.013,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.000
 73.7,0.000,0.000,0.000,0.000,0.000,0.986,1.428,0.873,0.561,0.354,0.231,0.156,0.104,0.073,0.047,0.033,0.020,0.014,0.009,0.006,0.004,0.003,0.002,0.001,0.001,0.000,0.000
 76.4,0.000,0.000,0.000,0.000,0.000,1.243,1.640,0.996,0.638,0.413,0.270,0.177,0.118,0.082,0.055,0.036,0.023,0.015,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001
 79.1,0.000,0.000,0.000,0.000,0.000,1.529,1.872,1.150,0.731,0.470,0.309,0.201,0.135,0.093,0.063,0.040,0.026,0.018,0.011,0.008,0.005,0.003,0.002,0.001,0.001,0.001,0.000
 82.0,0.000,0.000,0.000,0.000,0.000,1.900,2.147,1.327,0.820,0.534,0.353,0.230,0.151,0.103,0.068,0.044,0.029,0.020,0.013,0.008,0.006,0.004,0.002,0.002,0.001,0.001,0.001
 85.1,0.001,0.000,0.000,0.000,0.000,2.332,2.447,1.482,0.925,0.612,0.393,0.261,0.175,0.116,0.076,0.050,0.033,0.022,0.014,0.010,0.007,0.004,0.003,0.002,0.001,0.001,0.001
 88.2,0.001,0.000,0.000,0.000,0.000,2.766,2.787,1.672,1.077,0.678,0.443,0.291,0.195,0.126,0.084,0.055,0.035,0.025,0.016,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001
 91.4,0.001,0.000,0.000,0.000,0.000,3.240,3.127,1.900,1.200,0.766,0.494,0.327,0.218,0.144,0.094,0.061,0.041,0.024,0.018,0.011,0.008,0.006,0.004,0.002,0.002,0.001,0.001
 94.7,0.001,0.000,0.000,0.000,0.000,3.695,3.538,2.131,1.354,0.861,0.565,0.374,0.244,0.161,0.098,0.066,0.044,0.029,0.019,0.014,0.007,0.006,0.004,0.003,0.001,0.002,0.001
 98.2,0.001,0.000,0.000,0.000,0.000,4.278,4.038,2.424,1.537,0.969,0.639,0.422,0.266,0.180,0.118,0.075,0.049,0.034,0.022,0.013,0.009,0.007,0.005,0.003,0.002,0.001,0.001
101.8,0.001,0.001,0.000,0.000,0.000,4.936,4.445,2.756,1.748,1.096,0.712,0.474,0.305,0.200,0.130,0.085,0.057,0.037,0.024,0.014,0.011,0.006,0.004,0.003,0.002,0.001,0.001
105.5,0.001,0.000,0.000,0.000,0.000,5.690,5.171,3.100,1.976,1.221,0.802,0.541,0.338,0.225,0.142,0.095,0.062,0.042,0.027,0.016,0.011,0.009,0.004,0.004,0.003,0.001,0.001
109.4,0.002,0.000,0.001,0.000,0.000,6.513,5.765,3.478,2.227,1.364,0.904,0.577,0.377,0.255,0.160,0.101,0.067,0.042,0.029,0.018,0.014,0.009,0.006,0.004,0.003,0.002,0.001
113.4,0.002,0.001,0.000,0.000,0.000,7.473,6.484,3.977,2.539,1.535,1.014,0.667,0.428,0.275,0.178,0.114,0.076,0.050,0.033,0.021,0.015,0.011,0.006,0.005,0.003,0.002,0.001
117.6,0.002,0.001,0.001,0.000,0.000,8.496,7.280,4.463,2.820,1.747,1.143,0.739,0.480,0.306,0.194,0.124,0.086,0.054,0.036,0.022,0.015,0.010,0.006,0.006,0.003,0.003,0.002
121.9,0.002,0.001,0.001,0.001,0.000,9.515,8.043,4.958,3.132,1.948,1.245,0.826,0.518,0.338,0.219,0.137,0.088,0.059,0.036,0.026,0.015,0.013,0.007,0.005,0.004,0.002,0.002
126.3,0.002,0.001,0.001,0.000,0.000,10.694,8.932,5.628,3.543,2.190,1.401,0.909,0.577,0.386,0.240,0.158,0.098,0.064,0.043,0.027,0.019,0.013,0.008,0.006,0.004,0.003,0.002
