Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220713\VL_CU_APS_CADR_Smoke_Background_Prelim.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22
Start Time,10:10:00,10:13:00,10:16:00,10:19:00,10:22:00,10:25:00,10:28:00,10:31:00,10:34:00,10:37:00,10:40:00,10:43:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,9.76487e-006,9.61191e-006,9.63164e-006,9.18263e-006,9.32079e-006,0.00268737,0.00325749,0.00292058,0.00265347,0.0024765,0.00228023,0.00218513
0.542,4.75521e-006,4.98859e-006,4.40513e-006,4.93025e-006,4.46348e-006,0.00169087,0.00198467,0.00175447,0.0016105,0.00146428,0.00138207,0.00128924
0.583,5.86471e-006,6.04572e-006,5.46649e-006,5.21308e-006,5.43029e-006,0.00173349,0.00203766,0.00179536,0.00165816,0.00148385,0.00142896,0.0013188
0.626,5.97494e-006,5.84017e-006,6.15464e-006,5.5257e-006,6.19956e-006,0.00158565,0.00187743,0.00164805,0.0015104,0.001371,0.00131817,0.00117405
0.673,5.79783e-006,5.74208e-006,5.24034e-006,5.57483e-006,5.57483e-006,0.0013514,0.00159267,0.00141071,0.00128846,0.00115962,0.00110404,0.00102399
0.723,5.53442e-006,5.88032e-006,6.15704e-006,5.67278e-006,6.77966e-006,0.00112549,0.00132854,0.00119004,0.00107485,0.000980491,0.000930405,0.00085147
0.777,5.40844e-006,5.40844e-006,5.1509e-006,4.54996e-006,6.00938e-006,0.000930939,0.00113929,0.000988286,0.000913426,0.000827835,0.000781134,0.000720267
0.835,4.79396e-006,5.11356e-006,5.32662e-006,2.76984e-006,4.15477e-006,0.000775876,0.00094995,0.000850981,0.000764477,0.000684045,0.000660501,0.000606702
0.898,4.7592e-006,3.305e-006,3.305e-006,3.5694e-006,3.305e-006,0.000655448,0.000819509,0.000748782,0.000661265,0.000601907,0.000583267,0.000544665
0.965,4.26535e-006,3.7732e-006,3.60915e-006,3.60915e-006,3.44509e-006,0.000554496,0.000696893,0.000625367,0.000565159,0.000497898,0.000480673,0.000437035
1.037,3.86799e-006,2.8501e-006,2.64652e-006,1.42505e-006,3.05368e-006,0.000440747,0.000555769,0.000490624,0.000453573,0.00039311,0.000361352,0.000342623
1.114,4.04205e-006,3.28417e-006,4.04205e-006,2.52628e-006,1.7684e-006,0.000384247,0.000507277,0.000437047,0.000409005,0.00036429,0.000350901,0.000294312
1.197,1.56748e-006,2.50797e-006,1.56748e-006,2.50797e-006,1.88098e-006,0.000363969,0.000439521,0.00039187,0.00036679,0.000318198,0.000291238,0.00026271
1.286,1.94514e-006,2.33417e-006,1.55612e-006,2.33417e-006,1.55612e-006,0.000333787,0.00040848,0.000385139,0.000322505,0.000322116,0.000273876,0.000261427
1.382,1.44828e-006,5.31037e-006,3.37932e-006,4.82761e-007,3.37932e-006,0.00036545,0.000447036,0.000419519,0.000361105,0.000326829,0.000276139,0.000272277
