Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220713\VL_CU_APS_CADR_Smoke_Background_Prelim2.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22
Start Time,11:00:00,11:03:00,11:06:00,11:09:00,11:12:01,11:15:00,11:18:00,11:21:00,11:24:01,11:27:00,11:30:00,11:33:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,6.87834e-006,3.602e-006,1.96876e-006,9.67112e-007,6.8586e-007,0.00507586,0.0154021,0.023085,0.0219669,0.0210859,0.0197816,0.0190221
0.542,4.28844e-006,1.8379e-006,1.0794e-006,7.87672e-007,5.83461e-007,0.00329583,0.00990241,0.0158705,0.0148886,0.0141258,0.0135394,0.0129324
0.583,4.27183e-006,1.59289e-006,1.08606e-006,3.62019e-007,3.62019e-007,0.00345888,0.0106462,0.0179952,0.0168042,0.0158009,0.0153329,0.0145791
0.626,3.77365e-006,2.11144e-006,8.08638e-007,3.1447e-007,4.04319e-007,0.00327332,0.0102168,0.0181799,0.0169176,0.0157753,0.0153331,0.0144751
0.673,3.3449e-006,1.39371e-006,4.45987e-007,4.45987e-007,1.67245e-007,0.00288219,0.00910872,0.0166261,0.0154323,0.0143145,0.0138903,0.0130815
0.723,2.35213e-006,8.99343e-007,6.22622e-007,2.76721e-007,2.07541e-007,0.00244926,0.00786309,0.0144868,0.0134118,0.0124207,0.0120109,0.0112825
0.777,1.45942e-006,1.45942e-006,6.00938e-007,4.29242e-007,2.57545e-007,0.00212105,0.00680803,0.0125395,0.0115741,0.0106879,0.0102867,0.00967974
0.835,2.13065e-006,8.5226e-007,5.32662e-007,3.19597e-007,0,0.0017744,0.00578002,0.0105973,0.00981878,0.00904301,0.00865246,0.00816987
0.898,1.983e-006,3.966e-007,1.322e-007,2.644e-007,2.644e-007,0.00156247,0.00504833,0.00913053,0.00840621,0.00773212,0.00744485,0.00693138
0.965,1.31242e-006,9.84313e-007,1.64052e-007,3.28104e-007,0,0.00133686,0.00441464,0.00780396,0.00718204,0.00654798,0.00623496,0.00583238
1.037,1.42505e-006,8.14314e-007,0,2.03578e-007,0,0.00112131,0.00368701,0.00663584,0.00603956,0.00547931,0.0053138,0.00490359
1.114,7.57885e-007,1.51577e-006,5.05256e-007,2.52628e-007,2.52628e-007,0.00096504,0.00314775,0.00570485,0.00517812,0.00473147,0.00450209,0.00416811
1.197,9.40488e-007,6.26992e-007,3.13496e-007,3.13496e-007,0,0.000887507,0.00293683,0.00521218,0.00472219,0.00434004,0.00397011,0.00368295
1.286,1.16709e-006,3.89029e-007,3.89029e-007,0,0,0.000836801,0.00273021,0.00474538,0.00436063,0.00393075,0.00366037,0.00339117
1.382,4.82761e-007,0,4.82761e-007,4.82761e-007,4.82761e-007,0.000800417,0.0027107,0.00471561,0.00413629,0.0038085,0.00345319,0.00325332
1.486,1.79723e-006,5.99076e-007,0,0,0,0.000856079,0.00287736,0.00493339,0.00433012,0.0039521,0.00366455,0.00334644
1.596,7.43416e-007,0,0,0,0,0.000637851,0.00231425,0.00440994,0.0038784,0.00343309,0.00317513,0.00297812
1.715,1.84507e-006,0,0,9.22533e-007,0,0.000532301,0.00203142,0.00375748,0.00328329,0.0029355,0.00260892,0.00237644
1.843,2.28961e-006,0,0,0,0,0.000543783,0.00196792,0.00375496,0.00315852,0.00291926,0.00259871,0.00233197
1.981,0,0,0,0,0,0.000521372,0.00223181,0.00422922,0.00374195,0.00335553,0.00300748,0.00279012
2.129,0,0,0,1.76292e-006,0,0.000350821,0.00201854,0.0043403,0.00369684,0.00338304,0.00310979,0.00266024
2.288,2.18767e-006,0,0,0,0,0.000306274,0.00181139,0.00421783,0.00343464,0.00332307,0.00293585,0.00263395
2.458,0,0,0,0,0,0.000247043,0.00164786,0.00390111,0.00358892,0.00295638,0.00281792,0.00252473
2.642,0,0,0,0,0,0.000225713,0.00147556,0.00330147,0.002877,0.00250306,0.00229419,0.00201457
2.839,0,0,0,0,0,0.000179763,0.000852829,0.00230347,0.00179345,0.00148409,0.00158024,0.0014172
3.051,0,1.03756e-005,0,0,0,0.000108943,0.000523966,0.00113094,0.00104793,0.000855984,0.00101162,0.000767792
3.278,0,0,0,0,0,6.43772e-006,0.000263946,0.000869092,0.000811152,0.000688836,0.000624459,0.000605145
3.523,0,0,0,0,0,2.39664e-005,0.000207709,0.000750948,0.000687037,0.000519272,0.00047134,0.000479328
3.786,0,9.91361e-006,0,0,0,4.95681e-005,0.000267667,0.000842657,0.000574989,0.000545249,0.000475853,0.000386631
4.068,0,0,0,0,0,8.61152e-005,0.000442878,0.000922663,0.00103338,0.000688922,0.000787339,0.000811944
