Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220713\VL_CU_APS_CADR_Smoke_Background_Prelim3.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11
Date,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22,07/13/22
Start Time,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,7.60367e-006,4.81582e-006,3.16285e-006,2.03291e-006,1.41119e-006,0.00369271,0.0113253,0.0105816,0.00962275,0.00914863,0.00856186
0.542,4.66769e-006,2.91731e-006,1.69204e-006,1.22527e-006,9.91884e-007,0.00231109,0.00730111,0.00643467,0.00602003,0.00553725,0.00522644
0.583,5.17688e-006,2.89616e-006,2.49793e-006,1.44808e-006,9.4125e-007,0.00236786,0.00772329,0.00669834,0.00630555,0.00570785,0.00545534
0.626,4.22289e-006,2.65054e-006,2.42592e-006,1.12311e-006,8.53563e-007,0.00218997,0.00729513,0.00628456,0.00591946,0.00534982,0.00505821
0.673,3.62364e-006,2.39718e-006,1.6167e-006,1.33796e-006,9.47722e-007,0.00189126,0.00639405,0.00553492,0.00515165,0.0046852,0.00440289
0.723,3.38983e-006,2.00623e-006,1.24524e-006,5.53442e-007,7.60982e-007,0.0015964,0.00545278,0.00466316,0.00435545,0.00391498,0.00370405
0.777,3.60563e-006,1.20188e-006,8.58483e-007,6.00938e-007,7.72635e-007,0.0013522,0.00461916,0.00396465,0.00369096,0.00335118,0.00312771
0.835,2.02412e-006,2.02412e-006,9.58792e-007,4.2613e-007,5.32662e-007,0.00112338,0.00388534,0.00330144,0.00310457,0.00279126,0.00261313
0.898,2.644e-006,1.322e-006,6.61001e-007,5.28801e-007,3.966e-007,0.000950783,0.00329562,0.00287073,0.00261135,0.00241596,0.00221898
0.965,1.80457e-006,6.56208e-007,3.28104e-007,4.92156e-007,3.28104e-007,0.000778755,0.00277035,0.00239779,0.00222323,0.00202801,0.0019012
1.037,1.62863e-006,6.10735e-007,2.03578e-007,2.03578e-007,0,0.000638015,0.00231815,0.00199833,0.00184076,0.0016557,0.00155636
1.114,1.01051e-006,5.05256e-007,7.57885e-007,5.05256e-007,2.52628e-007,0.000530772,0.00203997,0.00174415,0.00159055,0.0014319,0.00130002
1.197,3.13496e-007,6.26992e-007,3.13496e-007,0,3.13496e-007,0.000485919,0.00188944,0.00162579,0.00150196,0.00133392,0.00121793
1.286,1.16709e-006,3.89029e-007,3.89029e-007,0,0,0.000483952,0.00177825,0.00147948,0.00136005,0.00124917,0.00111457
1.382,0,0,0,4.82761e-007,0,0.000474071,0.00178863,0.00156318,0.00134014,0.00121945,0.00110456
1.486,0,0,0,0,5.99076e-007,0.000461288,0.00188829,0.00156119,0.0014264,0.00128322,0.00117539
1.596,7.43416e-007,1.48683e-006,0,0,0,0.000385833,0.00150393,0.0012415,0.00119318,0.000996921,0.000935217
1.715,9.22533e-007,0,9.22533e-007,0,0,0.000363478,0.00133214,0.00103139,0.000953899,0.000871794,0.00076109
1.843,0,0,0,0,1.14481e-006,0.000322835,0.00132111,0.00107154,0.000983388,0.000813957,0.000785337
1.981,1.42063e-006,0,0,0,0,0.000305436,0.00148172,0.00108536,0.00104417,0.000879372,0.0007643
2.129,0,0,0,0,0,0.000243283,0.0011265,0.000890273,0.000796839,0.00067696,0.000608206
2.288,0,0,0,0,0,0.00018814,0.00106321,0.000868505,0.000695679,0.000632237,0.000586296
2.458,0,0,0,2.71476e-006,0,0.000190033,0.00101532,0.000800855,0.000673261,0.000594533,0.000551097
2.642,0,0,0,0,0,0.000131385,0.00076136,0.0006165,0.000532278,0.000518803,0.000373942
2.839,0,0,0,0,0,7.52496e-005,0.000464039,0.000334443,0.000422234,0.000330262,0.000246652
3.051,5.18778e-006,0,0,0,0,3.63145e-005,0.00028014,0.000171197,0.000124507,0.00014007,0.000119319
3.278,0,0,0,0,0,2.57509e-005,0.000180256,7.72526e-005,9.0128e-005,0.000109441,5.79395e-005
3.523,0,0,0,0,0,3.19552e-005,0.000103854,9.58657e-005,7.98881e-005,3.9944e-005,5.59216e-005
3.786,0,0,0,0,0,9.91361e-006,9.91361e-005,6.93953e-005,9.91361e-005,5.94817e-005,2.97408e-005
4.068,0,0,0,0,0,2.46044e-005,0.00011072,0.000135324,0.00011072,6.15109e-005,8.61152e-005
4.371,0,0,0,0,0,0,0.000228993,0.000228993,0.000167929,0.000137396,0.00012213
4.698,0,0,0,0,0,1.89444e-005,0.000208389,0.000132611,0.000151556,0.000151556,5.68333e-005
5.048,0,0,0,0,0,4.70177e-005,0.00021158,0.000329124,0.000164562,0.000188071,0.000141053
5.425,0,0,0,0,0,0.000116692,0.000729326,0.000466769,0.000204211,0.000233384,0.000204211
5.829,0,0,0,0,0,3.62019e-005,0.000724039,0.000398221,0.000579231,0.000398221,0.000398221
6.264,0,0,0,0,0,0.000134773,0.000628941,0.000494168,0.000853563,0.000224622,0.000404319
6.732,0,0,0,0,0,0.000222993,0.000891973,0.000780477,0.000780477,0.000501735,0.000167245
7.234,0,0,0,0,0,6.91802e-005,0.000968523,0.000553442,0.000415081,0.000415081,0.000415081
7.774,0,0,0,0,0,0,0.00051509,0.000257545,0.000171697,0.000257545,0.000171697
8.354,0,0,0,0,0,0,0,0,0.000106532,0.000106532,0.000213065
8.977,0,0,0,0,0,0,0,0,0,0.0001322,0
9.647,0,0,0,0,0,0,0,0,0.000164052,0,0
10.37,0,0,0,0,0,0,0,0,0,0,0
11.14,0,0,0,0,0,0,0,0,0,0,0
11.97,0,0,0,0,0,0,0,0,0,0,0
12.86,0,0,0,0,0,0,0,0,0,0,0
13.82,0,0,0,0,0,0,0,0,0,0,0
14.86,0,0,0,0,0,0,0,0,0,0,0
15.96,0,0,0,0,0,0,0,0,0,0,0
17.15,0,0,0,0,0,0,0,0,0,0,0
18.43,0,0,0,0,0,0,0,0,0,0,0
19.81,0,0,0,0,0,0,0,0,0,0,0
Event 1,945,582,389,255,167,407789,1285754,1192629,1100841,1043098,984044
Event 3,0,0,0,0,0,18979,118781,97940,80906,70086,61546
Event 4,0,0,0,0,0,0,0,0,0,0,0
Dead Time,5,3,2,1,1,2785,9056,8184,7445,6935,6472
Inlet Pressure,831.1,831.7,831.7,832,831.4,830.8,830.2,831.1,831.1,830.5,831.1
Total Flow,4.96,4.97,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96
Sheath Flow,3.99,3.98,3.99,3.97,3.99,3.97,3.98,3.95,3.98,3.98,3.99
Analog Input Voltage 0,0,0,0,0,0,0,0,0,0,0,0
Analog Input Voltage 1,0,0,0,0,0,0,0,0,0,0,0
Digital Input Level 0,0,0,0,0,0,0,0,0,0,0,0
Digital Input Level 1,0,0,0,0,0,0,0,0,0,0,0
Digital Input Level 2,0,0,0,0,0,0,0,0,0,0,0
Laser Power,75,75,75,75,75,75,75,75,75,75,75
Laser Current,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.8,41.8,41.8,41.8
Sheath Pump Voltage,2.763,2.78,2.772,2.784,2.788,2.759,2.758,2.774,2.77,2.764,2.779
Total Pump Voltage,2.88,2.88,2.88,2.875,2.88,2.881,2.88,2.875,2.88,2.881,2.88
Box Temperature,30.6,30.7,30.9,30.9,30.9,31.2,30.9,30.9,30.8,30.8,30.8
Avalanch Photo Diode Temperature,26.6,26.6,26.6,26.6,26.6,26.6,26.6,27,27,27,27
Avalanch Photo Diode Voltage,230,230,230,230,230,230,230,230,230,230,230
