Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220713\VL_CU_SMPS_CADR_Smoke_Background_Prelim.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022
Start Time,10:10:00,10:13:00,10:16:00,10:19:00,10:22:00,10:25:00,10:28:01,10:31:01,10:34:01,10:37:01,10:40:01,10:43:00
Sample Temp (C),21.1,21.2,21.3,21.4,21.5,21.6,21.7,21.7,21.8,21.9,21.9,22.0
Sample Pressure (kPa),81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.5,81.6,81.5
Relative Humidity (%),56.6,56.6,56.5,56.3,56.1,55.9,55.7,55.4,55.2,54.9,54.7,54.4
Mean Free Path (m),8.28664e-008,8.29022e-008,8.29381e-008,8.29739e-008,8.30098e-008,8.30456e-008,8.30815e-008,8.30815e-008,8.31173e-008,8.32552e-008,8.31532e-008,8.32911e-008
Gas Viscosity (Pa*s),1.82337e-005,1.82384e-005,1.82432e-005,1.82480e-005,1.82528e-005,1.82576e-005,1.82624e-005,1.82624e-005,1.82672e-005,1.82719e-005,1.82719e-005,1.82767e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 17.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 19.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 20.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 20.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 21.7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 22.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 23.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 24.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.000
 25.9,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001
 27.9,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001
 28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001
 31.1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.001,0.001,0.001
 32.2,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.002,0.002,0.002
 33.4,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.002,0.002,0.002
 34.6,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.003,0.003,0.002,0.002
 35.9,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.003,0.003,0.003,0.003,0.003
