Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220713\VL_CU_SMPS_CADR_Smoke_Background_Prelim3.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11
Date,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022,7/13/2022
Start Time,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00
Sample Temp (C),22.7,22.7,22.8,22.9,22.9,23.0,23.0,23.1,23.1,23.1,23.1
Sample Pressure (kPa),81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5
Relative Humidity (%),48.7,48.5,48.4,48.3,48.2,48.0,47.9,47.8,47.7,47.6,47.5
Mean Free Path (m),8.35424e-008,8.35424e-008,8.35784e-008,8.36143e-008,8.36143e-008,8.36502e-008,8.36502e-008,8.36861e-008,8.36861e-008,8.36861e-008,8.36861e-008
Gas Viscosity (Pa*s),1.83102e-005,1.83102e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83293e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 17.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 19.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 20.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 20.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 21.7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 22.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 23.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 24.1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001
 25.9,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001
 27.9,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001
 28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.001,0.001
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.002,0.001
 31.1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.002,0.002
 32.2,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.003,0.002,0.002
 33.4,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.003,0.003,0.003
 34.6,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.003,0.003
 35.9,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.005,0.005,0.004,0.004
 37.2,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.006,0.006,0.005,0.005
 38.5,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.007,0.007,0.006,0.006
 40.0,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.009,0.008,0.008,0.008
 41.4,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.010,0.010,0.010,0.009
 42.9,0.000,0.000,0.000,0.000,0.000,0.001,0.013,0.013,0.012,0.011,0.011
 44.5,0.000,0.000,0.000,0.000,0.000,0.001,0.015,0.015,0.015,0.014,0.013
 46.1,0.000,0.000,0.000,0.000,0.000,0.001,0.019,0.019,0.018,0.016,0.016
 47.8,0.000,0.000,0.000,0.000,0.000,0.001,0.022,0.023,0.022,0.020,0.020
 49.6,0.000,0.000,0.000,0.000,0.000,0.001,0.027,0.027,0.026,0.024,0.023
 51.4,0.000,0.000,0.000,0.000,0.000,0.002,0.033,0.032,0.032,0.030,0.029
 53.3,0.000,0.000,0.000,0.000,0.000,0.003,0.039,0.038,0.037,0.036,0.035
 55.2,0.000,0.000,0.000,0.000,0.000,0.003,0.046,0.046,0.045,0.043,0.041
