Sample File,C:\Users\VanceLab\Desktop\VL_CU_APS_CADR_SmokeEater_20220719.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22
Start Time,11:10:00,11:13:00,11:16:01,11:19:01,11:22:00,11:25:00,11:28:00,11:31:00,11:34:01,11:37:00,11:40:00,11:43:00,11:46:01,11:49:01,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:01,12:22:01,12:25:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,1.0954e-006,5.2303e-007,4.19411e-007,2.07238e-007,2.22041e-007,0.0108638,0.0107375,0.00776621,0.00568937,0.00407228,0.0028365,0.00200142,0.00171639,0.00121024,0.000855825,0.000602841,0.000425687,0.00030275,0.000215316,0.000156036,0.00011518,8.34381e-005,6.26846e-005,4.72602e-005,3.5867e-005,2.72617e-005
0.542,7.87672e-007,2.91731e-007,1.45865e-007,8.75192e-008,1.16692e-007,0.00350844,0.00356235,0.00268716,0.00194511,0.00144611,0.00105423,0.000756982,0.00059583,0.000422455,0.000291614,0.000203511,0.000139389,0.000102077,7.15615e-005,5.09945e-005,3.59995e-005,2.6635e-005,1.905e-005,1.47324e-005,1.13775e-005,8.25597e-006
0.583,5.43029e-007,2.89616e-007,7.24039e-008,1.44808e-007,3.62019e-008,0.00326904,0.00328594,0.00248613,0.00178733,0.00132293,0.000975787,0.000706408,0.000532603,0.000377116,0.000257504,0.000181915,0.000125621,9.22787e-005,6.42946e-005,4.28269e-005,3.02648e-005,2.29882e-005,1.48428e-005,1.29603e-005,1.00279e-005,7.02318e-006
0.626,5.39092e-007,2.24622e-007,1.79697e-007,1.79697e-007,1.34773e-007,0.00278113,0.00278877,0.00211257,0.00149706,0.0011095,0.000823508,0.000586443,0.000427186,0.000303015,0.000211639,0.000149194,9.91481e-005,7.3047e-005,5.14384e-005,3.47715e-005,2.30911e-005,1.74756e-005,1.28034e-005,9.56889e-006,7.36759e-006,5.48077e-006
0.673,7.24728e-007,2.22993e-007,5.57483e-008,5.57483e-008,1.67245e-007,0.00224755,0.00222129,0.00166821,0.00119909,0.00087759,0.000637259,0.000466223,0.000321947,0.000227007,0.000156876,0.000111608,7.5985e-005,5.63058e-005,3.95256e-005,2.55885e-005,1.93447e-005,1.34353e-005,9.86745e-006,7.13579e-006,7.02429e-006,4.45987e-006
0.723,4.15081e-007,6.91802e-008,1.3836e-007,2.07541e-007,6.91802e-008,0.00178803,0.00176444,0.00130896,0.000933794,0.000683085,0.000488412,0.000350674,0.000247458,0.000168869,0.000114839,8.76513e-005,5.74196e-005,4.01937e-005,2.91249e-005,1.90246e-005,1.42511e-005,1.1899e-005,7.95572e-006,5.2577e-006,4.35835e-006,2.97475e-006
0.777,3.43393e-007,0,0,1.71697e-007,0,0.00142105,0.00141547,0.00103164,0.000739755,0.000540158,0.000382884,0.000266559,0.000190669,0.000134868,9.34888e-005,6.29268e-005,4.22374e-005,3.13346e-005,2.18055e-005,1.63112e-005,1.12461e-005,7.03956e-006,5.06505e-006,3.86317e-006,2.6613e-006,2.06036e-006
0.835,3.19597e-007,0,0,0,3.19597e-007,0.00110176,0.00106884,0.000787488,0.000541398,0.000388843,0.000267716,0.000191119,0.000133911,9.0233e-005,6.04039e-005,4.04823e-005,3.01487e-005,2.25849e-005,1.54472e-005,9.90752e-006,7.13767e-006,4.79396e-006,3.6221e-006,2.55678e-006,1.70452e-006,1.59799e-006
