Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220719\VL_CU_APS_CADR_SmokeEater_20220719_SCAN2.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22,07/19/22
Start Time,12:35:00,12:38:00,12:41:00,12:44:00,12:47:00,12:50:00,12:53:01,12:56:00,12:59:00,13:02:00,13:05:00,13:08:00,13:11:00,13:14:00,13:17:00,13:20:00,13:23:00,13:26:00,13:29:00,13:32:00,13:35:00,13:38:00,13:41:00,13:44:00,13:47:00,13:50:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,2.52633e-006,1.32238e-006,5.77307e-007,2.96055e-007,2.61515e-007,0.00876203,0.0108236,0.00785811,0.00576799,0.0041577,0.00297101,0.00211447,0.00181785,0.00128409,0.000912623,0.000641876,0.000462319,0.00033318,0.000239607,0.000175102,0.00012945,9.94793e-005,7.3535e-005,5.49428e-005,4.26664e-005,3.24476e-005
0.542,7.00153e-007,5.83461e-007,2.33384e-007,1.16692e-007,2.33384e-007,0.00306224,0.00365527,0.00276307,0.00197852,0.00144949,0.00100863,0.000719262,0.000548862,0.000381992,0.000281899,0.000192776,0.000129908,9.71754e-005,6.80316e-005,5.11404e-005,3.59704e-005,2.62266e-005,1.98377e-005,1.49658e-005,1.10858e-005,8.48936e-006
0.583,1.30327e-006,1.08606e-006,2.89616e-007,1.44808e-007,0,0.00285934,0.00338007,0.00253446,0.00180496,0.00130537,0.000901501,0.000642476,0.000468055,0.000332515,0.000238354,0.000165008,0.000113276,8.02959e-005,5.58234e-005,4.29355e-005,3.04458e-005,2.27348e-005,1.77027e-005,1.24897e-005,8.90568e-006,7.20419e-006
0.626,1.21296e-006,4.94168e-007,1.79697e-007,1.79697e-007,4.49244e-008,0.0024433,0.00287583,0.00214083,0.00150312,0.00108811,0.000733121,0.000518068,0.000376107,0.000263841,0.000189176,0.000131583,8.55809e-005,6.51403e-005,4.40259e-005,3.23905e-005,2.23274e-005,1.56786e-005,1.15456e-005,8.4907e-006,6.06479e-006,4.76198e-006
0.673,1.11497e-006,3.90238e-007,2.22993e-007,5.57483e-008,0,0.00199083,0.00232415,0.00171203,0.00118515,0.000841688,0.000587141,0.000408134,0.000283536,0.000197182,0.00014974,9.89533e-005,6.70095e-005,4.41527e-005,3.25013e-005,2.32471e-005,1.69475e-005,1.10939e-005,8.02776e-006,6.5783e-006,3.95813e-006,3.51214e-006
0.723,6.91802e-007,4.15081e-007,6.91802e-008,2.07541e-007,1.3836e-007,0.00158139,0.00183618,0.00132971,0.000924663,0.000661639,0.000438257,0.000314009,0.000217503,0.000156278,0.000110758,6.86959e-005,5.14701e-005,3.77724e-005,2.17226e-005,1.6119e-005,1.19682e-005,9.40851e-006,6.22622e-006,5.9495e-006,3.18229e-006,2.62885e-006
0.777,6.86787e-007,6.00938e-007,1.71697e-007,8.58483e-008,8.58483e-008,0.00127124,0.00145264,0.00103928,0.000692367,0.000503329,0.000330516,0.00023325,0.000161996,0.000105508,8.22427e-005,5.07364e-005,3.53695e-005,2.39517e-005,1.42508e-005,1.1332e-005,9.09992e-006,5.83769e-006,5.83769e-006,4.03487e-006,1.80281e-006,2.06036e-006
