Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220719\VL_CU_SMPS_CADR_SmokeEater_20220719.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022
Start Time,11:10:00,11:13:00,11:16:00,11:19:00,11:22:00,11:25:00,11:28:00,11:31:00,11:34:01,11:37:01,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:01,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00
Sample Temp (C),20.8,21.0,21.1,21.3,21.4,21.5,21.6,21.7,21.8,22.0,22.1,22.1,22.3,22.3,22.4,22.5,22.5,22.6,22.7,22.8,22.8,22.9,22.9,23.0,23.0,23.0
Sample Pressure (kPa),81.4,81.4,81.3,81.4,81.4,81.4,81.4,81.3,81.3,81.4,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.4,81.3,81.3,81.3,81.3,81.3,81.3,81.3
Relative Humidity (%),46.8,46.7,46.5,46.3,46.1,45.9,45.7,45.4,45.2,44.9,44.7,44.5,44.3,44.1,43.9,43.7,43.5,43.4,43.2,43.1,43.0,42.8,42.7,42.6,42.5,42.4
Mean Free Path (m),8.29622e-008,8.30340e-008,8.31721e-008,8.31418e-008,8.31778e-008,8.32137e-008,8.32496e-008,8.33880e-008,8.34240e-008,8.33934e-008,8.35320e-008,8.35320e-008,8.36040e-008,8.36040e-008,8.36400e-008,8.36760e-008,8.36760e-008,8.37120e-008,8.36451e-008,8.37840e-008,8.37840e-008,8.38200e-008,8.38200e-008,8.38560e-008,8.38560e-008,8.38560e-008
Gas Viscosity (Pa*s),1.82193e-005,1.82289e-005,1.82337e-005,1.82432e-005,1.82480e-005,1.82528e-005,1.82576e-005,1.82624e-005,1.82672e-005,1.82767e-005,1.82815e-005,1.82815e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83245e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.8,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 17.5,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
