Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220719\VL_CU_SMPS_CADR_SmokeEater_20220719_SCAN3.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022,7/19/2022
Start Time,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00,14:15:00,14:18:00,14:21:00,14:24:00,14:27:00,14:30:00,14:33:00,14:36:00,14:39:00,14:42:00,14:45:00,14:48:00,14:51:00,14:54:00,14:57:00,15:00:00,15:03:00,15:06:00,15:09:00,15:12:00,15:15:00
Sample Temp (C),23.6,23.4,23.2,23.0,22.9,22.9,22.9,23.0,23.2,23.3,23.4,23.4,23.5,23.6,23.6,23.7,23.7,23.8,23.8,23.8,23.9,23.9,23.9,24.0,24.0,24.0
Sample Pressure (kPa),81.2,81.3,81.2,81.2,81.2,81.2,81.2,81.2,81.3,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2
Relative Humidity (%),39.0,38.7,38.4,38.3,38.3,38.4,38.4,38.5,38.5,38.6,38.6,38.6,38.6,38.6,38.5,38.5,38.4,38.4,38.4,38.4,38.3,38.3,38.3,38.3,38.3,38.3
Mean Free Path (m),8.41756e-008,8.40000e-008,8.40313e-008,8.39592e-008,8.39232e-008,8.39232e-008,8.39232e-008,8.39592e-008,8.39280e-008,8.40674e-008,8.41034e-008,8.41034e-008,8.41395e-008,8.41756e-008,8.41756e-008,8.42116e-008,8.42116e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42837e-008,8.42837e-008,8.42837e-008,8.43198e-008,8.43198e-008,8.43198e-008
Gas Viscosity (Pa*s),1.83531e-005,1.83436e-005,1.83340e-005,1.83245e-005,1.83197e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83340e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83484e-005,1.83531e-005,1.83531e-005,1.83579e-005,1.83579e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83722e-005,1.83722e-005,1.83722e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.8,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 17.5,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.8,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 19.5,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
