Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220705\VL_CU_SMPS_CADR_20220705_SCAN2.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022
Start Time,14:45:00,14:48:00,14:51:00,14:54:00,14:57:00,15:00:00,15:03:00,15:06:00,15:09:00,15:12:00,15:15:00,15:18:00,15:21:00,15:24:00,15:27:00,15:30:00,15:33:00,15:36:00,15:39:00,15:42:00,15:45:00,15:48:00,15:51:00,15:54:00,15:57:00,16:00:00
Sample Temp (C),22.8,22.8,22.9,23.0,23.0,23.1,23.1,23.1,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.4,23.4,23.4,23.4
Sample Pressure (kPa),81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2
Relative Humidity (%),41.4,41.3,41.3,41.3,41.3,41.3,41.3,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.5,41.5,41.5,41.5,41.5,41.6,41.6,41.6,41.6
Mean Free Path (m),8.38871e-008,8.38871e-008,8.39232e-008,8.39592e-008,8.39592e-008,8.39953e-008,8.39953e-008,8.39953e-008,8.40313e-008,8.40313e-008,8.40313e-008,8.40313e-008,8.40313e-008,8.40313e-008,8.40313e-008,8.40674e-008,8.40674e-008,8.40674e-008,8.40674e-008,8.40674e-008,8.40674e-008,8.40674e-008,8.41034e-008,8.41034e-008,8.41034e-008,8.41034e-008
Gas Viscosity (Pa*s),1.83149e-005,1.83149e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83436e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 16.8,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000
 17.5,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
 18.8,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
 19.5,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.005,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
 20.2,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
 20.9,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.006,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
 21.7,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.006,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
 22.5,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001
 23.3,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.008,0.007,0.006,0.006,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002
 24.1,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.008,0.007,0.007,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.009,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002
 25.9,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.010,0.009,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.002
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.012,0.010,0.010,0.009,0.008,0.007,0.007,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003
 27.9,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.012,0.012,0.010,0.010,0.009,0.008,0.007,0.007,0.006,0.005,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003
 28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.014,0.013,0.012,0.011,0.010,0.009,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.003
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.016,0.014,0.013,0.012,0.011,0.010,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004
 31.1,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.017,0.016,0.015,0.014,0.012,0.012,0.011,0.010,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.004
 32.2,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.019,0.017,0.016,0.015,0.013,0.013,0.011,0.011,0.010,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.006
 33.4,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.021,0.019,0.019,0.017,0.015,0.014,0.013,0.012,0.012,0.010,0.010,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006
 34.6,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.023,0.021,0.021,0.018,0.017,0.016,0.015,0.013,0.013,0.012,0.011,0.011,0.010,0.010,0.008,0.008,0.008,0.007,0.007
 35.9,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.026,0.023,0.023,0.020,0.019,0.017,0.016,0.015,0.014,0.013,0.013,0.012,0.011,0.011,0.010,0.009,0.009,0.009,0.008
 37.2,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.028,0.026,0.024,0.023,0.021,0.020,0.018,0.017,0.016,0.015,0.014,0.013,0.013,0.012,0.011,0.010,0.010,0.009,0.009
 38.5,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.031,0.029,0.027,0.026,0.023,0.022,0.021,0.019,0.018,0.017,0.016,0.015,0.014,0.013,0.013,0.012,0.012,0.011,0.010
 40.0,0.000,0.000,0.000,0.000,0.000,0.000,0.034,0.034,0.032,0.030,0.029,0.027,0.024,0.022,0.021,0.020,0.019,0.018,0.017,0.016,0.015,0.014,0.014,0.013,0.012,0.011
 41.4,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.038,0.035,0.032,0.031,0.029,0.027,0.025,0.024,0.023,0.021,0.020,0.018,0.018,0.017,0.016,0.015,0.015,0.013,0.013
 42.9,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.041,0.038,0.036,0.034,0.031,0.029,0.028,0.027,0.024,0.024,0.022,0.022,0.020,0.019,0.018,0.018,0.016,0.015,0.014
 44.5,0.000,0.000,0.000,0.000,0.000,0.000,0.047,0.046,0.042,0.040,0.037,0.035,0.033,0.030,0.029,0.028,0.027,0.025,0.023,0.023,0.021,0.020,0.020,0.018,0.017,0.016
 46.1,0.000,0.000,0.000,0.000,0.000,0.000,0.052,0.051,0.046,0.044,0.042,0.040,0.037,0.036,0.033,0.031,0.030,0.028,0.027,0.025,0.024,0.023,0.022,0.020,0.020,0.019
 47.8,0.000,0.000,0.000,0.000,0.000,0.001,0.057,0.056,0.050,0.049,0.047,0.043,0.040,0.037,0.036,0.035,0.033,0.032,0.030,0.028,0.027,0.026,0.024,0.023,0.022,0.021
 49.6,0.000,0.000,0.000,0.000,0.000,0.001,0.062,0.062,0.056,0.052,0.051,0.048,0.047,0.042,0.041,0.038,0.037,0.034,0.032,0.030,0.030,0.029,0.027,0.026,0.024,0.024
 51.4,0.000,0.000,0.000,0.000,0.000,0.001,0.069,0.067,0.061,0.059,0.057,0.053,0.050,0.047,0.046,0.043,0.041,0.039,0.037,0.035,0.033,0.033,0.030,0.029,0.027,0.026
 53.3,0.000,0.000,0.000,0.000,0.000,0.002,0.075,0.073,0.068,0.065,0.061,0.058,0.055,0.053,0.050,0.046,0.044,0.044,0.041,0.038,0.037,0.035,0.034,0.033,0.030,0.030
 55.2,0.000,0.000,0.000,0.000,0.000,0.002,0.082,0.079,0.076,0.070,0.067,0.063,0.060,0.058,0.055,0.051,0.049,0.048,0.046,0.044,0.040,0.041,0.038,0.037,0.036,0.034
 57.3,0.000,0.000,0.000,0.000,0.000,0.003,0.089,0.086,0.080,0.078,0.073,0.070,0.065,0.062,0.060,0.058,0.054,0.052,0.050,0.049,0.045,0.044,0.042,0.039,0.039,0.038
 59.4,0.000,0.000,0.000,0.000,0.000,0.003,0.097,0.093,0.091,0.085,0.082,0.076,0.074,0.070,0.065,0.063,0.061,0.057,0.055,0.053,0.051,0.049,0.047,0.044,0.043,0.041
 61.5,0.000,0.000,0.000,0.000,0.000,0.005,0.106,0.105,0.097,0.093,0.089,0.084,0.080,0.079,0.074,0.071,0.067,0.064,0.062,0.060,0.057,0.054,0.052,0.051,0.047,0.047
 63.8,0.000,0.000,0.000,0.000,0.000,0.008,0.115,0.112,0.107,0.102,0.096,0.091,0.088,0.085,0.081,0.079,0.074,0.072,0.068,0.064,0.061,0.062,0.058,0.055,0.053,0.051
 66.1,0.000,0.000,0.000,0.000,0.000,0.010,0.126,0.125,0.116,0.110,0.104,0.099,0.096,0.090,0.088,0.089,0.081,0.077,0.073,0.072,0.068,0.067,0.064,0.061,0.057,0.055
 68.5,0.001,0.000,0.000,0.000,0.000,0.014,0.138,0.133,0.124,0.123,0.114,0.108,0.106,0.103,0.097,0.092,0.089,0.088,0.084,0.080,0.074,0.074,0.070,0.067,0.066,0.062
 71.0,0.000,0.000,0.000,0.000,0.000,0.018,0.151,0.143,0.133,0.132,0.123,0.117,0.116,0.111,0.105,0.102,0.093,0.093,0.091,0.088,0.082,0.081,0.075,0.073,0.071,0.069
 73.7,0.001,0.000,0.000,0.000,0.000,0.022,0.159,0.154,0.141,0.139,0.135,0.129,0.122,0.118,0.115,0.110,0.104,0.101,0.101,0.092,0.090,0.087,0.083,0.078,0.076,0.073
 76.4,0.001,0.000,0.000,0.000,0.000,0.025,0.173,0.165,0.161,0.157,0.148,0.140,0.132,0.130,0.122,0.120,0.116,0.111,0.109,0.099,0.100,0.095,0.091,0.085,0.086,0.084
 79.1,0.001,0.000,0.000,0.000,0.000,0.030,0.192,0.181,0.174,0.169,0.157,0.155,0.146,0.143,0.134,0.131,0.129,0.123,0.117,0.112,0.109,0.108,0.104,0.095,0.090,0.087
 82.0,0.001,0.000,0.000,0.000,0.000,0.035,0.204,0.195,0.190,0.178,0.169,0.166,0.157,0.150,0.148,0.142,0.136,0.129,0.126,0.122,0.119,0.113,0.112,0.103,0.100,0.096
 85.1,0.001,0.000,0.000,0.000,0.000,0.040,0.220,0.204,0.207,0.194,0.187,0.177,0.175,0.167,0.163,0.149,0.148,0.145,0.139,0.132,0.130,0.123,0.119,0.119,0.110,0.109
 88.2,0.001,0.001,0.000,0.000,0.000,0.044,0.239,0.227,0.221,0.211,0.203,0.199,0.187,0.178,0.176,0.171,0.158,0.157,0.154,0.143,0.144,0.139,0.135,0.127,0.120,0.116
 91.4,0.001,0.001,0.001,0.000,0.000,0.048,0.257,0.244,0.233,0.227,0.223,0.215,0.203,0.196,0.192,0.184,0.178,0.168,0.162,0.156,0.152,0.151,0.138,0.138,0.137,0.129
 94.7,0.002,0.001,0.000,0.000,0.000,0.053,0.275,0.266,0.254,0.239,0.233,0.230,0.222,0.214,0.203,0.202,0.186,0.181,0.176,0.174,0.169,0.157,0.158,0.149,0.143,0.139
 98.2,0.001,0.001,0.000,0.000,0.000,0.058,0.300,0.288,0.273,0.264,0.252,0.254,0.225,0.225,0.219,0.214,0.205,0.203,0.196,0.189,0.178,0.175,0.161,0.164,0.162,0.151
101.8,0.001,0.001,0.001,0.000,0.000,0.065,0.322,0.314,0.300,0.283,0.279,0.272,0.252,0.244,0.243,0.237,0.229,0.212,0.215,0.201,0.205,0.192,0.184,0.173,0.175,0.169
105.5,0.002,0.001,0.001,0.000,0.000,0.072,0.348,0.335,0.321,0.311,0.304,0.295,0.275,0.261,0.261,0.249,0.245,0.233,0.228,0.221,0.211,0.199,0.201,0.190,0.194,0.183
109.4,0.002,0.001,0.001,0.000,0.000,0.084,0.383,0.366,0.349,0.338,0.324,0.318,0.295,0.297,0.272,0.271,0.261,0.255,0.248,0.230,0.238,0.219,0.224,0.206,0.206,0.196
113.4,0.002,0.003,0.001,0.000,0.000,0.086,0.398,0.385,0.367,0.353,0.364,0.349,0.318,0.310,0.300,0.291,0.290,0.278,0.260,0.259,0.252,0.241,0.243,0.227,0.217,0.213
117.6,0.004,0.002,0.001,0.000,0.000,0.104,0.420,0.421,0.388,0.390,0.372,0.362,0.357,0.344,0.327,0.303,0.308,0.300,0.284,0.276,0.273,0.266,0.255,0.244,0.249,0.237
121.9,0.004,0.001,0.001,0.000,0.000,0.110,0.461,0.439,0.404,0.407,0.408,0.385,0.378,0.359,0.347,0.332,0.328,0.333,0.306,0.305,0.285,0.297,0.269,0.262,0.261,0.250
126.3,0.003,0.001,0.000,0.001,0.001,0.111,0.496,0.477,0.455,0.439,0.439,0.425,0.419,0.383,0.372,0.379,0.359,0.343,0.329,0.320,0.326,0.308,0.299,0.281,0.284,0.267
131.0,0.004,0.001,0.001,0.001,0.000,0.124,0.539,0.529,0.497,0.487,0.470,0.428,0.437,0.415,0.416,0.401,0.376,0.383,0.360,0.357,0.331,0.333,0.328,0.304,0.290,0.290
135.8,0.004,0.001,0.001,0.001,0.000,0.127,0.582,0.562,0.531,0.537,0.502,0.490,0.474,0.451,0.428,0.419,0.427,0.398,0.398,0.372,0.371,0.344,0.344,0.329,0.328,0.320
140.7,0.004,0.002,0.001,0.000,0.001,0.145,0.607,0.585,0.563,0.576,0.539,0.542,0.504,0.480,0.468,0.459,0.441,0.443,0.422,0.395,0.415,0.389,0.374,0.353,0.364,0.333
145.9,0.003,0.002,0.001,0.001,0.000,0.155,0.651,0.626,0.604,0.598,0.581,0.542,0.538,0.514,0.503,0.485,0.467,0.463,0.438,0.422,0.438,0.390,0.402,0.374,0.387,0.367
151.2,0.006,0.001,0.001,0.000,0.000,0.175,0.702,0.656,0.644,0.656,0.627,0.583,0.579,0.557,0.544,0.512,0.522,0.487,0.484,0.455,0.464,0.444,0.429,0.404,0.396,0.381
156.8,0.006,0.002,0.000,0.001,0.001,0.193,0.750,0.703,0.702,0.673,0.685,0.633,0.611,0.622,0.577,0.559,0.521,0.523,0.516,0.494,0.469,0.464,0.455,0.437,0.432,0.409
162.5,0.002,0.001,0.000,0.001,0.000,0.241,0.772,0.743,0.734,0.721,0.713,0.669,0.648,0.632,0.622,0.596,0.590,0.559,0.546,0.534,0.506,0.498,0.501,0.458,0.439,0.442
168.5,0.003,0.003,0.001,0.000,0.000,0.248,0.813,0.842,0.795,0.761,0.755,0.698,0.692,0.659,0.662,0.640,0.630,0.589,0.600,0.570,0.536,0.519,0.514,0.511,0.493,0.481
174.7,0.006,0.003,0.001,0.001,0.001,0.306,0.887,0.881,0.890,0.830,0.744,0.777,0.725,0.706,0.699,0.689,0.659,0.624,0.653,0.586,0.600,0.570,0.561,0.534,0.540,0.492
181.1,0.002,0.000,0.001,0.002,0.000,0.310,0.907,0.893,0.909,0.833,0.844,0.826,0.778,0.781,0.768,0.722,0.688,0.655,0.672,0.653,0.622,0.613,0.586,0.564,0.528,0.543
187.7,0.004,0.003,0.004,0.001,0.001,0.363,1.020,0.978,0.979,0.935,0.879,0.852,0.855,0.841,0.812,0.763,0.757,0.720,0.683,0.657,0.664,0.629,0.614,0.601,0.592,0.551
194.6,0.004,0.002,0.003,0.000,0.001,0.375,1.089,1.069,1.025,0.977,0.952,0.887,0.884,0.872,0.809,0.806,0.780,0.750,0.761,0.739,0.685,0.649,0.615,0.632,0.633,0.599
201.7,0.002,0.003,0.002,0.001,0.001,0.400,1.093,1.078,1.085,1.070,0.990,0.975,0.940,0.917,0.861,0.849,0.857,0.800,0.794,0.787,0.750,0.700,0.684,0.679,0.651,0.610
209.1,0.005,0.004,0.001,0.001,0.000,0.433,1.142,1.067,1.117,1.012,1.030,0.996,0.944,0.936,0.952,0.916,0.896,0.824,0.832,0.805,0.764,0.746,0.717,0.727,0.686,0.623
216.7,0.003,0.001,0.000,0.000,0.001,0.488,1.216,1.173,1.216,1.128,1.121,1.058,1.033,1.021,1.003,0.968,0.916,0.879,0.805,0.836,0.793,0.808,0.781,0.736,0.708,0.728
224.7,0.007,0.000,0.001,0.000,0.001,0.543,1.308,1.251,1.275,1.205,1.151,1.136,1.091,1.087,1.045,0.998,1.013,0.915,0.929,0.902,0.839,0.849,0.818,0.818,0.747,0.777
232.9,0.005,0.002,0.002,0.001,0.001,0.624,1.367,1.375,1.326,1.259,1.198,1.224,1.173,1.163,1.100,1.078,1.024,1.036,0.986,0.948,0.926,0.900,0.842,0.833,0.778,0.763
