Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220705\VL_CU_APS_CADR_20220705.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Date,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22
Start Time,12:50:00,12:53:00,12:56:00,12:59:00,13:02:00,13:05:00,13:08:00,13:11:00,13:14:00,13:17:00,13:20:00,13:23:00,13:26:00,13:29:00,13:32:00,13:35:00,13:38:01,13:41:00,13:44:00,13:47:00,13:50:00,13:53:00,13:56:00,13:59:00,14:02:01,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,7.52727e-007,4.19553e-007,1.80984e-007,1.39851e-007,3.24948e-007,1.52191e-007,1.11058e-007,9.46051e-008,6.1699e-008,8.63785e-008,0.000525766,0.00137045,0.00132804,0.00127033,0.00122656,0.00116338,0.00113218,0.00109491,0.00106482,0.0010329,0.000982523,0.000967144,0.000929441,0.000896696,0.000875891,0.000851783,0.000829431,0.00079748,0.000766749,0.000751358,0.000728521,0.000707601,0.000683147
0.542,3.89106e-007,1.70234e-007,7.29573e-008,9.72765e-008,1.21596e-007,9.72765e-008,7.29573e-008,7.29573e-008,0,4.86382e-008,0.000503406,0.00123023,0.001177,0.00110151,0.00104186,0.000948616,0.000914107,0.000879501,0.000858343,0.000835362,0.000763596,0.000757492,0.000721597,0.000683659,0.000679014,0.000659413,0.000657686,0.000616879,0.000574053,0.000577992,0.000561674,0.000541246,0.000516878
0.583,5.13035e-007,3.31964e-007,1.20714e-007,3.01785e-008,6.0357e-008,6.0357e-008,3.01785e-008,6.0357e-008,3.01785e-008,0,0.000915314,0.00230965,0.00222633,0.00209623,0.00201399,0.00188468,0.00181319,0.00174628,0.00169576,0.00164699,0.00154683,0.00152187,0.0014703,0.00138703,0.00136612,0.00133981,0.00131032,0.00124185,0.00118834,0.00117892,0.00114479,0.00109871,0.00105202
0.626,4.49396e-007,2.62148e-007,3.74497e-008,3.74497e-008,1.12349e-007,3.74497e-008,7.48993e-008,1.12349e-007,0,0,0.00146349,0.00379522,0.00368224,0.00352495,0.00338923,0.00321831,0.00313907,0.00303383,0.0029371,0.00286763,0.00272038,0.00266267,0.00257099,0.0024661,0.00241232,0.00232757,0.00228945,0.00220047,0.00213227,0.00206449,0.00200228,0.00194135,0.00186818
0.673,3.25309e-007,2.78836e-007,1.39418e-007,1.39418e-007,9.29454e-008,4.64727e-008,1.39418e-007,4.64727e-008,1.39418e-007,1.39418e-007,0.00209629,0.0055369,0.0053827,0.005216,0.00505674,0.00487387,0.0047338,0.00459252,0.00447546,0.00433627,0.00415852,0.00408281,0.003936,0.00380379,0.0036871,0.00360568,0.00348299,0.00335068,0.00324542,0.00317315,0.00306664,0.00296737,0.00287043
0.723,2.30679e-007,1.15339e-007,1.73009e-007,2.88349e-007,2.30679e-007,1.15339e-007,5.76697e-008,1.73009e-007,1.15339e-007,5.76697e-008,0.00267109,0.00708461,0.00700122,0.00684113,0.00666039,0.00646327,0.00628617,0.00611449,0.00590238,0.005736,0.00557914,0.00539898,0.005239,0.00505786,0.0049066,0.00477286,0.0046126,0.00447459,0.00434391,0.004184,0.00406162,0.0039389,0.00381329
0.777,7.15645e-007,1.43129e-007,7.15645e-008,2.14694e-007,2.14694e-007,7.15645e-008,0,7.15645e-008,7.15645e-008,0,0.00313202,0.008575,0.00841613,0.00820072,0.00802567,0.00783982,0.00762577,0.0073748,0.00718529,0.00690447,0.00674166,0.00651616,0.00632523,0.00614253,0.00591989,0.00575228,0.00560093,0.00537127,0.00520782,0.00504959,0.00488049,0.00467896,0.00459981
