Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220705\VL_CU_APS_CADR_20220705_SCAN2.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22
Start Time,14:45:00,14:48:00,14:51:00,14:54:00,14:57:00,15:00:00,15:03:01,15:06:01,15:09:00,15:12:00,15:15:00,15:18:00,15:21:00,15:24:00,15:27:00,15:30:00,15:33:00,15:36:00,15:39:00,15:42:00,15:45:00,15:48:00,15:51:00,15:54:00,15:57:00,16:00:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,2.04018e-006,1.20107e-006,6.62235e-007,3.98987e-007,3.04382e-007,0.000444339,0.00126034,0.00122239,0.0011674,0.00111719,0.0010885,0.00104832,0.00102206,0.000983547,0.000952825,0.000928828,0.000890921,0.000875603,0.000845358,0.000823381,0.000800959,0.000828226,0.000806298,0.000791038,0.000756602,0.000735312
0.542,1.5321e-006,7.29573e-007,6.07978e-007,3.64787e-007,1.94553e-007,0.000383707,0.00104981,0.000991807,0.000907711,0.000856665,0.000836261,0.00079149,0.000785118,0.000747861,0.000720843,0.000703941,0.000672715,0.000677044,0.000642438,0.000629549,0.000599101,0.000710823,0.00069757,0.000692195,0.000653528,0.000646305
0.583,2.41428e-006,1.90125e-006,9.95891e-007,6.63927e-007,4.22499e-007,0.000711549,0.00196281,0.00186422,0.00175108,0.00165979,0.00163827,0.0015525,0.00152616,0.00147727,0.001425,0.00140306,0.0013386,0.00132493,0.00127948,0.0012318,0.00118016,0.00132354,0.00128497,0.00126895,0.00121743,0.0011798
0.626,5.09315e-006,2.65893e-006,1.53544e-006,8.61342e-007,8.23892e-007,0.00116086,0.00326314,0.00311544,0.00296811,0.00284831,0.00278753,0.00268008,0.0026308,0.00255676,0.00247209,0.00241135,0.00229787,0.00226447,0.00218788,0.00211804,0.00203782,0.002172,0.00210463,0.00206055,0.00198195,0.00191117
0.673,8.31861e-006,3.71781e-006,2.13774e-006,1.58007e-006,9.29454e-007,0.00173153,0.00483743,0.00465982,0.0045012,0.0043451,0.00427484,0.004083,0.00401882,0.00388851,0.00377154,0.00364536,0.00354796,0.00343294,0.00333386,0.00321182,0.00309959,0.0032035,0.00309094,0.00299228,0.00287647,0.00279315
0.723,9.57317e-006,5.53629e-006,3.51785e-006,1.55708e-006,1.15339e-006,0.00229583,0.00647844,0.00631535,0.00614044,0.00598473,0.00582937,0.00566939,0.00548024,0.0052664,0.00511046,0.00495031,0.00480377,0.0046002,0.00448947,0.00432506,0.00420522,0.0042194,0.0040765,0.00394772,0.00381525,0.00367627
0.777,1.18081e-005,8.08679e-006,3.29197e-006,1.78911e-006,1.0019e-006,0.00283209,0.00818512,0.00803705,0.00787997,0.00764352,0.00742002,0.00719774,0.00693038,0.00671297,0.00650013,0.00625231,0.00605293,0.00585799,0.00566269,0.00542996,0.00526243,0.00522693,0.00504959,0.00483196,0.00469148,0.0045485
0.835,1.33211e-005,6.57173e-006,4.79558e-006,2.22018e-006,1.59853e-006,0.00330638,0.00956488,0.00936684,0.00915104,0.00898417,0.00868711,0.00833588,0.0080612,0.00778847,0.00750962,0.00728236,0.00705351,0.00678939,0.00650956,0.00625771,0.00608151,0.00593489,0.00572273,0.0055183,0.0053318,0.0051287
0.898,1.35551e-005,7.38368e-006,4.62857e-006,2.6449e-006,1.76327e-006,0.00371377,0.0107482,0.0105115,0.010356,0.0100176,0.00966975,0.00933759,0.00900169,0.00861201,0.0083538,0.00802374,0.00776873,0.00745575,0.00723843,0.00694154,0.00668057,0.00644573,0.00625331,0.00598981,0.00580192,0.00558503
0.965,1.70946e-005,8.4789e-006,4.51296e-006,2.87188e-006,2.05135e-006,0.0040778,0.0119658,0.0116973,0.0113712,0.0109748,0.0106085,0.0101982,0.00984072,0.00947968,0.00905191,0.00874749,0.00843842,0.00813318,0.00776462,0.00749165,0.00718477,0.00694381,0.00667358,0.00642277,0.00614802,0.00588436
1.037,1.88374e-005,6.10942e-006,4.07295e-006,2.20618e-006,2.03647e-006,0.00459259,0.0133922,0.0131224,0.012765,0.0122241,0.0117695,0.0113586,0.0108471,0.0103726,0.00994665,0.00956854,0.00919689,0.0087991,0.00841794,0.00810364,0.00781429,0.00747488,0.00719775,0.00685291,0.00658732,0.00623755
1.114,1.83218e-005,9.26617e-006,3.79071e-006,2.52714e-006,1.89535e-006,0.00511366,0.0149171,0.0145504,0.0140943,0.0135857,0.0128951,0.0123459,0.011919,0.0113209,0.0109,0.0103914,0.00990196,0.00952584,0.00913834,0.00868325,0.00836441,0.00794048,0.0076705,0.00726278,0.00695047,0.00668365
1.197,1.77708e-005,8.10139e-006,4.4427e-006,1.04534e-006,2.35202e-006,0.00562132,0.0163013,0.0160303,0.0153788,0.0147623,0.0140329,0.0134729,0.0127388,0.012318,0.0115541,0.0111786,0.0105749,0.0101369,0.00965476,0.00923767,0.00878164,0.00833894,0.00793178,0.00756095,0.00721599,0.0069131
1.286,1.42692e-005,8.75612e-006,2.91871e-006,1.9458e-006,2.59441e-006,0.00614517,0.0176783,0.0172865,0.0165886,0.0157257,0.0150125,0.0142407,0.0135911,0.0128764,0.0122903,0.0117215,0.0110801,0.0105741,0.0100105,0.00953736,0.00904799,0.00858067,0.00824145,0.00780332,0.00743654,0.00707008
1.382,1.36829e-005,8.45118e-006,4.82924e-006,1.20731e-006,8.04874e-007,0.00695854,0.0202406,0.019723,0.0185821,0.017861,0.0167848,0.0158407,0.0151421,0.0143195,0.0136177,0.0129247,0.012096,0.0115085,0.0108984,0.0103547,0.00982791,0.00935626,0.00872886,0.00835861,0.00787167,0.00746963
1.486,8.48978e-006,4.99399e-006,2.99639e-006,2.99639e-006,0,0.00780511,0.022451,0.0214487,0.0203036,0.0193532,0.0183324,0.0172952,0.0161206,0.0154584,0.0144851,0.0135911,0.0130638,0.0121384,0.0114477,0.0108075,0.0103111,0.00968884,0.00913601,0.0086431,0.0080573,0.00775417
1.596,1.85917e-005,5.57751e-006,2.47889e-006,1.85917e-006,1.23945e-006,0.00911055,0.0261653,0.0248379,0.0234181,0.0221409,0.0208661,0.0195374,0.0183048,0.0173467,0.0163725,0.0152483,0.0143168,0.0135137,0.0126324,0.011802,0.011072,0.0104516,0.0097656,0.00924317,0.00854102,0.00817229
