Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220705\VL_CU_APS_CADR_20220705_SCAN3.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22
Start Time,16:15:00,16:18:00,16:21:01,16:24:00,16:27:00,16:30:00,16:33:00,16:36:00,16:39:00,16:42:00,16:45:00,16:48:00,16:51:01,16:54:00,16:57:00,17:00:00,17:03:00,17:06:00,17:09:00,17:12:01,17:15:00,17:18:00,17:21:00,17:24:00,17:27:00,17:30:00,17:33:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,2.10928e-005,9.90885e-006,4.50814e-006,2.34867e-006,1.15171e-006,0.000518325,0.00156289,0.00167551,0.0016021,0.0015658,0.00151422,0.00147533,0.00142741,0.00137366,0.00135659,0.00128334,0.00126698,0.0012194,0.00118322,0.00116014,0.00111737,0.00109299,0.00104436,0.00102465,0.000994414,0.000978476,0.000760267
0.542,1.6537e-005,8.34146e-006,3.16149e-006,1.84825e-006,1.0214e-006,0.000467803,0.00132371,0.00152048,0.00141574,0.00140893,0.00134789,0.00131982,0.00126472,0.00121994,0.00122474,0.00113458,0.00112335,0.00108077,0.0010269,0.00102897,0.000992244,0.000976461,0.000908586,0.000900367,0.000882152,0.000878479,0.000673956
0.583,3.21401e-005,1.49987e-005,6.33749e-006,2.95749e-006,1.62964e-006,0.000843369,0.0024383,0.00269283,0.0025471,0.0025034,0.00240758,0.00234879,0.00226176,0.00217898,0.00216962,0.00203246,0.00200005,0.00192032,0.00185709,0.00183129,0.00175295,0.00171954,0.00163785,0.00160963,0.00156958,0.00153512,0.00120216
0.626,5.27291e-005,2.28068e-005,1.10102e-005,4.86845e-006,3.59517e-006,0.00134826,0.0039391,0.00427477,0.0040907,0.00400625,0.0038681,0.00377635,0.0036528,0.00352109,0.00345574,0.00329943,0.00319614,0.00308076,0.00297294,0.00292354,0.00281981,0.00273461,0.00263252,0.00257129,0.0025077,0.0024673,0.00191918
0.673,7.79347e-005,3.49939e-005,1.58007e-005,6.4597e-006,3.39251e-006,0.00194614,0.00577586,0.00616437,0.00594822,0.00581894,0.00563012,0.00546221,0.00530504,0.00508407,0.00497755,0.00477967,0.00463732,0.00445362,0.004328,0.00421047,0.00410475,0.00398457,0.00383804,0.0037206,0.00357737,0.00353318,0.00276694
0.723,0.000106862,4.53861e-005,2.17991e-005,1.07266e-005,4.95959e-006,0.00254554,0.00768645,0.00811563,0.00788241,0.00769343,0.00742682,0.00719868,0.0069646,0.00670745,0.00655324,0.00631172,0.00608819,0.00588519,0.00571772,0.00550504,0.00535457,0.00518381,0.0050288,0.00485314,0.00469893,0.00454801,0.00358308
0.777,0.000136831,5.86829e-005,2.57632e-005,1.19513e-005,6.08298e-006,0.00319142,0.00967416,0.0100921,0.00986188,0.00958979,0.009248,0.0089573,0.00860485,0.00837713,0.00811263,0.00779824,0.00756473,0.00733114,0.00706728,0.00683312,0.00663818,0.00634978,0.00620436,0.00593406,0.00577053,0.00553959,0.00441854
0.835,0.000152393,6.28754e-005,3.2237e-005,1.32323e-005,7.19338e-006,0.00369233,0.011304,0.0116774,0.0114145,0.0109901,0.0105998,0.0102628,0.00987784,0.00965715,0.00928931,0.00896659,0.00864528,0.00838242,0.00806458,0.00774594,0.00751264,0.00722854,0.00704844,0.00675485,0.00648798,0.0062482,0.00497169
0.898,0.000166078,7.32857e-005,3.25102e-005,1.64204e-005,8.26531e-006,0.00411216,0.0126476,0.0129446,0.0126204,0.0122191,0.0117285,0.0113458,0.0109965,0.0106036,0.0102499,0.00984233,0.00940923,0.00917008,0.00885148,0.00841254,0.00821274,0.00783342,0.00759494,0.00733397,0.00702794,0.00681833,0.00532605
0.965,0.000172997,8.06863e-005,3.40523e-005,1.46329e-005,9.98322e-006,0.00456876,0.0140681,0.0143068,0.0139068,0.0133943,0.0128691,0.012362,0.0119079,0.0115543,0.0110908,0.0105654,0.0102893,0.00980065,0.00940132,0.0090251,0.00867596,0.00838481,0.00810473,0.00777023,0.00745678,0.00713691,0.005633
