Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220706\VL_CU_APS_backgroundAvery_SCAN1.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22
Start Time,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00,15:17:00,15:20:00,15:23:00,15:26:00,15:29:00,15:32:00,15:35:00,15:38:00,15:41:00,15:44:00,15:47:00,15:50:01,15:53:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,1.33681e-006,6.58122e-007,3.53741e-007,2.1389e-007,1.7687e-007,0.000762579,0.0019652,0.00174607,0.00156224,0.00142199,0.00132877,0.00122038,0.00114306,0.00109615,0.0010367,0.000985205,0.000926797,0.000900718,0.000862457,0.000835186,0.000801449,0.000771652,0.000752448,0.000726962,0.000704343,0.000663046,0.00064554
0.542,7.53893e-007,4.13425e-007,2.43191e-007,9.72765e-008,4.86382e-008,0.000869092,0.00214971,0.00186924,0.00166153,0.0014913,0.00139886,0.00126352,0.0011824,0.0011376,0.00107369,0.00102427,0.00096936,0.00094453,0.000897667,0.000885702,0.000835775,0.000802044,0.00079684,0.000761723,0.000743995,0.000692657,0.000673907
0.583,1.05625e-006,6.33749e-007,4.52678e-007,2.71607e-007,9.05355e-008,0.00135323,0.00343145,0.00301963,0.00270891,0.00248846,0.00232332,0.00213489,0.00200726,0.00194319,0.00184261,0.00175612,0.00168502,0.00161745,0.00155552,0.00151342,0.00144697,0.00139054,0.00136799,0.00131946,0.00128588,0.00120789,0.00117696
0.626,1.38564e-006,6.36644e-007,2.24698e-007,1.87248e-007,7.48993e-008,0.00185065,0.00480711,0.00429293,0.00392757,0.00362419,0.0033817,0.0031861,0.00300552,0.00289048,0.00276689,0.00266267,0.00253789,0.00245411,0.00236259,0.00228892,0.0022059,0.00212002,0.00204958,0.00199094,0.00192566,0.00184402,0.00178279
0.673,1.90538e-006,7.90036e-007,3.25309e-007,1.39418e-007,4.64727e-008,0.00228488,0.00606696,0.00551245,0.00508179,0.00472804,0.00445729,0.00423961,0.00402588,0.00384594,0.00369212,0.00355902,0.00338702,0.00326406,0.0031501,0.00304615,0.00294093,0.00282847,0.00273775,0.00263732,0.00255033,0.00245413,0.00237503
0.723,1.67242e-006,6.34367e-007,4.61358e-007,4.61358e-007,5.76697e-008,0.00266342,0.00707942,0.0064571,0.00598877,0.00561161,0.00523335,0.00504523,0.00479581,0.00459927,0.00438693,0.0042141,0.00405977,0.00390562,0.00374651,0.00360038,0.00349288,0.00338354,0.00322103,0.00310234,0.00298764,0.00290863,0.00278124
0.777,1.78911e-006,9.30339e-007,2.86258e-007,2.86258e-007,1.43129e-007,0.00303677,0.0080334,0.00731962,0.00679362,0.00633711,0.00595374,0.00569024,0.00542774,0.00513232,0.00493838,0.00478387,0.00462092,0.00441338,0.00421257,0.0040703,0.00391687,0.00376358,0.0035964,0.0034872,0.00332052,0.00325547,0.00307992
0.835,1.86495e-006,9.76878e-007,2.66421e-007,5.32843e-007,0,0.00336579,0.00895433,0.00814237,0.00749701,0.00702749,0.00657048,0.00625335,0.00596473,0.00561092,0.00540827,0.00524104,0.00498705,0.00480074,0.00458591,0.0043583,0.0042647,0.00406186,0.0038997,0.00371791,0.00356738,0.00345025,0.00327165
0.898,2.42449e-006,6.61225e-007,8.81633e-007,2.20408e-007,2.20408e-007,0.00379653,0.0100048,0.00909206,0.00831181,0.00774977,0.00727501,0.00682946,0.00657301,0.00625926,0.00599411,0.00571375,0.00543758,0.00520946,0.00499743,0.00476434,0.00458901,0.00437709,0.00418247,0.00401055,0.00380854,0.00367134,0.00350758
0.965,2.05135e-006,6.83782e-007,1.36756e-007,1.36756e-007,0,0.00424218,0.011076,0.00999922,0.00920179,0.00849121,0.00797126,0.00759135,0.00712966,0.0067838,0.00648007,0.00614693,0.00585126,0.00563888,0.00533788,0.00509677,0.00487646,0.00467488,0.00441204,0.00426365,0.0040644,0.00390727,0.00370801
1.037,1.69706e-006,8.48531e-007,5.09119e-007,1.69706e-007,1.69706e-007,0.00464622,0.0122124,0.0109423,0.00991237,0.00923287,0.00862023,0.00811009,0.00767055,0.00720369,0.00690467,0.00656186,0.00623619,0.00591969,0.00562797,0.00535304,0.0051438,0.00492453,0.00464656,0.00446938,0.00422925,0.00402967,0.00380515
1.114,1.47416e-006,1.26357e-006,2.10595e-007,6.31785e-007,2.10595e-007,0.00503911,0.0132418,0.0118102,0.0107241,0.00987353,0.0091931,0.00874263,0.00815465,0.00770461,0.00740051,0.00697532,0.00661373,0.0062692,0.00594025,0.00565953,0.00536238,0.00503364,0.00473586,0.00462003,0.00432836,0.00412766,0.00386463
1.197,2.61335e-006,1.04534e-006,5.2267e-007,0,0,0.00561374,0.0144281,0.0128914,0.0115704,0.0106753,0.00987193,0.00931477,0.00879001,0.00825558,0.00775669,0.00745197,0.00701606,0.00654226,0.0062088,0.00587142,0.00553874,0.00523768,0.0049374,0.00472807,0.00444034,0.00420488,0.00396445
1.286,2.59441e-006,9.72902e-007,9.72902e-007,0,3.24301e-007,0.00636667,0.0161949,0.0140604,0.0126853,0.0116823,0.0108686,0.0100725,0.00954482,0.00886411,0.00843928,0.00787953,0.00742876,0.00700814,0.00657357,0.00622074,0.00576898,0.00545733,0.00509476,0.00487943,0.00453534,0.00425093,0.00401322
1.382,1.20731e-006,8.04874e-007,4.02437e-007,0,0,0.00740645,0.0186365,0.0162741,0.0145296,0.0133118,0.0121914,0.0113894,0.010642,0.0100239,0.00938362,0.00866326,0.00806162,0.00774812,0.00715533,0.00673116,0.00623053,0.00575927,0.0055484,0.00523208,0.00482924,0.00453546,0.00423444
1.486,4.99399e-007,1.9976e-006,4.99399e-007,0,0,0.00870802,0.0215845,0.0183364,0.016222,0.0150114,0.013709,0.0126398,0.0118103,0.0109283,0.0101758,0.00958397,0.00888381,0.00826306,0.0076423,0.00722081,0.00650268,0.00619305,0.00568316,0.00534057,0.00499799,0.00472481,0.0043253
1.596,3.09862e-006,1.23945e-006,0,0,0,0.0105322,0.0252302,0.0207694,0.0183221,0.0165571,0.0151268,0.0139593,0.0129547,0.0119129,0.0110354,0.0102019,0.00946813,0.00875855,0.00809297,0.00746952,0.00699605,0.00641785,0.00601937,0.00549942,0.00501666,0.00461632,0.0044682
1.715,3.84519e-006,0,1.53808e-006,7.69038e-007,0,0.0121531,0.0282521,0.0235272,0.0205633,0.0188837,0.0170996,0.015593,0.014481,0.0131836,0.0122831,0.0111034,0.0102528,0.00967219,0.0087232,0.00806029,0.00729817,0.00679676,0.00608001,0.00577624,0.00522946,0.00491723,0.0044535
1.843,4.77164e-006,2.86298e-006,0,0,0,0.0129121,0.0297932,0.0249786,0.0215869,0.0195141,0.0174747,0.01609,0.0146556,0.0135181,0.012287,0.0112134,0.0102266,0.00918255,0.00847444,0.00776823,0.0070878,0.00652951,0.00582999,0.00530034,0.00494915,0.00440422,0.00404063
1.981,7.10557e-006,1.18426e-006,2.36852e-006,0,0,0.0135231,0.0337716,0.0291411,0.0256902,0.0229996,0.0207104,0.0186237,0.0166697,0.015348,0.0138334,0.0123661,0.0112327,0.0103291,0.00915671,0.00822352,0.00784455,0.00689714,0.00618422,0.00569393,0.00498101,0.00452033,0.00413071
2.129,5.87838e-006,0,1.4696e-006,0,0,0.0150237,0.0376158,0.0323487,0.0283573,0.0253814,0.0226538,0.0204215,0.0182788,0.016386,0.0147974,0.0130838,0.0118435,0.0106428,0.00963614,0.0085942,0.00786087,0.00686889,0.0062884,0.00551245,0.00506717,0.00451607,0.00410899
2.288,3.64735e-006,1.82368e-006,0,0,0,0.0177006,0.0406424,0.0327952,0.0283837,0.0251047,0.0219078,0.0195626,0.0175438,0.015948,0.0140952,0.0124667,0.0110752,0.00987338,0.00862781,0.00756643,0.00678955,0.00584853,0.00515918,0.00453001,0.00402303,0.00371665,0.00329903
2.458,2.26307e-006,2.26307e-006,0,0,0,0.0209175,0.0447703,0.0347268,0.0303002,0.0258171,0.0230064,0.0203676,0.0174188,0.0153368,0.0136282,0.0115892,0.0102426,0.00887349,0.00771028,0.00666247,0.00580025,0.00503307,0.00415047,0.00370464,0.00302572,0.00288994,0.00231286
2.642,2.80833e-006,0,0,0,0,0.0206721,0.0441497,0.0346098,0.0292965,0.0255249,0.0214865,0.0187681,0.016044,0.0135895,0.0118905,0.0104554,0.00878445,0.00742241,0.00642826,0.00558576,0.00471518,0.00394289,0.00339246,0.00281956,0.00231687,0.0019911,0.00169061
2.839,6.96992e-006,3.48496e-006,0,0,0,0.0182054,0.0430462,0.0340097,0.0282177,0.0244052,0.0200315,0.0168916,0.0144242,0.0124169,0.00977531,0.0085277,0.00706053,0.00618232,0.00484758,0.00405998,0.00343269,0.00296919,0.00233144,0.00191324,0.00167278,0.0014358,0.001042
3.051,0,4.32462e-006,4.32462e-006,4.32462e-006,0,0.0212296,0.0479816,0.0372912,0.030255,0.024992,0.0205419,0.0174628,0.0142799,0.0116332,0.00955308,0.00754213,0.00632259,0.00496466,0.00385323,0.00295804,0.00248666,0.0019331,0.00153956,0.00127576,0.000938442,0.000709237,0.00073951
3.278,5.36658e-006,0,0,0,0,0.025604,0.0509718,0.0361761,0.029323,0.0238652,0.0190889,0.0151606,0.0122143,0.00961692,0.00762055,0.0060535,0.00439523,0.00325752,0.00243643,0.00192124,0.00142214,0.00129335,0.000799621,0.000729855,0.000595691,0.000445426,0.000343461
3.523,0,0,0,0,0,0.0236416,0.0472032,0.0337775,0.0254929,0.020698,0.0152971,0.0125134,0.00937671,0.00743877,0.00558074,0.00412895,0.00309671,0.00249735,0.00174481,0.00131194,0.00098562,0.000719236,0.000626002,0.000472831,0.000313001,0.000253065,0.00016649
3.786,0,0,0,0,0,0.0213711,0.0439404,0.0313624,0.0237181,0.0177266,0.0136606,0.0104624,0.00752037,0.0054626,0.00420645,0.00285113,0.00194207,0.00142143,0.00109087,0.000909056,0.000661131,0.000363622,0.000264453,0.000256188,8.26414e-005,0.000132226,9.09056e-005
4.068,0,0,0,0,0,0.0200696,0.0403238,0.0279559,0.0194645,0.0131575,0.00948614,0.00686079,0.00480973,0.00312786,0.0022254,0.00152804,0.00109732,0.000748636,0.000471743,0.000287148,0.000246127,0.000143574,9.22976e-005,5.12764e-005,5.12764e-005,4.10211e-005,9.22976e-005
4.371,0,0,0,0,0,0.0219145,0.0382549,0.0238107,0.014826,0.00981188,0.00640126,0.00367786,0.00249433,0.00139988,0.00110718,0.000610856,0.000445416,0.000178166,0.000292702,0.000127262,5.09047e-005,2.54523e-005,3.81785e-005,5.09047e-005,3.81785e-005,1.27262e-005,1.27262e-005
4.698,0,0,0,0,0,0.0194246,0.0333219,0.0191246,0.010881,0.0072645,0.00345853,0.00279525,0.00131077,0.00099492,0.000615903,0.000252678,0.000221093,1.57924e-005,6.31696e-005,3.15848e-005,3.15848e-005,0,6.31696e-005,3.15848e-005,0,0,1.57924e-005
5.048,1.95974e-005,0,0,0,0,0.0184411,0.0271816,0.0150312,0.00809371,0.00435062,0.00246927,0.00141101,0.0007447,0.000489934,0.000352753,0.000274363,0.000137182,0.000156779,3.91947e-005,5.87921e-005,1.95974e-005,3.91947e-005,0,0,0,1.95974e-005,0
5.425,0,0,0,0,0,0.0154183,0.0226897,0.0118191,0.0055934,0.00299125,0.00184825,0.0010214,0.000486382,0.000243191,0.000121596,7.29573e-005,9.72764e-005,7.29573e-005,2.43191e-005,2.43191e-005,0,4.86382e-005,7.29573e-005,0,2.43191e-005,0,0
5.829,0,0,0,0,0,0.0130371,0.0186503,0.00760498,0.00380249,0.00175035,0.00102607,0.000452678,0.00021125,0.000120714,0.000150893,0,0,0,6.0357e-005,6.0357e-005,0,3.01785e-005,3.01785e-005,6.0357e-005,3.01785e-005,0,0
6.264,0,0,0,0,0,0.0101863,0.0142683,0.00625409,0.00295852,0.00157289,0.000636644,0.000224698,0.000224698,3.74496e-005,0.000187248,7.48993e-005,3.74496e-005,3.74496e-005,0,0,7.48993e-005,3.74496e-005,3.74496e-005,0,0,3.74496e-005,0
