Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220711\VL_CU_APS_CADR_Avery2.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22
Start Time,11:50:00,11:53:00,11:56:00,11:59:01,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:26:01,12:29:00,12:32:00,12:35:00,12:38:00,12:41:00,12:44:00,12:47:00,12:50:00,12:53:00,12:56:00,12:59:00,13:02:00,13:05:00,13:08:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,7.3175e-006,3.55797e-006,1.53425e-006,8.55559e-007,5.10045e-007,0.000953208,0.00250244,0.00221178,0.00200633,0.00183138,0.00173502,0.00163176,0.0015316,0.00145868,0.0013846,0.00133799,0.00128347,0.00124294,0.00118289,0.00113783,0.00111947,0.00104238,0.00101987,0.000985896,0.000953652,0.000922811,0.000911372
0.542,6.32297e-006,2.65078e-006,1.33755e-006,8.2685e-007,3.40468e-007,0.00103512,0.00254614,0.00216584,0.00192829,0.00170458,0.0016206,0.00152469,0.00140494,0.00130761,0.00123772,0.00121014,0.00117617,0.00114502,0.00107646,0.00102987,0.00104273,0.00092488,0.000926583,0.000900804,0.000872035,0.000854233,0.000860897
0.583,1.18903e-005,4.7682e-006,2.35392e-006,1.2675e-006,7.24284e-007,0.00173095,0.00437926,0.00378876,0.00342146,0.00310748,0.00295085,0.00279142,0.00260253,0.00248982,0.00236328,0.00229499,0.0022174,0.00215876,0.00204698,0.00195207,0.00196897,0.00181756,0.00177078,0.00171,0.00166462,0.00161844,0.00161023
0.626,1.99981e-005,9.13771e-006,3.67007e-006,2.17208e-006,1.23584e-006,0.00250789,0.0065301,0.00582544,0.00531197,0.00492276,0.00468555,0.00444715,0.004205,0.00404741,0.00385585,0.0037389,0.00360869,0.00349544,0.00334605,0.00324939,0.00318599,0.002995,0.00291995,0.002824,0.00271877,0.00262481,0.00258133
0.673,2.68612e-005,1.29194e-005,6.04145e-006,2.60247e-006,1.48713e-006,0.00321284,0.00865424,0.00793586,0.00731787,0.00688307,0.0064934,0.00622158,0.00591481,0.00568858,0.00549414,0.00529129,0.0050955,0.00494441,0.00476475,0.00459527,0.00446338,0.00427079,0.00411093,0.00396765,0.00382433,0.00370132,0.00360345
0.723,3.18337e-005,1.47634e-005,7.38172e-006,3.2295e-006,1.9031e-006,0.00379784,0.0103556,0.00965622,0.0089677,0.00850622,0.00802722,0.00765012,0.0073883,0.00708697,0.00684822,0.00657717,0.0063037,0.00610365,0.00590728,0.00568721,0.00547626,0.00528612,0.00509483,0.00487943,0.00470896,0.00455152,0.00434853
0.777,3.24903e-005,1.92509e-005,6.36924e-006,4.15074e-006,1.78911e-006,0.00437774,0.0119442,0.0111628,0.0104085,0.00981994,0.00934432,0.0088823,0.00855811,0.00820859,0.00787381,0.00754748,0.00726888,0.00700209,0.0067783,0.00648425,0.00628608,0.00605178,0.00580589,0.00552836,0.00533871,0.00511257,0.00490947
0.835,3.71214e-005,1.87383e-005,7.54861e-006,3.90751e-006,2.04256e-006,0.0048978,0.013399,0.0123905,0.0115635,0.0109523,0.0102861,0.00979543,0.00942377,0.00898284,0.00871535,0.00831217,0.00800223,0.00765917,0.00742143,0.00712766,0.00677927,0.00652599,0.00624314,0.00598302,0.00573783,0.00550853,0.0052406
0.898,3.85714e-005,1.78531e-005,9.14694e-006,4.18776e-006,1.76327e-006,0.00555341,0.0149721,0.0138499,0.0128137,0.0121184,0.0114097,0.0108915,0.0103882,0.00992818,0.00954048,0.00910462,0.00867979,0.00836273,0.0080168,0.00768552,0.00737133,0.00707499,0.00674934,0.00642997,0.00616658,0.0059249,0.00561192
