Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220711\VL_CU_APS_CADR_thomas.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22,07/11/22
Start Time,10:20:00,10:23:00,10:26:00,10:29:00,10:32:00,10:35:00,10:38:00,10:41:00,10:44:00,10:47:00,10:50:00,10:53:00,10:56:00,10:59:00,11:02:00,11:05:00,11:08:00,11:11:00,11:14:00,11:17:01,11:20:00,11:23:00,11:26:00,11:29:01,11:32:00,11:35:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,6.08763e-007,2.55022e-007,2.75589e-007,2.22116e-007,1.60417e-007,0.000869672,0.00244069,0.00213979,0.00190118,0.00171062,0.0015745,0.00148082,0.00138842,0.00128767,0.00124824,0.00118293,0.00113312,0.00107232,0.00111008,0.00107492,0.00103317,0.000999955,0.000953504,0.000924308,0.000893705,0.000859413
0.542,3.16149e-007,1.70234e-007,1.21596e-007,1.45915e-007,1.21596e-007,0.0009349,0.0024431,0.00203043,0.00169932,0.00144891,0.00127775,0.0011769,0.00107221,0.000934535,0.000947667,0.000873664,0.000837283,0.000763961,0.000953285,0.000918266,0.000893265,0.000873202,0.000809219,0.00078952,0.000770697,0.000752409
0.583,4.82856e-007,2.41428e-007,1.50893e-007,0,6.0357e-008,0.00161048,0.00432229,0.00366569,0.00318302,0.00281252,0.00252485,0.00236352,0.00218529,0.00196501,0.00194793,0.00183208,0.00174912,0.00161573,0.001873,0.00181521,0.00174897,0.00170216,0.00160559,0.0015637,0.00151783,0.00146978
0.626,1.49799e-007,1.87248e-007,1.87248e-007,1.87248e-007,7.48993e-008,0.00239262,0.00653216,0.00577623,0.00514637,0.00465803,0.00428132,0.00403902,0.00379032,0.00349293,0.00345245,0.00327879,0.00313221,0.002931,0.00317966,0.0030605,0.00294418,0.0028728,0.00273457,0.00265102,0.00257099,0.00246449
0.673,4.64727e-007,9.29454e-008,9.29454e-008,9.29454e-008,0,0.00310321,0.00875466,0.00795775,0.00724379,0.00672385,0.00630532,0.0059597,0.00569732,0.00537382,0.00520647,0.00497969,0.00475773,0.00456664,0.00466,0.00449261,0.00435003,0.00419974,0.00400943,0.00386365,0.00374063,0.00360916
0.723,1.73009e-007,2.88349e-007,1.15339e-007,1.73009e-007,0,0.00365914,0.0105558,0.00972502,0.009038,0.00847439,0.00806943,0.00767324,0.007312,0.00702336,0.00672204,0.00645693,0.00620203,0.00597821,0.00589627,0.00569944,0.00546801,0.00527297,0.0050754,0.00489224,0.0046923,0.00452609
0.777,1.43129e-007,2.14694e-007,3.57823e-007,7.15645e-008,7.15645e-008,0.00420327,0.0121763,0.0112847,0.010491,0.00988972,0.00945518,0.0089943,0.00862961,0.00831508,0.00791482,0.00759028,0.00728949,0.00701368,0.00686984,0.00657964,0.00632487,0.00610581,0.00582607,0.00562411,0.00536698,0.00516717
