Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220711\VL_CU_SMPS_CADR_thomas.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022,7/11/2022
Start Time,10:20:00,10:23:00,10:26:00,10:29:00,10:32:01,10:35:00,10:38:00,10:41:00,10:44:00,10:47:00,10:50:00,10:52:59,10:55:59,10:58:59,11:01:59,11:04:59,11:07:59,11:11:00,11:14:00,11:17:00,11:20:00,11:23:00,11:25:59,11:29:00,11:32:00,11:35:00
Sample Temp (C),22.5,22.6,22.7,22.7,22.8,22.9,22.9,23.0,23.0,23.0,23.0,23.0,23.1,23.1,23.2,23.2,23.3,23.3,23.3,23.4,23.4,23.4,23.5,23.5,23.5,23.6
Sample Pressure (kPa),82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.2,82.1,82.2,82.1,82.2,82.1,82.1,82.1,82.1
Relative Humidity (%),52.8,52.7,52.6,52.4,52.3,52.2,52.1,52.1,52.0,51.9,51.8,51.8,51.7,51.6,51.6,51.5,51.5,51.4,51.4,51.3,51.3,51.2,51.1,51.1,51.0,51.0
Mean Free Path (m),8.27598e-008,8.27954e-008,8.28310e-008,8.28310e-008,8.28666e-008,8.29022e-008,8.29022e-008,8.29378e-008,8.29378e-008,8.29378e-008,8.29378e-008,8.29378e-008,8.29735e-008,8.29735e-008,8.30091e-008,8.30091e-008,8.30447e-008,8.30447e-008,8.31458e-008,8.30803e-008,8.31815e-008,8.30803e-008,8.32171e-008,8.32171e-008,8.32171e-008,8.32528e-008
Gas Viscosity (Pa*s),1.83006e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83531e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.004,0.003,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000
 16.8,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000
 17.5,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.005,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.005,0.005,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
 18.8,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.006,0.005,0.005,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
 19.5,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.006,0.006,0.005,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
 20.2,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.007,0.006,0.006,0.005,0.005,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
 20.9,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.008,0.007,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001
 21.7,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.008,0.008,0.007,0.006,0.006,0.005,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001
 22.5,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.009,0.008,0.007,0.007,0.006,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002
 23.3,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.010,0.009,0.008,0.007,0.007,0.006,0.005,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002
 24.1,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.011,0.010,0.009,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.013,0.011,0.010,0.009,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.002
 25.9,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.014,0.012,0.011,0.010,0.010,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.015,0.014,0.012,0.011,0.011,0.010,0.008,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.003
