Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220707\VL_CU_APS_CADR_Oransi_SCAN1.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22,07/07/22
Start Time,11:05:00,11:08:00,11:11:00,11:14:00,11:17:00,11:20:00,11:23:00,11:26:00,11:29:00,11:32:00,11:35:00,11:38:00,11:41:00,11:44:00,11:47:00,11:50:00,11:53:00,11:56:00,11:59:00,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,1.74814e-006,1.04066e-006,5.7997e-007,3.6608e-007,2.50909e-007,0.000560543,0.00184814,0.00119425,0.00058097,0.000271702,0.000128585,6.42533e-005,3.14624e-005,1.55235e-005,7.64244e-006,3.9076e-006,2.11833e-006,1.06945e-006,7.03368e-007,4.31893e-007,2.79702e-007,1.85097e-007,1.64531e-007,1.7687e-007,1.60417e-007,9.04918e-008
0.542,1.0214e-006,4.13425e-007,5.10701e-007,9.72765e-008,7.29573e-008,0.000648737,0.00206041,0.00129993,0.000617511,0.000274684,0.00012877,6.05546e-005,3.04962e-005,1.45185e-005,6.83367e-006,2.86966e-006,1.72666e-006,1.07004e-006,6.32297e-007,2.91829e-007,1.21596e-007,2.43191e-007,2.43191e-007,2.6751e-007,7.29573e-008,7.29573e-008
0.583,1.17696e-006,6.0357e-007,3.31964e-007,1.20714e-007,2.1125e-007,0.0010762,0.00349105,0.00223819,0.00106726,0.000492634,0.000234396,0.000113894,5.66149e-005,2.57423e-005,1.29466e-005,5.94517e-006,3.28946e-006,1.59946e-006,1.17696e-006,8.75177e-007,5.13035e-007,2.71607e-007,3.31964e-007,3.31964e-007,9.05355e-008,1.50893e-007
0.626,9.73691e-007,5.24295e-007,3.37047e-007,7.48993e-008,1.49799e-007,0.00154577,0.00511278,0.00331107,0.00161105,0.000759104,0.000365958,0.000179796,8.82688e-005,4.3891e-005,1.97734e-005,1.07855e-005,5.31785e-006,3.33302e-006,1.68523e-006,1.01114e-006,7.48993e-007,2.24698e-007,5.99194e-007,2.62148e-007,1.49799e-007,3.74497e-007
0.673,6.04145e-007,4.18254e-007,4.64727e-007,5.57672e-007,1.39418e-007,0.00193926,0.0065408,0.00427786,0.00213802,0.00103825,0.00050316,0.000246863,0.00012227,5.97639e-005,3.01143e-005,1.42671e-005,6.73854e-006,3.90371e-006,2.50953e-006,1.30124e-006,1.06887e-006,5.112e-007,5.112e-007,3.71781e-007,4.18254e-007,3.25309e-007
0.723,1.03805e-006,2.88349e-007,4.03688e-007,2.30679e-007,2.88349e-007,0.0022437,0.00763264,0.00504437,0.00253112,0.00124232,0.000619661,0.000301613,0.000149595,7.30099e-005,3.58706e-005,1.82236e-005,9.28482e-006,5.7093e-006,2.71048e-006,1.9031e-006,8.65046e-007,9.22715e-007,2.88349e-007,4.61358e-007,4.61358e-007,4.03688e-007
0.777,5.00952e-007,4.29387e-007,1.43129e-007,7.15645e-008,1.43129e-007,0.00254083,0.00870525,0.00577483,0.0029003,0.0014338,0.000707845,0.000348161,0.000178267,8.7595e-005,4.01477e-005,2.0539e-005,1.15935e-005,5.93986e-006,3.64979e-006,2.50476e-006,1.14503e-006,1.2166e-006,1.28816e-006,6.44081e-007,7.15645e-007,3.57823e-007
