Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220707\VL_CU_SMPS_CADR_Oransi_SCAN2.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022,7/7/2022
Start Time,12:30:00,12:33:00,12:36:00,12:39:00,12:42:00,12:45:00,12:48:00,12:51:00,12:54:00,12:57:00,13:00:00,13:03:00,13:06:00,13:09:00,13:12:00,13:15:00,13:18:00,13:21:00,13:24:00,13:27:00,13:30:00,13:33:00,13:36:00,13:39:00,13:42:00,13:45:00
Sample Temp (C),22.6,22.7,22.7,22.7,22.8,22.8,22.9,23.0,23.0,23.0,23.0,23.1,23.1,23.2,23.2,23.2,23.2,23.3,23.3,23.3,23.3,23.3,23.4,23.4,23.4,23.4
Sample Pressure (kPa),81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.4,81.4,81.4,81.4,81.5,81.4,81.4,81.4,81.5,81.4,81.4,81.4,81.4,81.4
Relative Humidity (%),58.5,57.3,56.5,56.0,55.5,55.1,54.8,54.6,54.4,54.2,54.1,53.9,53.8,53.7,53.6,53.5,53.4,53.3,53.2,53.1,53.0,52.9,52.8,52.8,52.7,52.6
Mean Free Path (m),8.35065e-008,8.35424e-008,8.35424e-008,8.35424e-008,8.35784e-008,8.35784e-008,8.36143e-008,8.36502e-008,8.36502e-008,8.36502e-008,8.36502e-008,8.36861e-008,8.37889e-008,8.38249e-008,8.38249e-008,8.38249e-008,8.37220e-008,8.38608e-008,8.38608e-008,8.38608e-008,8.37579e-008,8.38608e-008,8.38968e-008,8.38968e-008,8.38968e-008,8.38968e-008
Gas Viscosity (Pa*s),1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83436e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
