Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220712\VL_CU_APS_CADR_oreck_SCAN2.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22
Start Time,13:00:01,13:03:00,13:06:00,13:09:00,13:12:00,13:15:00,13:18:00,13:21:01,13:24:00,13:27:00,13:30:00,13:33:00,13:36:01,13:39:00,13:42:00,13:45:01,13:48:00,13:51:00,13:54:00,13:57:00,14:00:00,14:03:00,14:06:00,14:09:00,14:12:01,14:15:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,4.70146e-006,2.04018e-006,1.03654e-006,5.30611e-007,3.74307e-007,0.000913704,0.00230689,0.00160468,0.00103112,0.000599418,0.000352161,0.000204861,0.000120946,7.19328e-005,4.44685e-005,2.63413e-005,1.64284e-005,1.04765e-005,6.4496e-006,4.29425e-006,2.70241e-006,2.10188e-006,1.30802e-006,1.09001e-006,9.13145e-007,7.11595e-007
0.542,3.429e-006,1.31323e-006,6.32297e-007,2.91829e-007,1.70234e-007,0.000915931,0.00209779,0.00143101,0.00100102,0.00057449,0.000327578,0.00018699,0.00010732,6.2792e-005,3.92754e-005,2.29329e-005,1.27189e-005,8.09827e-006,5.54476e-006,3.08853e-006,1.99417e-006,1.41051e-006,8.99807e-007,5.35021e-007,5.83659e-007,4.13425e-007
0.583,5.49249e-006,2.59535e-006,1.23732e-006,5.13035e-007,3.92321e-007,0.0017024,0.0040065,0.00273656,0.00179716,0.00103811,0.000609938,0.000352485,0.00019951,0.000120563,7.48125e-005,4.17067e-005,2.54707e-005,1.51496e-005,1.02607e-005,7.3032e-006,3.86285e-006,2.56517e-006,2.02196e-006,1.20714e-006,9.35534e-007,7.24284e-007
0.626,8.38872e-006,3.63262e-006,1.53544e-006,6.74094e-007,2.99597e-007,0.00263881,0.00647954,0.00443913,0.0028009,0.00163449,0.000960921,0.000559048,0.000332628,0.000193465,0.000120064,7.26149e-005,4.17938e-005,2.56156e-005,1.67025e-005,1.116e-005,6.32899e-006,5.4302e-006,3.18322e-006,1.79758e-006,1.61034e-006,7.48993e-007
0.673,1.07352e-005,5.48378e-006,2.64894e-006,9.75926e-007,7.43563e-007,0.00350065,0.00894999,0.00618728,0.00382921,0.00226443,0.00133739,0.000792731,0.000471558,0.000281671,0.000173157,0.000100846,6.27381e-005,3.89906e-005,2.39334e-005,1.54754e-005,1.09211e-005,6.87796e-006,4.46138e-006,3.02072e-006,2.09127e-006,1.58007e-006
0.723,1.49941e-005,7.0357e-006,2.88349e-006,1.44174e-006,8.65046e-007,0.0041863,0.0109785,0.00768287,0.00465533,0.0027851,0.00164595,0.000984883,0.000592441,0.000352304,0.00021655,0.000134082,7.76811e-005,4.95383e-005,3.1949e-005,1.91463e-005,1.15916e-005,7.67007e-006,4.90193e-006,3.2295e-006,2.94116e-006,2.07611e-006
0.777,1.58873e-005,7.08489e-006,2.50476e-006,1.50285e-006,7.8721e-007,0.00481601,0.0126727,0.00890613,0.00537986,0.00320094,0.00189968,0.00113294,0.000688737,0.00041715,0.000250834,0.000156225,9.06722e-005,6.0973e-005,3.37785e-005,2.24713e-005,1.45992e-005,9.30339e-006,5.79673e-006,4.36544e-006,3.2204e-006,2.00381e-006
