Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220712\VL_CU_APS_CADR_oreck_SCAN3.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22,07/12/22
Start Time,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00,15:17:00,15:20:00,15:23:00,15:26:00,15:29:00,15:32:01,15:35:00,15:38:00,15:41:00,15:44:00,15:47:00,15:50:00,15:53:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,3.09729e-006,1.52602e-006,7.89747e-007,4.85365e-007,4.1544e-007,0.000949728,0.00233604,0.00159359,0.000949535,0.000539294,0.000314994,0.000190169,0.000111107,6.68652e-005,3.95861e-005,2.32646e-005,1.48078e-005,9.39058e-006,5.95189e-006,3.87469e-006,2.43505e-006,1.62063e-006,1.34504e-006,9.91297e-007,7.8152e-007,6.08763e-007,5.34724e-007
0.542,1.04572e-006,7.29573e-007,3.16149e-007,3.16149e-007,1.70234e-007,0.00103152,0.00235869,0.00156236,0.000934608,0.000511917,0.000297861,0.000176143,0.000102456,5.86091e-005,3.29281e-005,1.90905e-005,1.26946e-005,7.83076e-006,5.05838e-006,3.03989e-006,1.96985e-006,1.11868e-006,8.75488e-007,7.78212e-007,4.62063e-007,2.18872e-007,4.13425e-007
0.583,9.35534e-007,5.73392e-007,4.82856e-007,3.31964e-007,9.05355e-008,0.00175491,0.00418199,0.00279094,0.00165647,0.00092135,0.000547861,0.000328342,0.000186081,0.000114256,6.53968e-005,3.9564e-005,2.4173e-005,1.61455e-005,9.50623e-006,5.79427e-006,3.68178e-006,2.35392e-006,1.78053e-006,1.38821e-006,5.13035e-007,7.54463e-007,1.81071e-007
0.626,1.57289e-006,4.11946e-007,2.24698e-007,1.12349e-007,1.49799e-007,0.00256994,0.00632012,0.00428166,0.00254564,0.00146975,0.000857709,0.000519801,0.000306713,0.000182942,0.000107218,6.61735e-005,4.29173e-005,2.50538e-005,1.5242e-005,9.66201e-006,6.32899e-006,4.53141e-006,2.62148e-006,1.83503e-006,1.46054e-006,8.61342e-007,3.74497e-007
0.673,8.36508e-007,5.57672e-007,3.25309e-007,1.39418e-007,9.29454e-008,0.00332122,0.00838744,0.00580123,0.00344284,0.00205177,0.00118752,0.000723394,0.000424853,0.000260758,0.0001581,9.42931e-005,5.90668e-005,3.63881e-005,2.3004e-005,1.4546e-005,8.87628e-006,5.20494e-006,3.71781e-006,2.27716e-006,1.71949e-006,1.48713e-006,8.36508e-007
0.723,6.34367e-007,4.61358e-007,1.15339e-007,5.76697e-008,1.73009e-007,0.00389294,0.010094,0.00704199,0.00419051,0.00246751,0.00149013,0.000884942,0.000536905,0.000317818,0.000195904,0.000119549,7.23755e-005,4.52131e-005,2.91232e-005,1.77046e-005,1.03805e-005,6.40134e-006,4.67125e-006,2.71048e-006,2.30679e-006,1.73009e-006,1.15339e-006
0.777,3.57823e-007,2.14694e-007,7.15645e-008,7.15645e-008,7.15645e-008,0.00448752,0.011637,0.00811441,0.00479611,0.0028527,0.00174217,0.00101529,0.000618103,0.000361973,0.000215409,0.000132967,7.95082e-005,5.12402e-005,3.13453e-005,1.85352e-005,1.51001e-005,7.72897e-006,4.79482e-006,3.79292e-006,2.00381e-006,1.78911e-006,1.57442e-006
