Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220712\VL_CU_SMPS_CADR_oreck_SCAN1.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022
Start Time,11:25:00,11:28:01,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:24:59,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00
Sample Temp (C),20.3,20.5,20.7,20.9,21.0,21.2,21.3,21.5,21.6,21.7,21.8,21.9,22.0,22.1,22.2,22.3,22.3,22.4,22.5,22.5,22.6,22.7,22.8,22.8,22.9,22.9
Sample Pressure (kPa),81.7,81.7,81.7,81.6,81.7,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6,81.6
Relative Humidity (%),60.7,61.2,61.4,61.6,61.7,61.7,61.6,61.5,61.4,61.3,61.1,60.9,60.7,60.5,60.4,60.2,59.9,59.8,59.6,59.4,59.2,59.1,58.9,58.7,58.6,58.4
Mean Free Path (m),8.24786e-008,8.25502e-008,8.26217e-008,8.27947e-008,8.27291e-008,8.29022e-008,8.29381e-008,8.30098e-008,8.30456e-008,8.30815e-008,8.31173e-008,8.31532e-008,8.31890e-008,8.32249e-008,8.32607e-008,8.32966e-008,8.32966e-008,8.33325e-008,8.33683e-008,8.33683e-008,8.34042e-008,8.34401e-008,8.34759e-008,8.34759e-008,8.35118e-008,8.35118e-008
Gas Viscosity (Pa*s),1.81953e-005,1.82049e-005,1.82145e-005,1.82241e-005,1.82289e-005,1.82384e-005,1.82432e-005,1.82528e-005,1.82576e-005,1.82624e-005,1.82672e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82863e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
