Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220712\VL_CU_SMPS_CADR_oreck_SCAN3.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022,7/12/2022
Start Time,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:01,15:05:00,15:08:00,15:11:00,15:14:00,15:17:00,15:20:00,15:23:00,15:26:00,15:29:00,15:32:00,15:35:00,15:38:00,15:41:00,15:44:00,15:47:00,15:50:00,15:53:00
Sample Temp (C),23.6,23.7,23.8,23.8,23.9,23.9,24.0,24.0,24.0,24.0,24.0,24.1,24.1,24.1,24.1,24.1,24.2,24.2,24.2,24.2,24.2,24.3,24.3,24.3,24.3,24.3,24.3
Sample Pressure (kPa),81.5,81.5,81.5,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.3,81.3,81.4,81.3,81.3,81.3,81.3,81.3,81.4,81.3
Relative Humidity (%),50.5,50.3,50.2,50.2,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.0,50.0,50.0,50.0
Mean Free Path (m),8.38657e-008,8.39016e-008,8.39376e-008,8.40407e-008,8.40767e-008,8.40767e-008,8.41126e-008,8.41126e-008,8.41126e-008,8.41126e-008,8.41126e-008,8.41486e-008,8.41486e-008,8.41486e-008,8.41486e-008,8.41486e-008,8.41846e-008,8.42881e-008,8.42881e-008,8.41846e-008,8.42881e-008,8.43241e-008,8.43241e-008,8.43241e-008,8.43241e-008,8.42206e-008,8.43241e-008
Gas Viscosity (Pa*s),1.83531e-005,1.83579e-005,1.83627e-005,1.83627e-005,1.83674e-005,1.83674e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
