Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220706\VL_CU_APS_smokeEater_SCAN1.A21,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Time,155,,,,,,,,,,,,,,,,,,,,,,,,,
Density,1,,,,,,,,,,,,,,,,,,,,,,,,,
Stokes Correction,off,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Channel Bound,0.486968,,,,,,,,,,,,,,,,,,,,,,,,,
Upper Channel Bound,20.5353,,,,,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022
Start Time,9:55:00,9:58:00,10:01:00,10:04:00,10:07:01,10:10:01,10:13:00,10:16:00,10:19:00,10:22:00,10:25:00,10:28:00,10:31:00,10:34:00,10:37:00,10:40:00,10:43:00,10:46:01,10:49:00,10:52:00,10:55:00,10:58:00,11:01:00,11:04:00,11:07:00,11:10:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,4.53E-06,3.87E-06,3.09E-06,2.60E-06,2.12E-06,0.000964688,0.00313342,0.00314703,0.00246133,0.00191593,0.00141089,0.00104135,0.000770073,0.000562489,0.000412005,0.000298755,0.000219134,0.000181111,0.000131168,0.000100269,7.57E-05,5.77E-05,4.56E-05,3.55E-05,2.70E-05,2.14E-05
0.542,2.55E-06,2.29E-06,1.80E-06,1.75E-06,1.24E-06,0.00106858,0.00322836,0.00313349,0.00241041,0.0018529,0.00131924,0.000935143,0.00068434,0.000485118,0.000352214,0.000251095,0.00017252,0.000171766,0.000117437,8.88E-05,6.55E-05,4.87E-05,3.75E-05,2.94E-05,2.23E-05,1.76E-05
0.583,3.32E-06,2.96E-06,1.87E-06,1.60E-06,1.54E-06,0.00182502,0.00572384,0.00558547,0.00431522,0.0033346,0.00241054,0.00174543,0.00129915,0.000939729,0.000677266,0.000487323,0.000351851,0.000308756,0.000221661,0.000170116,0.000127957,9.33E-05,7.40E-05,5.67E-05,4.23E-05,3.30E-05
0.626,3.63E-06,2.70E-06,1.69E-06,1.57E-06,1.24E-06,0.00266986,0.00863686,0.00847722,0.00664997,0.0051545,0.00381069,0.00283408,0.00209033,0.00154517,0.00112405,0.000821496,0.000598633,0.000495871,0.000363748,0.000278139,0.0002047,0.000158225,0.000122797,9.55E-05,7.40E-05,5.64E-05
0.673,2.88E-06,2.37E-06,1.86E-06,1.35E-06,9.76E-07,0.00342169,0.0113845,0.0113157,0.00899158,0.00699261,0.00526312,0.00398652,0.00295919,0.00219416,0.00161098,0.00117822,0.000879077,0.000700762,0.000515661,0.000393624,0.000294869,0.000231248,0.000178223,0.000136816,0.000106097,8.54E-05
0.723,1.90E-06,1.04E-06,1.38E-06,9.80E-07,9.23E-07,0.00399392,0.0134183,0.0135334,0.0107741,0.00848973,0.00646033,0.00489327,0.00366024,0.00270142,0.00197478,0.00147283,0.00111747,0.000835115,0.000634943,0.000488808,0.000367241,0.000280044,0.00021926,0.000173297,0.000131083,0.000101556
0.777,1.36E-06,1.36E-06,7.87E-07,2.86E-07,4.29E-07,0.00453834,0.0153132,0.0154989,0.0123711,0.00964804,0.007334,0.0055957,0.00417693,0.0030845,0.00228133,0.00167847,0.00124086,0.000940787,0.000707558,0.000541314,0.000408705,0.00031195,0.000242461,0.000183491,0.000149355,0.000116078
0.835,9.77E-07,3.55E-07,7.99E-07,5.33E-07,7.10E-07,0.00507213,0.0170043,0.0171979,0.0136958,0.010553,0.00793279,0.00605682,0.00447588,0.00330984,0.00240596,0.00178041,0.0013179,0.000994906,0.00073186,0.000541635,0.000432047,0.000323968,0.000245374,0.00018836,0.00014893,0.000113496
0.898,1.32E-06,6.61E-07,5.51E-07,5.51E-07,7.71E-07,0.00564146,0.0189044,0.0189843,0.0149303,0.0114856,0.00870072,0.00648088,0.00478176,0.00348443,0.00254241,0.00185341,0.00139893,0.00103294,0.000762943,0.000569976,0.000429465,0.000331494,0.000251376,0.000187127,0.000150318,0.000115825
0.965,9.57E-07,4.10E-07,0,5.47E-07,2.74E-07,0.00620874,0.0209302,0.0208837,0.0162643,0.0124191,0.00928111,0.00691495,0.00503906,0.00368736,0.00267331,0.00194618,0.00144606,0.00105685,0.000797016,0.000587779,0.000443091,0.000348866,0.000261205,0.000201169,0.00015303,0.00012144
1.037,8.49E-07,1.19E-06,8.49E-07,8.49E-07,0,0.00689686,0.0230234,0.0228131,0.0177117,0.0133744,0.00987147,0.00734964,0.00531435,0.00382925,0.00279523,0.00203495,0.00148951,0.00107645,0.000808989,0.00061213,0.000451928,0.000348067,0.000246074,0.000194992,0.000144759,0.000112006
1.114,8.42E-07,8.42E-07,2.11E-07,4.21E-07,6.32E-07,0.00754056,0.0251617,0.0245924,0.0188826,0.0140964,0.0103598,0.00768124,0.00548115,0.00399541,0.00283608,0.00204677,0.00148259,0.00109025,0.000788678,0.000588191,0.000445619,0.000335688,0.000238815,0.000176268,0.000133938,9.92E-05
1.197,1.31E-06,7.84E-07,2.61E-07,2.61E-07,5.23E-07,0.00832117,0.0275826,0.0268514,0.0203146,0.0149881,0.0109026,0.00803083,0.00569658,0.00404599,0.00290866,0.00207788,0.00148804,0.00108506,0.000781392,0.000556382,0.000405331,0.000310989,0.000232327,0.000171697,0.000131974,0.000104011
1.286,3.24E-07,1.30E-06,9.73E-07,3.24E-07,3.24E-07,0.00927727,0.0304946,0.0295337,0.0216442,0.0159287,0.0113609,0.00835074,0.00591006,0.00412186,0.00286033,0.00200839,0.00147005,0.00101668,0.000757891,0.000539312,0.00039435,0.000276628,0.000203337,0.000147557,0.000104749,8.89E-05
1.382,4.02E-07,1.21E-06,4.02E-07,1.21E-06,4.02E-07,0.0105068,0.0353766,0.0332558,0.0241748,0.0174811,0.0122848,0.0087027,0.00608404,0.0043427,0.00296395,0.00201943,0.0014206,0.00104151,0.000697423,0.000486546,0.00035334,0.000244279,0.000180694,0.000135219,8.93E-05,6.40E-05
1.486,1.50E-06,0,0,4.99E-07,9.99E-07,0.0128091,0.0418062,0.0383204,0.0271473,0.0191055,0.013282,0.00932678,0.00644474,0.00447511,0.00293497,0.00202956,0.00139582,0.000991807,0.000707648,0.000499898,0.000318617,0.000242708,0.000186276,0.000130343,9.04E-05,6.99E-05
1.596,6.20E-07,0,0,6.20E-07,0,0.0158023,0.0503494,0.0449398,0.0302419,0.0208066,0.014147,0.00965901,0.00667442,0.00453761,0.00301309,0.00207731,0.00141359,0.000970487,0.000638935,0.000472229,0.000317918,0.000231157,0.000154311,0.000116508,8.80E-05,5.08E-05
1.715,0,7.69E-07,7.69E-07,7.69E-07,7.69E-07,0.0182177,0.0581608,0.0496737,0.0329356,0.0219606,0.0146586,0.010049,0.00657451,0.0045827,0.00287389,0.00194105,0.00135735,0.000910541,0.000629842,0.000437583,0.000279161,0.000189952,0.000132275,8.54E-05,6.84E-05,3.54E-05
1.843,0,0,0,9.54E-07,0,0.0192068,0.0619187,0.0517895,0.033307,0.0221843,0.0143598,0.00981813,0.00649516,0.00431166,0.00275896,0.00178364,0.001212,0.000833129,0.000583095,0.000396046,0.000257669,0.000181322,0.000125971,9.07E-05,5.63E-05,5.06E-05
1.981,0,2.37E-06,0,0,1.18E-06,0.0189115,0.0621738,0.0526594,0.0336425,0.0221279,0.0142479,0.00960555,0.00613566,0.00397794,0.0026409,0.00168994,0.00115466,0.000774507,0.000432256,0.000376595,0.000197772,0.00016106,0.000105399,7.58E-05,5.21E-05,4.03E-05
2.129,0,1.47E-06,1.47E-06,0,0,0.0201144,0.0652353,0.0559607,0.0345149,0.0225862,0.0142154,0.00939659,0.00587691,0.00376363,0.00243365,0.00154748,0.00107721,0.000648092,0.000465862,0.000302737,0.000173412,9.99E-05,8.67E-05,7.05E-05,2.50E-05,2.06E-05
2.288,0,1.82E-06,0,0,0,0.0244719,0.0771233,0.0599606,0.0348541,0.0209942,0.0128806,0.00831049,0.00499505,0.00318596,0.00194222,0.00124922,0.000796946,0.000506982,0.000306378,0.00017872,0.000107597,7.29E-05,6.75E-05,2.55E-05,2.19E-05,1.64E-05
2.458,0,0,0,0,0,0.0300626,0.0926817,0.0655883,0.0351477,0.0202228,0.0120871,0.00789585,0.00440846,0.00270889,0.00137142,0.000986698,0.000599713,0.000314567,0.000185572,0.000124469,8.37E-05,4.53E-05,2.94E-05,2.94E-05,1.36E-05,2.26E-06
2.642,0,2.81E-06,0,0,0,0.0300238,0.0919362,0.0613957,0.0314645,0.018007,0.00993867,0.0059677,0.00339246,0.00191528,0.00118511,0.000553241,0.000412824,0.000193775,0.000120758,0.0001011,5.62E-05,8.42E-06,1.69E-05,1.40E-05,5.62E-06,5.62E-06
2.839,0,0,0,3.48E-06,0,0.0224118,0.0700651,0.0487302,0.0246038,0.0136541,0.00780631,0.00440847,0.00255099,0.00164142,0.000731842,0.000372891,0.000230007,0.000125459,9.41E-05,4.53E-05,1.39E-05,1.74E-05,3.48E-06,3.48E-06,6.97E-06,0
