Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220706\VL_CU_APS_smokeEater_SCAN2.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22
Start Time,11:25:00,11:28:00,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,3.25359e-006,2.9451e-006,2.76823e-006,2.2006e-006,2.18826e-006,0.0009063,0.00263493,0.00219421,0.00187142,0.00142151,0.00100042,0.00074012,0.000530229,0.000393022,0.000286551,0.000210056,0.000155642,0.000114246,8.71189e-005,6.5549e-005,5.00173e-005,3.84508e-005,2.99363e-005,2.31494e-005,1.79297e-005,1.45239e-005,1.10688e-005
0.542,2.21304e-006,1.96985e-006,1.70234e-006,1.60506e-006,1.6537e-006,0.000981982,0.00268714,0.00215596,0.00195528,0.00147778,0.00100847,0.000734486,0.000521986,0.000370234,0.000271304,0.000195793,0.000141975,0.00010377,7.85751e-005,5.96062e-005,4.58415e-005,3.38765e-005,2.66538e-005,2.03551e-005,1.51265e-005,1.23055e-005,1.07004e-005
0.583,2.62553e-006,2.17285e-006,2.1125e-006,1.81071e-006,1.84089e-006,0.00172838,0.00480288,0.00390495,0.00330762,0.00247536,0.00175011,0.00128352,0.000917789,0.000670114,0.000493811,0.000357314,0.000260531,0.000193112,0.000145672,0.000112234,8.66123e-005,6.27713e-005,5.03076e-005,3.80249e-005,2.91826e-005,2.43842e-005,1.93142e-005
0.626,2.77127e-006,1.87248e-006,2.58403e-006,1.98483e-006,1.79758e-006,0.0025786,0.00730141,0.00600797,0.00491216,0.00368115,0.00266226,0.00195008,0.00142282,0.00103945,0.000764272,0.000567624,0.00042247,0.000311019,0.000234472,0.00017841,0.000136017,0.000104934,8.05542e-005,6.39266e-005,4.99953e-005,3.96592e-005,3.16075e-005
0.673,2.46305e-006,2.0448e-006,1.85891e-006,1.67302e-006,1.95185e-006,0.00334998,0.00972515,0.00808866,0.00644692,0.00490477,0.00355618,0.00263881,0.0019275,0.00142996,0.00106669,0.000792266,0.000580955,0.00042964,0.000332094,0.000248582,0.000190817,0.000145599,0.000117111,8.82052e-005,6.68277e-005,5.27e-005,4.28943e-005
0.723,2.13378e-006,1.49941e-006,1.49941e-006,1.3264e-006,1.26873e-006,0.00395539,0.0114839,0.00967184,0.00759118,0.00580053,0.0042671,0.00315822,0.00233482,0.00173078,0.00127998,0.000938228,0.000691748,0.000526236,0.000402304,0.000305073,0.000231486,0.000178545,0.00013685,0.000103632,8.16603e-005,6.2341e-005,5.08647e-005
0.777,1.2166e-006,1.35973e-006,1.28816e-006,5.00952e-007,1.07347e-006,0.00446269,0.0131595,0.0111352,0.00869767,0.00656383,0.00483733,0.00355991,0.00262363,0.00195421,0.00143759,0.00106832,0.000790215,0.00058275,0.000445346,0.000335924,0.000257561,0.000199164,0.000150429,0.000120228,8.86684e-005,6.9847e-005,5.15265e-005
