Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220706\VL_CU_APS_smokeEater_SCAN3.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22,07/06/22
Start Time,13:00:00,13:03:00,13:06:00,13:09:00,13:12:00,13:15:01,13:18:00,13:21:00,13:24:00,13:27:00,13:30:00,13:33:00,13:36:00,13:39:00,13:42:01,13:45:00,13:48:00,13:51:00,13:54:00,13:57:00,14:00:01,14:03:00,14:06:00,14:09:00,14:12:00,14:15:00,14:18:00,14:21:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,2.30343e-007,1.68644e-007,1.52191e-007,8.63785e-008,1.35738e-007,5.75857e-008,0.000856608,0.00248198,0.00211018,0.00158934,0.00117497,0.00088225,0.000656469,0.000479899,0.000358738,0.000289779,0.000212232,0.000158163,0.000117824,8.81843e-005,6.76879e-005,5.21562e-005,3.91706e-005,3.08042e-005,2.4548e-005,1.90238e-005,1.45445e-005,1.23316e-005
0.542,1.45915e-007,4.86382e-008,4.86382e-008,4.86382e-008,0,1.21596e-007,0.00096705,0.00266178,0.00217092,0.00161887,0.00117031,0.000862088,0.000632151,0.000458464,0.000341708,0.000293799,0.000215103,0.000158439,0.000118531,9.0613e-005,6.86529e-005,5.40857e-005,3.97374e-005,3.05691e-005,2.47569e-005,1.90662e-005,1.52238e-005,1.20136e-005
0.583,6.0357e-008,1.20714e-007,0,9.05355e-008,3.01785e-008,1.50893e-007,0.00157915,0.00446419,0.00371078,0.00278038,0.00204453,0.00152752,0.00113034,0.00082339,0.000609153,0.000511828,0.00037367,0.000280811,0.000210978,0.000159614,0.000122525,9.32214e-005,7.3032e-005,5.58001e-005,4.45737e-005,3.25023e-005,2.55612e-005,2.02196e-005
0.626,2.24698e-007,1.12349e-007,3.74497e-008,0,3.74497e-008,3.74497e-008,0.00225114,0.00646216,0.00548282,0.00417639,0.00310379,0.00233293,0.00174291,0.00127745,0.00095976,0.000768729,0.000568561,0.000424155,0.000318247,0.000248441,0.000185638,0.000142721,0.000110851,8.36625e-005,6.38891e-005,5.23546e-005,4.19062e-005,3.18697e-005
0.673,4.18254e-007,1.85891e-007,4.64727e-008,0,4.64727e-008,4.64727e-008,0.00281741,0.00828929,0.00719453,0.00549842,0.00415601,0.003135,0.00235765,0.00174835,0.00131769,0.00101603,0.000741797,0.000570592,0.000435496,0.000326471,0.000246073,0.000191839,0.000150293,0.000113347,9.06682e-005,7.04991e-005,5.30718e-005,4.22437e-005
0.723,2.30679e-007,1.15339e-007,2.30679e-007,0,5.76697e-008,0,0.00326295,0.00977236,0.00851522,0.00654932,0.00496882,0.00374836,0.002846,0.00214064,0.00160483,0.00119319,0.000890882,0.000677042,0.000501784,0.000379582,0.000287368,0.000222259,0.000170818,0.000138061,0.000102018,8.03916e-005,6.08415e-005,4.87886e-005
0.777,1.43129e-007,1.43129e-007,7.15645e-008,7.15645e-008,2.86258e-007,7.15645e-008,0.00377947,0.0111679,0.00973829,0.00743054,0.00564029,0.00430525,0.00323414,0.00238811,0.00179334,0.00134012,0.000989451,0.00075107,0.000556629,0.000412283,0.000318534,0.000241029,0.000188573,0.000145133,0.00011114,8.3158e-005,6.30483e-005,5.29577e-005
