Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220706\VL_CU_SMPS_smokeEater_SCAN1.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022
Start Time,09:55:00,09:58:00,10:01:00,10:04:00,10:07:00,10:10:00,10:13:00,10:16:00,10:19:00,10:22:00,10:25:00,10:28:00,10:31:00,10:34:00,10:37:00,10:40:00,10:43:00,10:46:00,10:49:00,10:52:00,10:55:00,10:58:00,11:01:00,11:04:00,11:07:00,11:10:00
Sample Temp (C),21.0,21.1,21.2,21.2,21.3,21.4,21.5,21.6,21.6,21.7,21.8,21.9,22.0,22.0,22.1,22.1,22.2,22.3,22.3,22.3,22.4,22.5,22.5,22.5,22.6,22.6
Sample Pressure (kPa),81.6,81.6,81.6,81.6,81.6,81.6,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5
Relative Humidity (%),62.7,62.7,62.5,62.3,62.1,61.9,61.6,61.4,61.2,60.9,60.7,60.5,60.2,60.0,59.7,59.5,59.3,59.1,58.8,58.6,58.4,58.2,58.0,57.9,57.7,57.5
Mean Free Path (m),8.28305e-008,8.28664e-008,8.29022e-008,8.29022e-008,8.29381e-008,8.29739e-008,8.31116e-008,8.31475e-008,8.31475e-008,8.31834e-008,8.32193e-008,8.32552e-008,8.32911e-008,8.32911e-008,8.33270e-008,8.33270e-008,8.33629e-008,8.33988e-008,8.33988e-008,8.33988e-008,8.34347e-008,8.34706e-008,8.34706e-008,8.34706e-008,8.35065e-008,8.35065e-008
Gas Viscosity (Pa*s),1.82289e-005,1.82337e-005,1.82384e-005,1.82384e-005,1.82432e-005,1.82480e-005,1.82528e-005,1.82576e-005,1.82576e-005,1.82624e-005,1.82672e-005,1.82719e-005,1.82767e-005,1.82767e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83054e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
