Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220706\VL_CU_SMPS_smokeEater_SCAN2.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022
Start Time,11:25:00,11:28:00,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00
Sample Temp (C),22.5,22.4,22.3,22.3,22.2,22.2,22.2,22.3,22.4,22.5,22.5,22.6,22.7,22.7,22.8,22.8,22.9,22.9,23.0,23.0,23.1,23.1,23.1,23.1,23.2,23.2,23.2
Sample Pressure (kPa),81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.4,81.4
Relative Humidity (%),56.6,56.5,56.5,56.7,56.9,57.1,57.3,57.5,57.6,57.7,57.8,57.8,57.7,57.6,57.5,57.4,57.2,57.1,56.9,56.8,56.6,56.4,56.3,56.2,56.0,55.9,55.8
Mean Free Path (m),8.34706e-008,8.34347e-008,8.33988e-008,8.33988e-008,8.33629e-008,8.33629e-008,8.33629e-008,8.33988e-008,8.34347e-008,8.34706e-008,8.34706e-008,8.35065e-008,8.35424e-008,8.35424e-008,8.35784e-008,8.35784e-008,8.36143e-008,8.36143e-008,8.36502e-008,8.36502e-008,8.36861e-008,8.36861e-008,8.36861e-008,8.36861e-008,8.37220e-008,8.38249e-008,8.38249e-008
Gas Viscosity (Pa*s),1.83006e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83340e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.8,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 17.5,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.8,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 19.5,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 20.2,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 20.9,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 21.7,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.007,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
