Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220706\VL_CU_SMPS_smokeEater_SCAN3.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022,7/6/2022
Start Time,13:00:00,13:03:00,13:06:00,13:09:00,13:12:00,13:15:00,13:18:00,13:21:00,13:24:00,13:27:00,13:30:00,13:33:00,13:36:00,13:39:00,13:41:59,13:45:00,13:48:00,13:51:00,13:54:00,13:57:00,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00,14:15:00,14:18:00,14:21:00
Sample Temp (C),23.1,23.1,23.2,23.2,23.3,23.3,23.4,23.4,23.4,23.4,23.4,23.5,23.5,23.6,23.6,23.6,23.6,23.7,23.6,23.7,23.7,23.7,23.8,23.8,23.8,23.8,23.8,23.8
Sample Pressure (kPa),81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4
Relative Humidity (%),55.8,55.9,55.9,55.9,55.9,55.9,55.8,55.8,55.7,55.6,55.6,55.5,55.4,55.3,55.1,55.0,54.9,54.7,54.6,54.5,54.4,54.3,54.2,54.1,54.0,53.9,53.8,53.7
Mean Free Path (m),8.37889e-008,8.37889e-008,8.38249e-008,8.38249e-008,8.38608e-008,8.38608e-008,8.38968e-008,8.38968e-008,8.38968e-008,8.38968e-008,8.38968e-008,8.39328e-008,8.39328e-008,8.39687e-008,8.39687e-008,8.39687e-008,8.39687e-008,8.40047e-008,8.39687e-008,8.40047e-008,8.40047e-008,8.40047e-008,8.40407e-008,8.40407e-008,8.40407e-008,8.40407e-008,8.40407e-008,8.40407e-008
Gas Viscosity (Pa*s),1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83484e-005,1.83484e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83579e-005,1.83531e-005,1.83579e-005,1.83579e-005,1.83579e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 16.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 17.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 18.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 19.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.005,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 20.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 20.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 21.7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.007,0.005,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 22.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.007,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 23.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.008,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 24.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.009,0.006,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.010,0.007,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 25.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.011,0.008,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.013,0.009,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 27.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.014,0.010,0.007,0.005,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.016,0.011,0.008,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.017,0.012,0.009,0.006,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 31.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.019,0.014,0.010,0.007,0.005,0.003,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 32.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.022,0.016,0.011,0.008,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 33.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.024,0.017,0.012,0.009,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 34.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.027,0.019,0.013,0.009,0.006,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 35.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.029,0.021,0.014,0.010,0.007,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 37.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.035,0.033,0.023,0.016,0.011,0.008,0.005,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 38.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.035,0.026,0.018,0.013,0.009,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 40.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.043,0.041,0.028,0.020,0.014,0.010,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 41.4,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.049,0.045,0.032,0.022,0.015,0.011,0.007,0.005,0.003,0.003,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 42.9,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.053,0.050,0.035,0.024,0.017,0.012,0.008,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 44.5,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.059,0.055,0.039,0.027,0.019,0.013,0.009,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 46.1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.066,0.061,0.044,0.030,0.021,0.015,0.010,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 47.8,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.072,0.067,0.048,0.034,0.023,0.016,0.012,0.008,0.006,0.004,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 49.6,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.080,0.075,0.053,0.036,0.026,0.018,0.013,0.009,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 51.4,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.090,0.081,0.058,0.041,0.029,0.021,0.014,0.009,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000
 53.3,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.099,0.090,0.064,0.045,0.031,0.023,0.015,0.011,0.008,0.006,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000
 55.2,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.107,0.099,0.069,0.050,0.036,0.023,0.017,0.012,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000
 57.3,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.117,0.109,0.076,0.056,0.039,0.027,0.019,0.014,0.010,0.007,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000
 59.4,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.130,0.119,0.086,0.062,0.042,0.030,0.022,0.015,0.010,0.007,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000
 61.5,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.140,0.131,0.094,0.068,0.047,0.034,0.023,0.016,0.012,0.008,0.005,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.000,0.000
 63.8,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.154,0.143,0.104,0.074,0.052,0.038,0.026,0.019,0.013,0.009,0.007,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000
 66.1,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.169,0.155,0.113,0.081,0.059,0.041,0.029,0.021,0.014,0.010,0.008,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000
 68.5,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.187,0.169,0.124,0.090,0.061,0.046,0.033,0.022,0.016,0.011,0.008,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.000
 71.0,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.200,0.182,0.131,0.097,0.070,0.051,0.033,0.025,0.019,0.012,0.009,0.006,0.005,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.001
 73.7,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.211,0.197,0.144,0.104,0.076,0.055,0.038,0.027,0.019,0.013,0.008,0.007,0.005,0.004,0.002,0.002,0.002,0.001,0.001,0.001,0.001
 76.4,0.000,0.000,0.000,0.000,0.000,0.000,0.034,0.234,0.215,0.155,0.115,0.083,0.059,0.042,0.030,0.021,0.016,0.011,0.009,0.006,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000
 79.1,0.000,0.000,0.000,0.000,0.000,0.000,0.037,0.260,0.238,0.174,0.127,0.092,0.067,0.047,0.033,0.024,0.016,0.012,0.009,0.006,0.005,0.004,0.002,0.002,0.001,0.001,0.001,0.001
 82.0,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.281,0.251,0.184,0.138,0.100,0.071,0.051,0.038,0.027,0.018,0.013,0.011,0.007,0.004,0.004,0.003,0.002,0.001,0.001,0.001,0.001
