Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
08/06/2022 1:36:51 PM,"712","22.1","41","841"
08/06/2022 1:41:51 PM,"394","22.6","33","841"
08/06/2022 1:46:51 PM,"388","22.3","33","841"
08/06/2022 1:51:51 PM,"364","22.2","34","841"
08/06/2022 1:56:51 PM,"396","22.1","33","841"
08/06/2022 2:01:51 PM,"404","22.1","33","841"
08/06/2022 2:06:51 PM,"385","22.3","33","841"
08/06/2022 2:11:51 PM,"391","22.2","33","840"
08/06/2022 2:16:51 PM,"384","22.2","33","840"
08/06/2022 2:21:51 PM,"391","22.2","33","840"
08/06/2022 2:26:51 PM,"394","22.1","33","840"
08/06/2022 2:31:51 PM,"379","22.1","34","840"
08/06/2022 2:36:51 PM,"383","22.1","34","840"
08/06/2022 2:41:51 PM,"385","22.0","34","840"
08/06/2022 2:46:51 PM,"377","22.1","34","840"
08/06/2022 2:51:51 PM,"361","22.1","34","840"
08/06/2022 2:56:51 PM,"370","22.0","34","840"
08/06/2022 3:01:51 PM,"367","22.0","34","840"
08/06/2022 3:06:51 PM,"378","22.0","35","840"
08/06/2022 3:11:51 PM,"367","22.0","35","840"
08/06/2022 3:16:51 PM,"359","22.0","35","840"
08/06/2022 3:21:51 PM,"373","22.0","35","840"
08/06/2022 3:26:51 PM,"367","22.0","35","840"
08/06/2022 3:31:51 PM,"384","22.1","35","840"
08/06/2022 3:36:51 PM,"414","22.1","35","840"
08/06/2022 3:41:51 PM,"383","22.1","35","840"
08/06/2022 3:46:51 PM,"375","22.0","35","840"
08/06/2022 3:51:51 PM,"370","22.0","35","839"
08/06/2022 3:56:51 PM,"368","22.0","35","840"
08/06/2022 4:01:51 PM,"370","22.0","35","839"
08/06/2022 4:06:51 PM,"356","22.0","35","839"
08/06/2022 4:11:51 PM,"347","22.0","35","839"
08/06/2022 4:16:51 PM,"352","22.0","35","839"
08/06/2022 4:21:51 PM,"325","22.0","35","839"
08/06/2022 4:26:51 PM,"343","21.9","35","839"
08/06/2022 4:31:51 PM,"343","21.9","35","839"
08/06/2022 4:36:51 PM,"333","21.9","35","839"
08/06/2022 4:41:51 PM,"332","21.9","35","839"
08/06/2022 4:46:51 PM,"342","21.8","35","839"
08/06/2022 4:51:51 PM,"340","21.8","35","839"
08/06/2022 4:56:51 PM,"334","21.8","35","839"
08/06/2022 5:01:51 PM,"339","21.8","36","839"
08/06/2022 5:06:51 PM,"340","21.8","36","839"
08/06/2022 5:11:51 PM,"333","21.8","36","839"
08/06/2022 5:16:51 PM,"342","21.7","36","839"
08/06/2022 5:21:51 PM,"338","21.7","36","839"
08/06/2022 5:26:51 PM,"345","21.7","36","839"
08/06/2022 5:31:51 PM,"342","21.6","35","839"
08/06/2022 5:36:51 PM,"331","21.6","35","839"
08/06/2022 5:41:51 PM,"328","21.5","35","839"
08/06/2022 5:46:51 PM,"325","21.5","35","839"
08/06/2022 5:51:51 PM,"351","21.4","35","839"
08/06/2022 5:56:51 PM,"335","21.4","35","839"
08/06/2022 6:01:51 PM,"334","21.4","35","839"
08/06/2022 6:06:51 PM,"338","21.4","35","839"
08/06/2022 6:11:51 PM,"332","21.4","35","839"
08/06/2022 6:16:51 PM,"325","21.4","35","839"
08/06/2022 6:21:51 PM,"334","21.3","35","839"
08/06/2022 6:26:51 PM,"328","21.3","35","839"
08/06/2022 6:31:51 PM,"331","21.3","35","839"
08/06/2022 6:36:51 PM,"331","21.3","35","839"
08/06/2022 6:41:51 PM,"332","21.3","35","839"
08/06/2022 6:46:51 PM,"336","21.3","35","839"
