Sample File,C:\Users\VanceLab\Desktop\VL_CU_APS_OPS_SMPS_PA_20220622\VL_CU_APS_Collocation_20220622.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Date,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22
Start Time,13:25:00,13:28:00,13:31:01,13:34:00,13:37:01,13:40:00,13:43:00,13:46:00,13:49:00,13:52:00,13:55:00,13:58:00,14:01:00,14:04:00,14:07:00,14:10:00,14:13:00,14:16:00,14:19:00,14:22:00,14:25:00,14:28:01,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:01,15:40:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,5.36781e-006,4.5575e-006,4.20787e-006,4.00632e-006,4.26545e-006,3.93228e-006,4.22021e-006,3.88292e-006,4.05979e-006,3.96519e-006,3.91171e-006,4.10915e-006,4.16262e-006,2.84638e-006,1.3327e-006,6.78689e-007,2.59136e-007,2.2623e-007,1.48078e-007,1.48078e-007,0.00104277,0.00397071,0.00623812,0.00629921,0.00599794,0.00581527,0.00365356,0.00164682,0.000733428,0.000316549,0.000148053,6.63058e-005,0.00011351,0.00237534,0.00499575,0.00671592,0.00654686,0.00637723,0.00604715,0.00335232,0.00151099,0.00067794,0.00030599,0.000141825,6.65608e-005,3.07631e-005
0.542,1.79961e-006,1.48347e-006,1.38619e-006,1.143e-006,1.04572e-006,1.36187e-006,1.11868e-006,9.24126e-007,1.19164e-006,9.97084e-007,9.72765e-007,9.48446e-007,1.38619e-006,8.75488e-007,3.16149e-007,2.43191e-007,0,2.43191e-008,2.43191e-008,0,0.000681543,0.0025859,0.004079,0.00408423,0.00394529,0.00381997,0.00241681,0.00106865,0.000492146,0.000209923,9.35556e-005,4.16586e-005,7.28358e-005,0.00153505,0.00326338,0.00444315,0.00432486,0.00417506,0.00400429,0.00220686,0.000977337,0.00045056,0.000202505,9.28747e-005,4.39203e-005,1.99174e-005
0.583,1.93142e-006,1.35803e-006,1.50893e-006,1.78053e-006,1.08643e-006,1.35803e-006,1.17696e-006,1.29768e-006,1.38821e-006,1.23732e-006,1.20714e-006,1.02607e-006,1.38821e-006,8.75177e-007,3.01785e-007,9.05355e-008,2.1125e-007,6.0357e-008,3.01785e-008,0,0.000803442,0.00305941,0.00488521,0.00480692,0.00473631,0.00455629,0.00286907,0.00126282,0.000580846,0.000252473,0.000115101,4.96135e-005,9.3825e-005,0.00179671,0.00386493,0.00528486,0.00518005,0.00498268,0.0047698,0.00259647,0.00116824,0.000526675,0.000237384,0.000107707,5.11526e-005,2.42333e-005
0.626,1.68523e-006,1.72268e-006,1.61034e-006,1.46054e-006,1.57289e-006,1.61034e-006,1.53544e-006,1.34819e-006,1.42309e-006,1.04859e-006,1.34819e-006,1.19839e-006,1.19839e-006,9.73691e-007,3.74497e-007,3.37047e-007,1.12349e-007,0,3.74497e-008,1.12349e-007,0.0008925,0.0033783,0.00540339,0.00534234,0.00525119,0.00506301,0.00315566,0.00139927,0.000633611,0.000277876,0.000120363,5.45267e-005,0.000100964,0.00201985,0.00431487,0.00590952,0.00579451,0.00556176,0.00535066,0.00288767,0.00128231,0.000580769,0.000271585,0.000119202,5.45267e-005,2.55032e-005
0.673,1.99833e-006,2.32363e-006,1.85891e-006,2.18422e-006,1.95185e-006,1.99833e-006,1.58007e-006,1.58007e-006,1.39418e-006,1.44065e-006,1.99833e-006,1.67302e-006,1.30124e-006,1.20829e-006,5.112e-007,2.78836e-007,1.39418e-007,0,4.64727e-008,9.29454e-008,0.000937865,0.00356878,0.00568872,0.00566414,0.00552161,0.00530634,0.00332001,0.00145511,0.000655915,0.000282693,0.000123013,5.59531e-005,0.00011028,0.00213393,0.00460767,0.00629974,0.00619797,0.00593507,0.00567613,0.00306552,0.00134176,0.000607816,0.000279068,0.000125151,5.29789e-005,2.37475e-005
0.723,3.28717e-006,2.82582e-006,2.4798e-006,2.30679e-006,2.01844e-006,1.9031e-006,1.61475e-006,1.55708e-006,1.49941e-006,1.49941e-006,1.61475e-006,2.65281e-006,2.01844e-006,1.49941e-006,5.76697e-007,3.46018e-007,1.15339e-007,1.15339e-007,1.15339e-007,5.76697e-008,0.000954491,0.00363665,0.00584015,0.00575371,0.00565054,0.00544604,0.00340574,0.00146193,0.000667123,0.000286042,0.000126412,5.76697e-005,0.000111822,0.00221411,0.00479414,0.00651991,0.00640468,0.00614252,0.00587441,0.00314179,0.00139728,0.000624851,0.00027768,0.000124163,5.692e-005,2.62397e-005
0.777,3.4351e-006,3.14884e-006,2.79102e-006,2.07537e-006,2.79102e-006,2.86258e-006,2.29006e-006,1.86068e-006,2.43319e-006,1.78911e-006,2.50476e-006,2.2185e-006,1.78911e-006,1.2166e-006,8.58774e-007,1.43129e-007,1.43129e-007,7.15645e-008,0,7.15645e-008,0.00100119,0.00384552,0.00608084,0.00597564,0.00583881,0.00560135,0.00347889,0.00152203,0.000675211,0.000300356,0.00012581,5.38881e-005,0.000118296,0.00236206,0.00505661,0.00685474,0.00672885,0.00644045,0.00610574,0.00327572,0.00144868,0.000644725,0.000279817,0.000130677,5.86829e-005,2.69798e-005
