Sample File,C:\Users\VanceLab\Desktop\VL_CU_APS_OPS_SMPS_PA_20220622\VL_CU_APS_Collocation_20220622.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Date,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22,06/22/22
Start Time,13:25:00,13:28:00,13:31:01,13:34:00,13:37:01,13:40:00,13:43:00,13:46:00,13:49:00,13:52:00,13:55:00,13:58:00,14:01:00,14:04:00,14:07:00,14:10:00,14:13:00,14:16:00,14:19:00,14:22:00,14:25:00,14:28:01,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:01,15:40:00
Aerodynamic Diameter,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp
<0.523,2.0206,1.71558,1.58397,1.5081,1.60565,1.48023,1.58861,1.46165,1.52823,1.49262,1.47249,1.54681,1.56694,1.07146,0.501667,0.255479,0.0975464,0.0851596,0.0557408,0.0557408,392.532,1494.69,2348.22,2371.21,2257.81,2189.04,1375.31,619.914,276.084,119.158,55.7315,24.9595,42.7284,894.149,1880.55,2528.08,2464.43,2400.58,2276.33,1261.91,568.782,255.197,115.184,53.3873,25.0555,11.5802
0.542,0.916627,0.755598,0.70605,0.582182,0.532635,0.693664,0.569795,0.4707,0.606956,0.507861,0.495474,0.483087,0.70605,0.445927,0.161029,0.123868,0,0.0123868,0.0123868,0,347.141,1317.12,2077.62,2080.28,2009.52,1945.69,1230.99,544.315,250.673,106.923,47.6522,21.2187,37.0986,781.87,1662.19,2263.1,2202.85,2126.55,2039.57,1124.06,497.803,229.491,103.145,47.3054,22.3706,10.1448
0.583,0.792758,0.557408,0.619342,0.730824,0.445927,0.557408,0.483087,0.532635,0.569795,0.507861,0.495474,0.421153,0.569795,0.359219,0.123868,0.0371605,0.0867079,0.0247737,0.0123868,0,329.775,1255.74,2005.15,1973.01,1944.03,1870.14,1177.62,518.328,238.41,103.628,47.2434,20.364,38.5107,737.463,1586.37,2169.19,2126.17,2045.16,1957.78,1065.73,479.507,216.175,97.435,44.2087,20.9957,9.94664
0.626,0.557408,0.569795,0.532635,0.483087,0.520248,0.532635,0.507861,0.445927,0.4707,0.346832,0.445927,0.396379,0.396379,0.322058,0.123868,0.111482,0.0371605,0,0.0123868,0.0371605,295.203,1117.41,1787.22,1767.03,1736.88,1674.64,1043.77,462.822,209.573,91.9104,39.8113,18.0353,33.3949,668.085,1427.19,1954.63,1916.59,1839.61,1769.78,955.125,424.138,192.095,89.8294,39.4273,18.0353,8.43544
0.673,0.532635,0.619342,0.495474,0.582182,0.520248,0.532635,0.421153,0.421153,0.371605,0.383992,0.532635,0.445927,0.346832,0.322058,0.136255,0.0743211,0.0371605,0,0.0123868,0.0247737,249.979,951.223,1516.27,1509.72,1471.73,1414.36,884.917,387.845,174.828,75.3492,32.788,14.9138,29.394,568.779,1228.13,1679.14,1652.01,1581.94,1512.92,817.086,357.633,162.008,74.383,33.3578,14.121,6.32968
0.723,0.70605,0.606956,0.532635,0.495474,0.43354,0.408766,0.346832,0.334445,0.322058,0.322058,0.346832,0.569795,0.43354,0.322058,0.123868,0.0743211,0.0247737,0.0247737,0.0247737,0.0123868,205.015,781.115,1254.4,1235.84,1213.68,1169.75,731.518,314.007,143.291,61.4388,27.152,12.3868,24.0181,475.568,1029.73,1400.41,1375.66,1319.35,1261.76,674.823,300.121,134.212,59.6427,26.6689,12.2258,5.63602
0.777,0.594569,0.545021,0.483087,0.359219,0.483087,0.495474,0.396379,0.322058,0.421153,0.309671,0.43354,0.383992,0.309671,0.210576,0.148642,0.0247737,0.0247737,0.0123868,0,0.0123868,173.292,665.607,1052.51,1034.3,1010.62,969.519,602.15,263.444,116.87,51.9876,21.7761,9.3273,20.4755,408.84,875.23,1186.46,1164.67,1114.75,1056.82,566.983,250.747,111.593,48.4326,22.6184,10.1572,4.66984
