Sample File	C:\Users\VanceLab\Desktop\VL_CU_APS_OPS_SMPS_PA_20220622\APS_Calibration_06_22_2022.A21
Sample Time	55
Density	1
Stokes Correction	off
Lower Channel Bound	0.486968
Upper Channel Bound	20.5353
Sample #	1	2	3	4	5	6
Date	06/22/22	06/22/22	06/22/22	06/22/22	06/22/22	06/22/22
Start Time	11:26:58	11:31:29	11:32:35	12:25:46	12:27:27	12:28:25
Aerodynamic Diameter	dM	dM	dM	dM	dM	dM
<0.523	8.17369e-006	0.00121068	0.00117769	0.00153369	0.00139748	0.00134689
0.542	2.18834e-006	0.00183839	0.00157633	0.00158627	0.00172851	0.00171803
0.583	1.8104e-006	0.00122134	0.00107017	0.00121251	0.00129477	0.00127859
0.626	2.52741e-006	0.000934581	0.000833624	0.000915906	0.00100507	0.000990605
0.673	2.09091e-006	0.000540499	0.000439439	0.000428984	0.000498507	0.000508439
0.723	3.02713e-006	0.000172547	0.000124977	0.000127788	0.000142491	0.000140113
0.777	5.63472e-006	4.58828e-005	3.13935e-005	5.17858e-005	5.71522e-005	5.23224e-005
0.835	2.66375e-006	2.59716e-005	1.89792e-005	3.36298e-005	3.96233e-005	3.2298e-005
0.898	2.89235e-006	1.73541e-005	1.03298e-005	2.52048e-005	3.30555e-005	2.89235e-005
0.965	5.12747e-006	1.07677e-005	1.02549e-005	1.89716e-005	2.56374e-005	2.05099e-005
1.037	3.81772e-006	1.20895e-005	8.27174e-006	1.97249e-005	2.16338e-005	1.59072e-005
1.114	3.15837e-006	9.47512e-006	4.73756e-006	1.7371e-005	1.89502e-005	1.42127e-005
1.197	0	1.1758e-005	4.89918e-006	1.1758e-005	1.46975e-005	1.56774e-005
1.286	2.43183e-006	1.09432e-005	1.21592e-006	1.94547e-005	1.82387e-005	1.4591e-005
1.382	4.52663e-006	4.67751e-005	4.22485e-005	0.000152396	0.000128254	0.000104112
1.486	7.48968e-006	0.000297715	0.000235925	0.000702158	0.000608537	0.000492447
1.596	6.97067e-006	0.00117572	0.00108278	0.00309498	0.00248156	0.00235376
1.715	8.65017e-006	0.00142728	0.000965936	0.00194052	0.00215101	0.00219426
1.843	3.57811e-006	0.000118078	8.94527e-005	8.94527e-005	0.00013239	8.94527e-005
1.981	8.88042e-006	2.66413e-005	8.88042e-006	1.33206e-005	3.99619e-005	8.88042e-006
2.129	0	2.20401e-005	2.20401e-005	2.20401e-005	2.20401e-005	1.65301e-005
2.288	0	2.05128e-005	2.73504e-005	0	2.73504e-005	1.36752e-005
2.458	2.54551e-005	2.54551e-005	3.39401e-005	0	3.39401e-005	8.48503e-006
2.642	1.05294e-005	2.10588e-005	1.05294e-005	1.05294e-005	0	3.15882e-005
2.839	0	0	1.30663e-005	1.30663e-005	1.30663e-005	0
3.051	1.62145e-005	0	4.86435e-005	1.62145e-005	0	8.10725e-005
3.278	0	2.01212e-005	4.02424e-005	6.03635e-005	2.01212e-005	8.04847e-005
3.523	0	2.49691e-005	9.98765e-005	0	4.99383e-005	2.49691e-005
3.786	3.09851e-005	3.09851e-005	3.09851e-005	6.19703e-005	0	3.09851e-005
4.068	3.84506e-005	0.000115352	0	3.84506e-005	7.69013e-005	3.84506e-005
4.371	0	4.77148e-005	0	4.77148e-005	4.77148e-005	9.54297e-005
4.698	5.92111e-005	0.000118422	5.92111e-005	0.000118422	0	0.000118422
5.048	0	0	7.34773e-005	7.34773e-005	7.34773e-005	0
5.425	0	0	0	9.11808e-005	0	0
5.829	0	0	0.00011315	0.00011315	0.000226299	0.00011315
6.264	0	0	0	0.000140412	0.000280823	0
6.732	0	0.000174242	0.000522727	0.000174242	0.000174242	0
7.234	0	0	0	0	0	0
7.774	0	0.00053664	0	0.00053664	0	0.00053664
8.354	0	0	0.000332969	0.000332969	0	0.000332969
8.977	0.000413193	0.000413193	0	0.000413193	0	0
9.647	0	0.000512747	0.000512747	0	0	0.000512747
10.37	0	0.000636287	0	0.000636287	0.000636287	0.000636287
11.14	0	0	0	0	0.000789593	0.000789593
11.97	0	0.00195967	0	0.000979836	0	0
12.86	0	0	0	0.00121592	0	0
13.82	0	0.00150888	0.00150888	0	0.00150888	0.00150888
14.86	0	0	0	0	0.00187242	0
15.96	0	0	0	0	0	0.00232356
17.15	0	0.00288339	0	0	0	0
18.43	0	0	0	0	0	0
19.81	0	0	0	0	0	0
Event 1	282	6990	6363	9310	10403	10416
Event 3	0	734	603	939	824	791
Event 4	2	22	13	31	24	21
Dead Time	1	465	433	531	505	489
Inlet Pressure	828.8	949.8	945.7	1008.1	1005.4	1001.9
Total Flow	4.97	4.97	4.97	4.98	4.98	4.97
Sheath Flow	3.99	3.96	3.95	3.97	4.01	3.96
Analog Input Voltage 0	0	0	0	0	0	0
Analog Input Voltage 1	0	0	0	0	0	0
Digital Input Level 0	0	0	0	0	0	0
Digital Input Level 1	0	0	0	0	0	0
Digital Input Level 2	0	0	0	0	0	0
Laser Power	75	75	75	75	75	75
Laser Current	41	41.2	41.3	42	42	42
Sheath Pump Voltage	2.586	3.129	3.113	3.409	3.388	3.342
Total Pump Voltage	3.141	2.92	2.929	2.801	2.8	2.815
Box Temperature	29.6	30.1	30.2	30.9	30.8	31.1
Avalanch Photo Diode Temperature	24.6	25.1	25.1	27.5	27.5	27.5
Avalanch Photo Diode Voltage	229	229	229	231	231	231
Status Flags	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000	0000 0000 0000 0000
Median(µm)	8.78641	6.82441	1.60378	1.63212	1.6576	1.70673
Mean(µm)	6.70227	7.29418	4.08263	3.99447	5.01522	5.72476
Geo. Mean(µm)	5.61658	3.5678	1.94134	2.15316	2.41228	2.78182
Mode(µm)	8.97687	17.1544	0.542469	1.59634	1.59634	1.59634
Geo. Std. Dev.	2.01098	3.95638	3.38791	3.04726	3.45763	3.5935
Total Conc.(mg/m³)	0.000679679	0.0182262	0.0111874	0.017092	0.0176906	0.0187139
