Sample File,C:\Users\VanceLab\Desktop\VL_CU_APS_OPS_SMPS_PA_20220622\VL_CU_OPS_Collocation_20220622.O30
Instrument Model,3330
Instrument Serial Number,3330170702
Sample Length (s),155
Alarm Set,No
Dead Time Correction Applied,Yes
Units,Concentration (dW)
Weight,Mass
Refractive Index Applied,No

Sample #,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,
Date,,,,,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,06/22/2022,
Start Time,,,,,13:25:00,13:28:00,13:31:00,13:34:00,13:37:00,13:40:00,13:43:00,13:46:00,13:49:00,13:52:00,13:55:00,13:58:00,14:01:00,14:04:00,14:07:00,14:10:00,14:13:00,14:16:00,14:19:00,14:22:00,14:25:00,14:28:00,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:01,15:16:01,15:19:01,15:22:01,15:25:01,15:28:01,15:31:01,15:34:01,15:37:01,15:40:01,
Temp.(C),,,,,30.372,30.525,30.678,30.830,30.952,31.074,31.166,31.258,31.319,31.441,31.502,31.563,31.593,31.593,31.624,31.654,31.685,31.716,31.746,31.807,31.838,31.899,31.929,31.960,31.990,32.021,32.082,32.112,32.143,32.173,32.204,32.234,32.265,32.295,32.357,32.387,32.418,32.448,32.479,32.540,32.570,32.570,32.601,32.631,32.662,32.692,
Pressure(kPa),,,,,84.469,84.438,84.594,84.562,84.718,84.531,84.406,84.625,84.438,84.438,84.531,84.469,84.625,84.469,84.562,84.562,84.438,84.313,84.344,84.500,84.625,84.344,84.531,84.438,84.625,84.406,84.438,84.500,84.438,84.531,84.344,84.375,84.375,84.562,84.562,84.562,84.375,84.313,84.313,84.469,84.438,84.313,84.500,84.594,84.375,84.406,
Rel. Humidity,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Errors,,,,,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,No Errors,
Alarm Triggered,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dilution Factor,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
Dead Time (s),,,,,0.027278,0.02614,0.025441,0.025349,0.025219,0.025058,0.023992,0.024106,0.024089,0.02318,0.024526,0.024009,0.024892,0.01755,0.008108,0.004071,0.002001,0.001309,0.000962,0.000594,5.71483,20.4651,30.4927,30.5767,29.7347,28.9499,19.3991,9.27533,4.29758,1.90261,0.872151,0.394889,0.635968,13.1134,25.8381,33.476,32.891,32.0494,30.8206,18.3915,8.80191,4.09646,1.89035,0.872857,0.411202,0.190899,
Median,,,,,5.16189,5.86653,5.13892,6.38415,6.12774,6.09234,5.11916,3.84773,5.19292,4.28033,6.00512,5.28518,6.08528,5.17853,5.9691,7.72455,1.37306,1.83386,3.99957,1.44656,0.585535,0.637321,0.671779,0.664677,0.657088,0.65192,0.616523,0.566105,0.527658,0.538074,0.511115,0.673477,0.733761,0.660491,0.691775,0.709844,0.699916,0.690889,0.682167,0.63526,0.575607,0.546488,0.520202,0.511107,0.498622,4.89456,
