Sample File,C:\Users\VanceLab\Desktop\VL_CU_APS_OPS_SMPS_PA_20220622\VL_CU_SMPS_Collocation_20220622.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Mass
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Date,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022,6/22/2022
Start Time,13:25:00,13:28:00,13:31:00,13:34:00,13:37:00,13:40:00,13:43:00,13:46:01,13:49:01,13:52:00,13:55:00,13:58:00,14:01:00,14:04:00,14:07:00,14:10:00,14:13:00,14:16:00,14:19:00,14:22:00,14:25:00,14:28:00,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:00,15:40:00
Sample Temp (C),21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,22.0,22.1,22.2,22.3,22.4,22.5,22.6,22.7,22.8,22.8,22.9,22.9,23.0,23.0,23.1,23.1,23.2,23.2,23.3,23.3,23.4,23.4,23.4,23.4,23.5,23.5,23.5,23.6,23.6,23.6,23.6,23.7,23.7
Sample Pressure (kPa),81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.7,81.7,81.8,81.8,81.8,81.7,81.8,81.8,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7
Relative Humidity (%),39.8,39.8,39.8,39.8,39.7,39.7,39.7,39.6,39.5,39.4,39.3,39.2,39.2,39.2,39.2,39.1,39.0,38.9,38.8,38.6,38.5,38.3,38.1,37.9,37.8,37.6,37.5,37.3,37.1,37.0,36.9,36.7,36.6,36.4,36.3,36.2,36.1,36.0,35.9,35.8,35.7,35.6,35.6,35.5,35.4,35.4
Mean Free Path (m),8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29499e-008,8.29856e-008,8.30214e-008,8.30572e-008,8.30929e-008,8.31287e-008,8.31645e-008,8.32003e-008,8.32361e-008,8.33738e-008,8.33738e-008,8.33076e-008,8.33076e-008,8.33434e-008,8.34454e-008,8.33792e-008,8.33792e-008,8.35171e-008,8.35171e-008,8.35529e-008,8.35529e-008,8.35887e-008,8.35887e-008,8.35887e-008,8.35887e-008,8.36246e-008,8.36246e-008,8.36246e-008,8.36604e-008,8.36604e-008,8.36604e-008,8.36604e-008,8.36962e-008,8.36962e-008
Gas Viscosity (Pa*s),1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83054e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83579e-005,1.83579e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003,0.003,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.004,0.003,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.004,0.003,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.004,0.004,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000
