Sample File,C:\Users\VanceLab\Desktop\VL_CU_APS_Troubleshoot_27062022\20220627_troubleshooting_1.A21
Sample Time,45
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Date,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22
Start Time,13:19:10,13:20:10,13:21:11,13:22:10,13:23:10,13:24:10,13:25:10,13:26:11,13:27:10,13:28:10,13:46:28,13:47:28,13:48:29,13:49:28,13:50:28,13:51:28,13:52:28,13:53:28,13:54:28,14:12:16,14:13:16,14:14:16,14:15:16,14:16:16,14:17:16,14:18:16,14:20:46,14:21:47,14:22:46,14:30:00,14:31:00,14:32:00,14:33:00,14:34:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,0.000564521,0.00116751,0.000988377,0.00088967,0.000800878,0.000780643,0.000764419,0.000753511,0.000754615,0.000732081,3.03516e-006,3.21911e-006,3.12714e-006,3.2651e-005,3.13081e-005,2.68198e-005,2.50171e-005,2.4502e-005,2.27177e-005,4.85626e-006,5.62884e-006,6.32785e-006,5.7944e-006,5.47617e-005,5.71714e-005,5.99306e-005,7.55663e-005,5.58654e-005,4.93168e-005,5.58286e-005,5.10643e-005,4.79923e-005,5.32349e-005,0.000194342
0.542,2.61018e-006,6.41669e-006,5.32911e-006,4.45905e-006,3.69775e-006,1.0767e-005,1.04407e-005,9.89693e-006,1.08757e-005,9.89693e-006,1.08757e-006,1.41385e-006,1.41385e-006,2.2404e-005,2.44704e-005,2.21865e-005,1.7945e-005,1.82712e-005,1.50085e-005,2.17515e-006,2.50142e-006,2.06639e-006,2.61018e-006,0.00027396,0.000281791,0.00028092,0.000308545,0.000266891,0.000213817,0.00020566,0.000192718,0.000191957,0.000196416,0.000296473
0.583,3.77891e-006,9.98713e-006,6.6131e-006,6.34318e-006,5.39845e-006,2.55077e-005,1.91645e-005,1.88946e-005,2.03791e-005,2.18637e-005,2.56426e-006,2.96915e-006,2.56426e-006,5.38495e-005,5.42544e-005,4.96657e-005,4.77763e-005,4.21079e-005,3.95436e-005,2.4293e-006,2.4293e-006,2.56426e-006,2.56426e-006,0.000733244,0.000770628,0.000742152,0.00083514,0.000728521,0.000615153,0.0005555,0.000540655,0.000515957,0.000562788,0.000694105
0.626,5.69427e-006,1.12211e-005,9.71375e-006,8.20644e-006,6.53166e-006,5.15834e-005,4.38794e-005,4.55541e-005,4.25395e-005,4.37119e-005,3.18209e-006,4.52192e-006,4.85688e-006,0.000125106,0.000117067,0.000112211,9.7305e-005,9.46253e-005,7.83799e-005,2.67966e-006,2.3447e-006,2.3447e-006,2.67966e-006,0.00166155,0.00177494,0.00166842,0.00182418,0.00168885,0.0014919,0.00122829,0.00119513,0.00120517,0.00123415,0.00141737
0.673,7.06623e-006,1.80812e-005,1.74577e-005,1.08072e-005,1.05993e-005,0.000124075,0.000111605,0.00010724,0.000110358,0.000106825,6.8584e-006,6.65057e-006,5.61142e-006,0.000301977,0.000319227,0.000287845,0.000257502,0.000246487,0.000211987,3.11746e-006,2.49396e-006,3.74095e-006,1.66264e-006,0.00262635,0.00281776,0.00257128,0.00284437,0.00268829,0.0024364,0.00189832,0.00182496,0.00189853,0.00186569,0.00217952
0.723,1.03162e-005,2.26956e-005,1.72796e-005,1.59901e-005,1.39268e-005,0.000317996,0.000284727,0.00029659,0.000295301,0.000298396,7.22133e-006,5.15809e-006,4.38438e-006,0.000876875,0.000931293,0.000866559,0.000774487,0.000753855,0.000630319,3.09485e-006,1.80533e-006,4.12647e-006,1.54743e-006,0.00212539,0.00233661,0.00207252,0.00222546,0.00224093,0.0020947,0.00162067,0.00157502,0.00168798,0.00157631,0.00199824
0.777,1.53621e-005,2.65636e-005,2.49634e-005,1.53621e-005,1.79224e-005,0.0011944,0.00104974,0.00107407,0.00112175,0.00108111,4.16056e-006,5.76078e-006,5.76078e-006,0.00264132,0.00276293,0.00245409,0.00219006,0.00213021,0.00188474,1.92026e-006,1.28017e-006,1.60022e-006,1.92026e-006,0.000794988,0.000870518,0.000731939,0.000843955,0.000828913,0.000783466,0.000616084,0.000594641,0.000643287,0.00058952,0.0011704
0.835,1.74748e-005,3.05809e-005,2.14463e-005,2.30349e-005,2.02549e-005,0.00396241,0.00377177,0.00381308,0.00378766,0.00382817,3.97154e-006,3.57439e-006,3.57439e-006,0.00636638,0.00641602,0.00615787,0.0054708,0.00520431,0.00463161,2.78008e-006,1.19146e-006,1.58862e-006,1.98577e-006,0.000180705,0.000186662,0.000169982,0.000183088,0.000194605,0.000168393,0.000133841,0.000134238,0.000146947,0.000146153,0.000818137
0.898,1.5771e-005,3.59776e-005,3.74561e-005,3.1542e-005,2.36565e-005,0.00304084,0.00343709,0.003202,0.00301867,0.00315124,3.4499e-006,4.92843e-006,3.4499e-006,0.00186985,0.00191716,0.001894,0.0016875,0.00165743,0.00155246,4.92843e-007,2.46422e-006,9.85687e-007,2.46422e-006,2.11923e-005,2.41493e-005,2.41493e-005,2.90778e-005,3.05563e-005,3.20348e-005,2.11923e-005,1.77424e-005,2.06994e-005,1.82352e-005,0.000803828
0.965,1.95708e-005,4.34227e-005,3.54721e-005,3.36373e-005,2.50751e-005,0.00114306,0.0012562,0.00118465,0.00116813,0.001214,4.28112e-006,2.44635e-006,2.44635e-006,0.000328423,0.000333315,0.000338208,0.000310687,0.000300901,0.000263594,2.44635e-006,2.44635e-006,0,1.22318e-006,1.10086e-005,1.59013e-005,9.17382e-006,1.7736e-005,1.10086e-005,1.28433e-005,7.33905e-006,6.72747e-006,6.72747e-006,6.11588e-006,0.000848272
1.037,2.20093e-005,4.47776e-005,3.03577e-005,3.56703e-005,2.27683e-005,0.000725549,0.000730103,0.000747558,0.00070354,0.000743764,1.51789e-006,1.51789e-006,7.58943e-007,4.70544e-005,2.95988e-005,4.0224e-005,4.0224e-005,2.73219e-005,4.47776e-005,3.03577e-006,3.79471e-006,7.58943e-007,7.58943e-007,6.83048e-006,3.03577e-006,7.58943e-006,6.07154e-006,1.21431e-005,7.58943e-006,3.79471e-006,3.79471e-006,6.07154e-006,4.55366e-006,0.000916803
1.114,2.3545e-005,6.49842e-005,6.87514e-005,4.61482e-005,3.95556e-005,0.000445472,0.00042381,0.000445472,0.000416276,0.00042381,4.709e-006,9.418e-007,2.8254e-006,1.97778e-005,1.60106e-005,1.8836e-005,1.4127e-005,5.6508e-006,1.4127e-005,6.5926e-006,9.418e-007,3.7672e-006,2.8254e-006,1.8836e-006,2.8254e-006,1.8836e-006,6.5926e-006,4.709e-006,5.6508e-006,2.8254e-006,2.8254e-006,2.8254e-006,1.8836e-006,0.000975705
1.197,3.15553e-005,7.71352e-005,5.37609e-005,4.20738e-005,3.03866e-005,0.000232574,0.000243093,0.000241924,0.000229068,0.000217381,4.67486e-006,1.16872e-006,5.84358e-006,8.18101e-006,1.05184e-005,1.28559e-005,9.34973e-006,1.16872e-005,1.51933e-005,1.16872e-006,3.50615e-006,1.16872e-006,4.67486e-006,3.50615e-006,1.16872e-006,2.33743e-006,1.16872e-006,1.28559e-005,7.0123e-006,1.16872e-006,2.33743e-006,2.33743e-006,1.16872e-006,0.00103548
1.286,1.8854e-005,6.09128e-005,5.36612e-005,5.36612e-005,4.06085e-005,0.000107322,0.000136329,0.000118925,0.00014358,0.000129077,8.70182e-006,5.80122e-006,5.80122e-006,5.80122e-006,5.80122e-006,8.70182e-006,8.70182e-006,7.25152e-006,0,1.4503e-006,2.90061e-006,1.4503e-006,2.90061e-006,1.4503e-006,0,1.4503e-006,1.01521e-005,5.80122e-006,7.25152e-006,2.90061e-006,0,0,1.4503e-006,0.00103262
1.382,3.95942e-005,5.21924e-005,6.65903e-005,5.93913e-005,4.31937e-005,9.35863e-005,8.81871e-005,8.45876e-005,6.1191e-005,7.55889e-005,5.39921e-006,3.59947e-006,0,0,1.79974e-006,3.59947e-006,7.19895e-006,5.39921e-006,3.59947e-006,0,0,3.59947e-006,1.79974e-006,0,3.59947e-006,0,7.19895e-006,1.61976e-005,3.59947e-006,0,0,0,3.59947e-006,0.00119503
1.486,3.12671e-005,7.37009e-005,6.47675e-005,4.24339e-005,3.79671e-005,7.37009e-005,5.80674e-005,6.25341e-005,5.5834e-005,5.36007e-005,2.23336e-006,1.11668e-005,6.70008e-006,0,2.23336e-006,0,8.93344e-006,6.70008e-006,4.46672e-006,4.46672e-006,4.46672e-006,0,6.70008e-006,2.23336e-006,0,2.23336e-006,2.23336e-006,1.11668e-005,0,2.23336e-006,0,0,0,0.00116581
1.596,3.6029e-005,8.86868e-005,5.54292e-005,7.2058e-005,4.43434e-005,4.98863e-005,5.26578e-005,3.6029e-005,3.88005e-005,4.98863e-005,0,8.31439e-006,2.77146e-006,8.31439e-006,2.77146e-006,0,8.31439e-006,5.54292e-006,2.77146e-006,8.31439e-006,2.77146e-006,2.77146e-006,2.77146e-006,8.31439e-006,0,2.77146e-006,1.94002e-005,1.94002e-005,1.38573e-005,5.54292e-006,1.10858e-005,2.77146e-006,1.38573e-005,0.0011945
