Sample File,C:\Users\VanceLab\Desktop\VL_CU_APS_Troubleshoot_27062022\20220627_troubleshooting_1.A21
Sample Time,45
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Date,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22,06/27/22
Start Time,13:19:10,13:20:10,13:21:11,13:22:10,13:23:10,13:24:10,13:25:10,13:26:11,13:27:10,13:28:10,13:46:28,13:47:28,13:48:29,13:49:28,13:50:28,13:51:28,13:52:28,13:53:28,13:54:28,14:12:16,14:13:16,14:14:16,14:15:16,14:16:16,14:17:16,14:18:16,14:20:46,14:21:47,14:22:46,14:30:00,14:31:00,14:32:00,14:33:00,14:34:00
Aerodynamic Diameter,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp
<0.523,163.671,338.495,286.56,257.942,232.198,226.331,221.628,218.465,218.785,212.252,0.879982,0.933315,0.906649,9.46648,9.07715,7.77584,7.25319,7.10386,6.58654,1.40797,1.63197,1.83463,1.67997,15.877,16.5757,17.3757,21.9089,16.197,14.2984,16.1863,14.805,13.9144,15.4344,56.3455
0.542,1.02398,2.51728,2.09062,1.7493,1.45064,4.22392,4.09592,3.88259,4.26658,3.88259,0.426658,0.554656,0.554656,8.78916,9.59981,8.70383,7.03986,7.16786,5.88788,0.853316,0.981314,0.81065,1.02398,107.475,110.547,110.206,121.043,104.702,83.881,80.6811,75.6038,75.3052,77.0545,116.307
0.583,1.19464,3.15727,2.09062,2.00529,1.70663,8.06384,6.05855,5.97321,6.44254,6.91186,0.81065,0.938648,0.81065,17.0237,17.1517,15.701,15.1037,13.3117,12.5011,0.767985,0.767985,0.81065,0.81065,231.803,243.622,234.619,264.016,230.31,194.471,175.612,170.919,163.111,177.916,219.43
0.626,1.45064,2.85861,2.47462,2.09062,1.66397,13.1411,11.1784,11.6051,10.8371,11.1358,0.81065,1.15198,1.23731,31.8714,29.8234,28.5861,24.7888,24.1062,19.9676,0.682653,0.597321,0.597321,0.682653,423.288,452.172,425.037,464.716,430.242,380.067,312.911,304.463,307.023,314.404,361.081
0.673,1.45064,3.71193,3.58393,2.21862,2.17596,25.4715,22.9115,22.0156,22.6555,21.9302,1.40797,1.36531,1.15198,61.9934,65.5347,59.0922,52.8629,50.6017,43.5191,0.639987,0.51199,0.767985,0.341327,539.168,578.463,527.861,583.924,551.882,500.171,389.71,374.649,389.752,383.011,447.436
0.723,1.70663,3.75459,2.85861,2.64528,2.30395,52.6069,47.1031,49.0657,48.8524,49.3643,1.19464,0.853316,0.725319,145.064,154.066,143.357,128.125,124.712,104.275,0.51199,0.298661,0.682653,0.255995,351.609,386.552,342.862,368.163,370.723,346.532,268.112,260.56,279.248,260.773,330.575
0.777,2.04796,3.54126,3.32793,2.04796,2.38929,159.229,139.944,143.186,149.544,144.125,0.554656,0.767985,0.767985,352.121,368.334,327.161,291.962,283.984,251.259,0.255995,0.170663,0.213329,0.255995,105.982,116.051,97.5767,112.51,110.504,104.446,82.1317,79.2731,85.7583,78.5904,156.029
0.835,1.8773,3.28527,2.30395,2.47462,2.17596,425.677,405.197,409.634,406.904,411.256,0.426658,0.383992,0.383992,683.933,689.266,661.533,587.722,559.093,497.569,0.298661,0.127997,0.170663,0.213329,19.4129,20.0529,18.261,19.6689,20.9062,18.0903,14.3784,14.421,15.7864,15.701,87.8916
0.898,1.36531,3.1146,3.2426,2.73061,2.04796,263.248,297.551,277.2,261.328,272.805,0.298661,0.426658,0.298661,161.874,165.97,163.965,146.088,143.485,134.397,0.0426658,0.213329,0.0853316,0.213329,1.83463,2.09062,2.09062,2.51728,2.64528,2.77328,1.83463,1.53597,1.79196,1.57864,69.5879
0.965,1.36531,3.02927,2.47462,2.34662,1.7493,79.7424,87.6356,82.6437,81.4917,84.6916,0.298661,0.170663,0.170663,22.9115,23.2529,23.5942,21.6742,20.9916,18.389,0.170663,0.170663,0,0.0853316,0.767985,1.10931,0.639987,1.23731,0.767985,0.895982,0.51199,0.469324,0.469324,0.426658,59.1775
1.037,1.23731,2.51728,1.70663,2.00529,1.27997,40.7885,41.0445,42.0258,39.5512,41.8125,0.0853316,0.0853316,0.0426658,2.64528,1.66397,2.26129,2.26129,1.53597,2.51728,0.170663,0.213329,0.0426658,0.0426658,0.383992,0.170663,0.426658,0.341327,0.682653,0.426658,0.213329,0.213329,0.341327,0.255995,51.5403
1.114,1.06665,2.94394,3.1146,2.09062,1.79196,20.1809,19.1996,20.1809,18.8583,19.1996,0.213329,0.0426658,0.127997,0.895982,0.725319,0.853316,0.639987,0.255995,0.639987,0.298661,0.0426658,0.170663,0.127997,0.0853316,0.127997,0.0853316,0.298661,0.213329,0.255995,0.127997,0.127997,0.127997,0.0853316,44.2018
1.197,1.15198,2.81594,1.96263,1.53597,1.10931,8.4905,8.87449,8.83182,8.3625,7.93584,0.170663,0.0426658,0.213329,0.298661,0.383992,0.469324,0.341327,0.426658,0.554656,0.0426658,0.127997,0.0426658,0.170663,0.127997,0.0426658,0.0853316,0.0426658,0.469324,0.255995,0.0426658,0.0853316,0.0853316,0.0426658,37.8019
1.286,0.554656,1.79196,1.57864,1.57864,1.19464,3.15727,4.01059,3.4986,4.22392,3.79726,0.255995,0.170663,0.170663,0.170663,0.170663,0.255995,0.255995,0.213329,0,0.0426658,0.0853316,0.0426658,0.0853316,0.0426658,0,0.0426658,0.298661,0.170663,0.213329,0.0853316,0,0,0.0426658,30.3781
1.382,0.938648,1.23731,1.57864,1.40797,1.02398,2.21862,2.09062,2.00529,1.45064,1.79196,0.127997,0.0853316,0,0,0.0426658,0.0853316,0.170663,0.127997,0.0853316,0,0,0.0853316,0.0426658,0,0.0853316,0,0.170663,0.383992,0.0853316,0,0,0,0.0853316,28.3301
1.486,0.597321,1.40797,1.23731,0.81065,0.725319,1.40797,1.10931,1.19464,1.06665,1.02398,0.0426658,0.213329,0.127997,0,0.0426658,0,0.170663,0.127997,0.0853316,0.0853316,0.0853316,0,0.127997,0.0426658,0,0.0426658,0.0426658,0.213329,0,0.0426658,0,0,0,22.2716
1.596,0.554656,1.36531,0.853316,1.10931,0.682653,0.767985,0.81065,0.554656,0.597321,0.767985,0,0.127997,0.0426658,0.127997,0.0426658,0,0.127997,0.0853316,0.0426658,0.127997,0.0426658,0.0426658,0.0426658,0.127997,0,0.0426658,0.298661,0.298661,0.213329,0.0853316,0.170663,0.0426658,0.213329,18.389
1.715,0.383992,1.66397,1.19464,1.10931,0.639987,0.895982,0.853316,0.426658,0.426658,0.81065,0,0.0426658,0,0.170663,0,0,0.298661,0.127997,0.0853316,0.0426658,0.0426658,0,0.127997,0.170663,0.170663,0.127997,1.15198,0.682653,0.639987,0.51199,0.383992,0.383992,0.298661,15.061
1.843,0.639987,1.02398,0.938648,0.597321,0.853316,0.853316,0.469324,0.426658,0.767985,0.725319,0.0426658,0.0426658,0.0853316,0.0853316,0.127997,0,0.0426658,0.0426658,0.0853316,0.127997,0.0853316,0.170663,0,0.127997,0.170663,0.127997,1.32264,1.6213,1.02398,0.682653,0.341327,0.426658,0.298661,12.9277
1.981,0.426658,0.853316,0.725319,0.51199,0.469324,0.51199,0.51199,0.639987,0.51199,0.51199,0.170663,0.0853316,0,0.0853316,0.255995,0.0426658,0.0426658,0.213329,0.127997,0,0,0.0426658,0.127997,0.0853316,0.127997,0,0.554656,0.725319,0.213329,0.298661,0.127997,0.170663,0.170663,10.9224
2.129,0.255995,0.853316,0.469324,0.51199,0.51199,0.341327,0.255995,0.170663,0.51199,0.469324,0,0.0426658,0,0.127997,0.0426658,0.0426658,0.127997,0.0853316,0.213329,0,0,0.0853316,0,0,0,0,0.0426658,0.0426658,0.0426658,0,0,0,0,6.22921
2.288,0.341327,0.767985,0.554656,0.469324,0.298661,0.51199,0.597321,0.469324,0.341327,0.213329,0,0.0426658,0.0426658,0,0.0426658,0,0,0,0,0.0853316,0.0853316,0.0853316,0.127997,0,0.0426658,0,0,0.255995,0,0,0,0,0,5.41856
2.458,0.213329,0.426658,0.426658,0.298661,0.170663,0.213329,0.170663,0.298661,0.170663,0.170663,0,0.0426658,0,0,0,0,0.0426658,0,0.0853316,0.0426658,0,0.0853316,0.0426658,0,0,0,0.0426658,0.127997,0,0,0,0.0426658,0.0426658,4.13858
2.642,0.383992,0.426658,0.426658,0.170663,0.255995,0.213329,0.0426658,0.213329,0.170663,0.127997,0,0.0853316,0.0426658,0,0,0,0,0,0,0,0,0,0.0853316,0.0426658,0,0,0.0426658,0.170663,0,0,0,0,0,2.98661
