Sample File,C:\Users\VanceLab\Desktop\VL_CU_APS_Troubleshoot_27062022\VL_CU_OPS_APSTroubleshoot_27062022.O30
Instrument Model,3330
Instrument Serial Number,3330170702
Sample Length (s),45
Alarm Set,No
Dead Time Correction Applied,Yes
Units,Concentration (dW)
Weight,Mass
Refractive Index Applied,No

Sample #,,,,,1,2,3,4,5,
Date,,,,,06/27/2022,06/27/2022,06/27/2022,06/27/2022,06/27/2022,
Start Time,,,,,14:29:59,14:30:59,14:31:59,14:32:59,14:33:59,
Temp.(C),,,,,24.939,25.214,25.427,25.611,25.824,
Pressure(kPa),,,,,85.405,84.282,84.718,84.094,84.094,
Rel. Humidity,,,,,0.000,0.000,0.000,0.000,0.000,
Errors,,,,,No Errors,No Errors,No Errors,No Errors,No Errors,
Alarm Triggered,,,,,NA,NA,NA,NA,NA,
Dilution Factor,,,,,1.00,1.00,1.00,1.00,1.00,
Dead Time (s),,,,,0.386327,0.373548,0.380732,0.379428,0.774215,
Median,,,,,0.655754,0.663603,0.657401,0.66581,3.43705,
Mean,,,,,0.759534,0.798155,0.755211,1.2298,4.19308,
Geo. Mean,,,,,0.740771,0.756633,0.739717,0.852855,3.12998,
Mode,,,,,0.652575,0.652575,0.652575,0.652575,0.652575,
Geo.St.Dev.,,,,,1.22939,1.3067,1.20796,1.84217,2.34293,
Total Conc. (µg/m³),,,,,8.75335,8.58055,8.63061,9.12086,79.8356,
LB,UB,LB with RI,UB with RI,Vol.Wt.Mean Diam.,Data,Data,Data,Data,Data,
0.3,0.374,0.3,0.374,0.338349,0.079454,0.0668608,0.0560445,0.0579518,0.464039,
0.374,0.465,0.374,0.465,0.421139,0.0383955,0.0369648,0.0321324,0.0308694,0.524742,
0.465,0.579,0.465,0.579,0.524067,0.0206762,0.0163133,0.0205723,0.0240172,0.74893,
0.579,0.721,0.579,0.721,0.652575,4.15552,3.87868,4.08064,4.10616,4.63811,
0.721,0.897,0.721,0.897,0.812178,4.14906,4.21802,4.16438,4.11749,5.03449,
0.897,1.117,0.897,1.117,1.01099,0.0895008,0.0836556,0.106951,0.0873043,2.45386,
1.117,1.391,1.117,1.391,1.25897,0.00843099,0.0182619,0.0126449,0.0126445,1.82714,
1.391,1.732,1.391,1.732,1.56768,0.0189912,0.00813677,0.0162762,0.0108505,3.54419,
1.732,2.156,1.732,2.156,1.95168,0.18322,0.141301,0.130855,0.141319,5.48144,
2.156,2.685,2.156,2.685,2.4301,0.0101054,0.020205,0.0101041,0.0101038,5.93291,
2.685,3.343,2.685,3.343,3.02592,0,0.0195043,0,0,5.39261,
3.343,4.162,3.343,4.162,3.76734,0,0,0,0,6.98869,
4.162,5.182,4.162,5.182,4.69048,0,0.0726458,0,0,7.69691,
5.182,6.451,5.182,6.451,5.83948,0,0,0,0,9.75991,
6.451,8.032,6.451,8.032,7.27015,0,0,0,0,10.9185,
8.032,10,8.032,10,9.05166,0,0,0,0.522154,8.42905,

,,,,Vol.Wt.Mean Diam.,Density,Density,Density,Density,Density,
,,,,0.338349,1,1,1,1,1,
,,,,0.421139,1,1,1,1,1,
,,,,0.524067,1,1,1,1,1,
,,,,0.652575,1,1,1,1,1,
,,,,0.812178,1,1,1,1,1,
,,,,1.01099,1,1,1,1,1,
,,,,1.25897,1,1,1,1,1,
,,,,1.56768,1,1,1,1,1,
,,,,1.95168,1,1,1,1,1,
,,,,2.4301,1,1,1,1,1,
,,,,3.02592,1,1,1,1,1,
,,,,3.76734,1,1,1,1,1,
,,,,4.69048,1,1,1,1,1,
,,,,5.83948,1,1,1,1,1,
,,,,7.27015,1,1,1,1,1,
,,,,9.05166,1,1,1,1,1,

