Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
08/06/2022 3:53:35 PM,"374","22.1","36","840"
08/06/2022 4:00:49 PM,"364","22.1","36","840"
08/06/2022 4:08:03 PM,"363","22.1","36","840"
08/06/2022 4:15:17 PM,"344","22.1","35","839"
08/06/2022 4:22:31 PM,"336","22.0","36","839"
08/06/2022 4:29:45 PM,"350","22.0","36","839"
08/06/2022 4:36:59 PM,"335","22.0","36","839"
08/06/2022 4:44:13 PM,"334","22.0","36","839"
08/06/2022 4:51:27 PM,"337","21.9","36","839"
08/06/2022 4:58:41 PM,"333","21.9","36","839"
08/06/2022 5:05:55 PM,"329","21.9","36","839"
08/06/2022 5:13:09 PM,"321","21.8","36","839"
08/06/2022 5:20:23 PM,"334","21.8","36","839"
08/06/2022 5:27:37 PM,"336","21.8","36","839"
08/06/2022 5:34:51 PM,"337","21.7","36","839"
08/06/2022 5:42:05 PM,"337","21.6","36","839"
08/06/2022 5:49:19 PM,"335","21.6","36","839"
08/06/2022 5:56:33 PM,"339","21.5","36","839"
08/06/2022 6:03:47 PM,"333","21.5","36","839"
08/06/2022 6:11:01 PM,"329","21.4","36","839"
08/06/2022 6:18:15 PM,"321","21.4","36","839"
08/06/2022 6:25:29 PM,"325","21.4","35","839"
08/06/2022 6:32:43 PM,"330","21.4","35","839"
08/06/2022 6:39:57 PM,"327","21.4","35","839"
08/06/2022 6:47:11 PM,"334","21.3","35","839"
08/06/2022 6:54:25 PM,"331","21.3","35","839"
08/06/2022 7:01:39 PM,"337","21.4","35","839"
08/06/2022 7:08:53 PM,"342","21.6","35","839"
08/06/2022 7:16:07 PM,"330","21.8","35","839"
08/06/2022 7:23:21 PM,"333","21.8","35","839"
08/06/2022 7:30:35 PM,"338","21.7","35","839"
08/06/2022 7:37:49 PM,"339","21.7","35","839"
08/06/2022 7:45:03 PM,"342","21.6","35","839"
08/06/2022 7:52:17 PM,"338","21.6","35","839"
08/06/2022 7:59:31 PM,"331","21.6","35","839"
08/06/2022 8:06:45 PM,"337","21.5","35","839"
08/06/2022 8:13:59 PM,"334","21.5","35","839"
08/06/2022 8:21:13 PM,"329","21.4","35","839"
08/06/2022 8:28:27 PM,"346","21.5","35","839"
08/06/2022 8:35:41 PM,"350","21.4","35","839"
08/06/2022 8:42:55 PM,"338","21.4","35","839"
08/06/2022 8:50:09 PM,"351","21.4","35","839"
08/06/2022 8:57:23 PM,"343","21.4","35","839"
08/06/2022 9:04:37 PM,"333","21.5","35","839"
08/06/2022 9:11:51 PM,"344","21.6","35","839"
08/06/2022 9:19:05 PM,"339","21.6","35","839"
08/06/2022 9:26:19 PM,"345","21.6","35","839"
08/06/2022 9:33:33 PM,"351","21.5","35","839"
08/06/2022 9:40:47 PM,"355","21.5","35","839"
08/06/2022 9:48:01 PM,"334","21.4","36","840"
08/06/2022 9:55:15 PM,"349","21.4","36","840"
08/06/2022 10:02:29 PM,"341","21.4","36","840"
08/06/2022 10:09:43 PM,"338","21.4","36","840"
08/06/2022 10:16:57 PM,"332","21.4","36","840"
08/06/2022 10:24:11 PM,"338","21.3","36","840"
08/06/2022 10:31:25 PM,"339","21.4","35","840"
08/06/2022 10:38:39 PM,"348","21.5","35","840"
08/06/2022 10:45:53 PM,"337","21.6","35","839"
08/06/2022 10:53:07 PM,"344","21.6","35","839"
