Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
08/06/2022 3:45:10 PM,"375","22.3","35","840"
08/06/2022 3:50:10 PM,"360","22.3","35","840"
08/06/2022 3:55:10 PM,"374","22.2","35","840"
08/06/2022 4:00:10 PM,"374","22.2","35","840"
08/06/2022 4:05:10 PM,"365","22.2","35","840"
08/06/2022 4:10:10 PM,"357","22.2","35","839"
08/06/2022 4:15:10 PM,"351","22.1","35","839"
08/06/2022 4:20:10 PM,"344","22.1","35","839"
08/06/2022 4:25:10 PM,"342","22.1","35","839"
08/06/2022 4:30:10 PM,"337","22.0","35","839"
08/06/2022 4:35:10 PM,"336","22.0","35","839"
08/06/2022 4:40:10 PM,"340","22.0","35","839"
08/06/2022 4:45:10 PM,"341","22.0","36","839"
08/06/2022 4:50:10 PM,"314","21.9","36","839"
08/06/2022 4:55:10 PM,"342","21.9","36","839"
08/06/2022 5:00:10 PM,"334","21.9","36","839"
08/06/2022 5:05:10 PM,"327","21.8","36","839"
08/06/2022 5:10:10 PM,"331","21.9","36","839"
08/06/2022 5:15:10 PM,"339","21.8","36","839"
08/06/2022 5:20:10 PM,"339","21.8","36","839"
08/06/2022 5:25:10 PM,"329","21.8","36","839"
08/06/2022 5:30:10 PM,"329","21.7","36","839"
08/06/2022 5:35:10 PM,"327","21.7","36","839"
08/06/2022 5:40:10 PM,"331","21.6","36","839"
08/06/2022 5:45:10 PM,"343","21.6","36","839"
08/06/2022 5:50:10 PM,"345","21.5","36","839"
08/06/2022 5:55:10 PM,"331","21.5","36","839"
08/06/2022 6:00:10 PM,"341","21.5","35","839"
08/06/2022 6:05:10 PM,"342","21.5","35","839"
08/06/2022 6:10:10 PM,"331","21.4","35","839"
08/06/2022 6:15:10 PM,"331","21.4","35","839"
08/06/2022 6:20:10 PM,"341","21.4","35","839"
08/06/2022 6:25:10 PM,"338","21.4","35","839"
08/06/2022 6:30:10 PM,"339","21.4","35","839"
08/06/2022 6:35:10 PM,"329","21.3","35","839"
08/06/2022 6:40:10 PM,"340","21.3","35","839"
08/06/2022 6:45:10 PM,"339","21.3","35","839"
08/06/2022 6:50:10 PM,"337","21.3","35","839"
08/06/2022 6:55:10 PM,"336","21.4","35","839"
08/06/2022 7:00:10 PM,"344","21.6","35","839"
08/06/2022 7:05:10 PM,"334","21.7","34","839"
08/06/2022 7:10:10 PM,"339","21.7","34","839"
08/06/2022 7:15:10 PM,"341","21.8","34","839"
08/06/2022 7:20:10 PM,"337","21.8","34","839"
08/06/2022 7:25:10 PM,"341","21.8","34","839"
08/06/2022 7:30:10 PM,"339","21.7","34","839"
08/06/2022 7:35:10 PM,"332","21.6","34","839"
08/06/2022 7:40:10 PM,"344","21.6","35","839"
