Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
08/06/2022 3:47:42 PM,"381","22.2","35","840"
08/06/2022 3:52:42 PM,"375","22.2","35","840"
08/06/2022 3:57:42 PM,"379","22.1","35","840"
08/06/2022 4:02:42 PM,"374","22.1","35","840"
08/06/2022 4:07:42 PM,"362","22.1","35","839"
08/06/2022 4:12:42 PM,"352","22.1","35","839"
08/06/2022 4:17:42 PM,"357","22.1","35","839"
08/06/2022 4:22:42 PM,"351","22.1","35","839"
08/06/2022 4:27:42 PM,"352","22.0","35","839"
08/06/2022 4:32:42 PM,"345","22.0","35","839"
08/06/2022 4:37:42 PM,"343","22.0","35","839"
08/06/2022 4:42:42 PM,"339","21.9","35","839"
08/06/2022 4:47:42 PM,"346","21.9","35","839"
08/06/2022 4:52:42 PM,"346","21.9","35","839"
08/06/2022 4:57:42 PM,"347","21.9","35","839"
08/06/2022 5:02:42 PM,"344","21.9","35","839"
08/06/2022 5:07:42 PM,"339","21.8","36","839"
08/06/2022 5:12:42 PM,"329","21.8","36","839"
08/06/2022 5:17:42 PM,"340","21.8","36","839"
08/06/2022 5:22:42 PM,"333","21.8","36","839"
08/06/2022 5:27:42 PM,"349","21.7","35","839"
08/06/2022 5:32:42 PM,"338","21.7","35","839"
08/06/2022 5:37:42 PM,"342","21.6","35","839"
08/06/2022 5:42:42 PM,"345","21.6","35","839"
08/06/2022 5:47:42 PM,"344","21.5","35","839"
08/06/2022 5:52:42 PM,"345","21.5","35","839"
08/06/2022 5:57:42 PM,"340","21.5","35","839"
08/06/2022 6:02:42 PM,"339","21.5","35","839"
08/06/2022 6:07:42 PM,"346","21.4","35","839"
08/06/2022 6:12:42 PM,"342","21.4","35","839"
08/06/2022 6:17:42 PM,"347","21.4","35","839"
08/06/2022 6:22:42 PM,"336","21.4","35","839"
08/06/2022 6:27:42 PM,"337","21.4","35","839"
08/06/2022 6:32:42 PM,"337","21.3","35","839"
08/06/2022 6:37:42 PM,"347","21.3","35","839"
08/06/2022 6:42:42 PM,"342","21.3","35","839"
08/06/2022 6:47:42 PM,"339","21.3","35","839"
08/06/2022 6:52:42 PM,"360","21.4","35","839"
08/06/2022 6:57:42 PM,"336","21.5","35","839"
08/06/2022 7:02:42 PM,"337","21.6","34","839"
08/06/2022 7:07:42 PM,"345","21.7","34","839"
08/06/2022 7:12:42 PM,"343","21.8","34","839"
08/06/2022 7:17:42 PM,"341","21.8","34","839"
08/06/2022 7:22:42 PM,"347","21.8","34","839"
08/06/2022 7:27:42 PM,"347","21.7","34","839"
08/06/2022 7:32:42 PM,"354","21.6","34","839"
08/06/2022 7:37:42 PM,"344","21.6","34","839"
08/06/2022 7:42:42 PM,"349","21.6","34","839"
08/06/2022 7:47:42 PM,"353","21.5","34","839"
08/06/2022 7:52:42 PM,"342","21.5","34","839"
08/06/2022 7:57:42 PM,"354","21.5","34","839"
08/06/2022 8:02:42 PM,"342","21.5","34","839"
08/06/2022 8:07:42 PM,"345","21.5","35","839"
08/06/2022 8:12:42 PM,"349","21.4","35","839"
08/06/2022 8:17:42 PM,"342","21.5","35","839"
08/06/2022 8:22:42 PM,"353","21.4","35","839"
08/06/2022 8:27:42 PM,"339","21.4","35","839"
08/06/2022 8:32:42 PM,"344","21.4","35","839"
08/06/2022 8:37:42 PM,"352","21.4","35","839"
08/06/2022 8:42:42 PM,"357","21.4","35","839"
08/06/2022 8:47:42 PM,"361","21.4","35","839"
08/06/2022 8:52:42 PM,"359","21.4","35","839"
08/06/2022 8:57:42 PM,"354","21.4","35","839"
08/06/2022 9:02:42 PM,"348","21.5","35","839"
08/06/2022 9:07:42 PM,"349","21.6","35","839"
08/06/2022 9:12:42 PM,"352","21.6","35","839"
08/06/2022 9:17:42 PM,"351","21.6","35","839"
