Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
08/06/2022 3:49:16 PM,"367","22.2","36","840"
08/06/2022 3:54:16 PM,"372","22.2","36","840"
08/06/2022 3:59:16 PM,"373","22.2","36","840"
08/06/2022 4:04:16 PM,"362","22.2","36","840"
08/06/2022 4:09:16 PM,"359","22.2","36","840"
08/06/2022 4:14:16 PM,"355","22.1","36","840"
08/06/2022 4:19:16 PM,"339","22.1","36","839"
08/06/2022 4:24:16 PM,"346","22.1","36","840"
08/06/2022 4:29:16 PM,"335","22.1","36","839"
08/06/2022 4:34:16 PM,"334","22.0","36","839"
08/06/2022 4:39:16 PM,"335","22.0","36","839"
08/06/2022 4:44:16 PM,"341","22.0","36","839"
08/06/2022 4:49:16 PM,"331","22.0","36","839"
08/06/2022 4:54:16 PM,"325","21.9","36","839"
08/06/2022 4:59:16 PM,"333","21.9","36","839"
08/06/2022 5:04:16 PM,"335","21.9","36","839"
08/06/2022 5:09:16 PM,"328","21.9","36","839"
08/06/2022 5:14:16 PM,"339","21.8","36","839"
08/06/2022 5:19:16 PM,"326","21.8","36","839"
08/06/2022 5:24:16 PM,"330","21.8","36","839"
08/06/2022 5:29:16 PM,"332","21.7","36","839"
08/06/2022 5:34:16 PM,"327","21.7","36","839"
08/06/2022 5:39:16 PM,"331","21.6","36","839"
08/06/2022 5:44:16 PM,"336","21.6","36","839"
08/06/2022 5:49:16 PM,"332","21.5","36","839"
08/06/2022 5:54:16 PM,"329","21.5","36","839"
08/06/2022 5:59:16 PM,"337","21.5","36","839"
08/06/2022 6:04:16 PM,"337","21.4","36","839"
08/06/2022 6:09:16 PM,"341","21.4","36","839"
08/06/2022 6:14:16 PM,"338","21.4","36","839"
08/06/2022 6:19:16 PM,"329","21.4","36","839"
08/06/2022 6:24:16 PM,"330","21.4","36","839"
08/06/2022 6:29:16 PM,"329","21.4","36","839"
08/06/2022 6:34:16 PM,"337","21.4","35","839"
08/06/2022 6:39:16 PM,"330","21.3","35","839"
08/06/2022 6:44:16 PM,"334","21.3","35","839"
08/06/2022 6:49:16 PM,"331","21.3","35","839"
08/06/2022 6:54:16 PM,"342","21.4","35","839"
08/06/2022 6:59:16 PM,"325","21.5","35","839"
08/06/2022 7:04:16 PM,"337","21.6","35","839"
08/06/2022 7:09:16 PM,"328","21.7","35","839"
08/06/2022 7:14:16 PM,"334","21.8","35","839"
08/06/2022 7:19:16 PM,"339","21.8","35","839"
08/06/2022 7:24:16 PM,"336","21.8","35","839"
08/06/2022 7:29:16 PM,"333","21.7","35","839"
08/06/2022 7:34:16 PM,"329","21.6","35","839"
