Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
08/06/2022 3:47:06 PM,"362","22.1","35","840"
08/06/2022 3:52:06 PM,"365","22.1","36","840"
08/06/2022 3:57:06 PM,"370","22.1","36","840"
08/06/2022 4:02:06 PM,"362","22.1","36","840"
08/06/2022 4:07:06 PM,"364","22.0","36","839"
08/06/2022 4:12:06 PM,"343","22.0","36","839"
08/06/2022 4:17:06 PM,"349","22.0","36","839"
08/06/2022 4:22:06 PM,"347","22.0","36","839"
08/06/2022 4:27:06 PM,"335","21.9","36","839"
08/06/2022 4:32:06 PM,"336","21.9","36","839"
08/06/2022 4:37:06 PM,"343","21.9","36","839"
08/06/2022 4:42:06 PM,"335","21.8","36","839"
08/06/2022 4:47:06 PM,"345","21.8","36","839"
08/06/2022 4:52:06 PM,"334","21.8","36","839"
08/06/2022 4:57:06 PM,"332","21.8","36","839"
08/06/2022 5:02:06 PM,"337","21.7","37","839"
08/06/2022 5:07:06 PM,"341","21.7","37","839"
08/06/2022 5:12:06 PM,"334","21.7","37","839"
08/06/2022 5:17:06 PM,"349","21.7","37","839"
08/06/2022 5:22:06 PM,"341","21.6","37","839"
08/06/2022 5:27:06 PM,"338","21.6","36","839"
08/06/2022 5:32:06 PM,"332","21.5","36","839"
08/06/2022 5:37:06 PM,"345","21.5","36","839"
08/06/2022 5:42:06 PM,"343","21.4","36","839"
08/06/2022 5:47:06 PM,"331","21.4","36","839"
08/06/2022 5:52:06 PM,"338","21.3","36","839"
08/06/2022 5:57:06 PM,"334","21.3","36","839"
08/06/2022 6:02:06 PM,"331","21.3","36","839"
08/06/2022 6:07:06 PM,"335","21.3","36","839"
08/06/2022 6:12:06 PM,"330","21.3","36","839"
08/06/2022 6:17:06 PM,"335","21.3","36","839"
08/06/2022 6:22:06 PM,"330","21.2","36","839"
08/06/2022 6:27:06 PM,"339","21.2","36","839"
08/06/2022 6:32:06 PM,"332","21.2","36","839"
08/06/2022 6:37:06 PM,"336","21.2","35","839"
08/06/2022 6:42:06 PM,"340","21.2","35","839"
08/06/2022 6:47:06 PM,"340","21.2","35","839"
08/06/2022 6:52:06 PM,"350","21.2","35","839"
08/06/2022 6:57:06 PM,"332","21.3","35","839"
08/06/2022 7:02:06 PM,"335","21.5","35","839"
08/06/2022 7:07:06 PM,"341","21.6","35","839"
08/06/2022 7:12:06 PM,"335","21.7","35","839"
08/06/2022 7:17:06 PM,"348","21.7","35","839"
08/06/2022 7:22:06 PM,"330","21.7","35","839"
08/06/2022 7:27:06 PM,"343","21.6","35","839"
08/06/2022 7:32:06 PM,"336","21.6","35","839"
08/06/2022 7:37:06 PM,"338","21.5","35","839"
08/06/2022 7:42:06 PM,"346","21.4","35","839"
08/06/2022 7:47:06 PM,"340","21.4","35","839"
08/06/2022 7:52:06 PM,"341","21.4","35","839"
08/06/2022 7:57:06 PM,"336","21.4","35","840"
08/06/2022 8:02:06 PM,"338","21.3","35","839"
08/06/2022 8:07:06 PM,"344","21.3","35","839"
08/06/2022 8:12:06 PM,"333","21.3","35","839"
08/06/2022 8:17:06 PM,"338","21.3","35","839"
08/06/2022 8:22:06 PM,"339","21.3","35","839"
08/06/2022 8:27:06 PM,"342","21.3","35","839"
08/06/2022 8:32:06 PM,"341","21.3","35","839"
08/06/2022 8:37:06 PM,"341","21.3","35","839"
08/06/2022 8:42:06 PM,"336","21.3","35","839"
08/06/2022 8:47:06 PM,"348","21.2","36","839"
08/06/2022 8:52:06 PM,"356","21.3","36","839"
08/06/2022 8:57:06 PM,"337","21.3","36","839"
08/06/2022 9:02:06 PM,"351","21.4","36","839"
08/06/2022 9:07:06 PM,"345","21.4","36","839"
08/06/2022 9:12:06 PM,"354","21.5","36","839"
08/06/2022 9:17:06 PM,"349","21.5","36","839"
08/06/2022 9:22:06 PM,"343","21.4","36","839"
08/06/2022 9:27:06 PM,"346","21.4","36","840"
08/06/2022 9:32:06 PM,"337","21.3","36","840"
08/06/2022 9:37:06 PM,"342","21.3","36","840"
08/06/2022 9:42:06 PM,"348","21.3","36","840"
08/06/2022 9:47:06 PM,"347","21.3","36","840"
08/06/2022 9:52:06 PM,"343","21.3","36","840"
08/06/2022 9:57:06 PM,"342","21.2","36","840"
08/06/2022 10:02:06 PM,"346","21.2","36","840"
08/06/2022 10:07:06 PM,"353","21.2","36","840"
08/06/2022 10:12:06 PM,"339","21.1","36","840"
08/06/2022 10:17:06 PM,"347","21.1","36","840"
08/06/2022 10:22:06 PM,"354","21.2","36","840"
08/06/2022 10:27:06 PM,"352","21.3","36","840"
08/06/2022 10:32:06 PM,"332","21.3","36","840"
08/06/2022 10:37:06 PM,"349","21.4","36","839"
08/06/2022 10:42:06 PM,"348","21.4","36","839"
08/06/2022 10:47:06 PM,"342","21.4","36","839"
08/06/2022 10:52:06 PM,"340","21.4","36","839"
08/06/2022 10:57:06 PM,"348","21.4","36","839"
08/06/2022 11:02:06 PM,"358","21.3","36","839"
08/06/2022 11:07:06 PM,"345","21.3","36","839"
08/06/2022 11:12:06 PM,"356","21.3","37","839"
08/06/2022 11:17:06 PM,"357","21.2","37","839"
08/06/2022 11:22:06 PM,"351","21.2","37","839"
08/06/2022 11:27:06 PM,"352","21.2","37","839"
08/06/2022 11:32:06 PM,"360","21.2","37","839"
08/06/2022 11:37:06 PM,"355","21.2","38","839"
08/06/2022 11:42:06 PM,"355","21.2","38","839"
08/06/2022 11:47:06 PM,"366","21.1","38","839"
08/06/2022 11:52:06 PM,"372","21.3","38","839"
08/06/2022 11:57:06 PM,"375","21.3","38","839"
09/06/2022 12:02:06 AM,"373","21.4","38","839"
09/06/2022 12:07:06 AM,"368","21.4","38","839"
09/06/2022 12:12:06 AM,"387","21.4","38","839"
09/06/2022 12:17:06 AM,"376","21.4","38","839"
09/06/2022 12:22:06 AM,"369","21.3","38","839"
09/06/2022 12:27:06 AM,"370","21.2","38","839"
09/06/2022 12:32:06 AM,"371","21.2","38","839"
09/06/2022 12:37:06 AM,"375","21.2","38","839"
09/06/2022 12:42:06 AM,"361","21.1","38","839"
09/06/2022 12:47:06 AM,"374","21.1","38","839"
09/06/2022 12:52:06 AM,"383","21.1","38","839"
09/06/2022 12:57:06 AM,"367","21.1","38","839"
09/06/2022 1:02:06 AM,"378","21.1","38","839"
09/06/2022 1:07:06 AM,"377","21.1","38","839"
