Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
08/06/2022 1:34:32 PM,"1112","23.0","41","841"
08/06/2022 1:39:32 PM,"476","24.1","36","841"
08/06/2022 1:44:32 PM,"386","23.0","35","841"
08/06/2022 1:49:32 PM,"390","22.6","35","841"
08/06/2022 1:54:32 PM,"393","22.4","35","841"
08/06/2022 1:59:32 PM,"447","22.2","35","841"
08/06/2022 2:04:32 PM,"383","22.1","35","841"
08/06/2022 2:09:32 PM,"388","22.1","35","841"
08/06/2022 2:14:32 PM,"419","22.2","36","840"
08/06/2022 2:19:32 PM,"383","22.2","37","841"
08/06/2022 2:24:32 PM,"423","22.8","35","840"
08/06/2022 2:29:32 PM,"393","22.7","35","840"
08/06/2022 2:34:32 PM,"368","22.7","35","840"
08/06/2022 2:39:32 PM,"370","22.7","35","840"
08/06/2022 2:44:32 PM,"371","22.6","35","840"
08/06/2022 2:49:32 PM,"363","22.6","36","840"
08/06/2022 2:54:32 PM,"372","22.5","36","840"
08/06/2022 2:59:32 PM,"365","22.5","36","840"
08/06/2022 3:04:32 PM,"360","22.5","36","840"
08/06/2022 3:09:32 PM,"368","22.5","36","840"
08/06/2022 3:14:32 PM,"362","22.4","36","840"
08/06/2022 3:19:32 PM,"366","22.4","36","840"
08/06/2022 3:24:32 PM,"357","22.3","36","840"
08/06/2022 3:29:32 PM,"415","22.5","36","840"
08/06/2022 3:34:32 PM,"394","22.4","36","840"
08/06/2022 3:39:32 PM,"432","22.4","36","840"
08/06/2022 3:44:32 PM,"387","22.3","35","840"
08/06/2022 3:49:32 PM,"373","22.2","35","840"
08/06/2022 3:54:32 PM,"364","22.2","35","840"
08/06/2022 3:59:32 PM,"361","22.2","35","840"
08/06/2022 4:04:32 PM,"361","22.2","35","839"
08/06/2022 4:09:32 PM,"363","22.2","35","839"
08/06/2022 4:14:32 PM,"340","22.1","35","839"
08/06/2022 4:19:32 PM,"339","22.1","35","839"
08/06/2022 4:24:32 PM,"336","22.1","35","839"
08/06/2022 4:29:32 PM,"340","22.1","35","839"
08/06/2022 4:34:32 PM,"331","22.0","35","839"
08/06/2022 4:39:32 PM,"333","22.0","35","839"
08/06/2022 4:44:32 PM,"334","21.9","35","839"
08/06/2022 4:49:32 PM,"332","21.9","36","839"
08/06/2022 4:54:32 PM,"339","21.9","36","839"
08/06/2022 4:59:32 PM,"336","21.9","36","839"
08/06/2022 5:04:32 PM,"331","21.8","36","839"
08/06/2022 5:09:32 PM,"323","21.8","36","839"
08/06/2022 5:14:32 PM,"328","21.8","36","839"
