Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
08/06/2022 1:41:40 PM,"524","22.4","40","841"
08/06/2022 1:46:40 PM,"410","22.7","32","841"
08/06/2022 1:51:40 PM,"408","22.5","33","841"
08/06/2022 1:56:40 PM,"571","22.4","33","841"
08/06/2022 2:01:40 PM,"425","22.3","33","841"
08/06/2022 2:06:40 PM,"400","22.2","33","841"
08/06/2022 2:11:40 PM,"414","22.3","34","841"
08/06/2022 2:16:40 PM,"405","22.3","34","841"
08/06/2022 2:21:40 PM,"398","22.3","34","841"
08/06/2022 2:26:40 PM,"401","22.2","34","841"
08/06/2022 2:31:40 PM,"385","22.2","34","841"
08/06/2022 2:36:40 PM,"380","22.2","34","841"
08/06/2022 2:41:40 PM,"374","22.2","34","840"
08/06/2022 2:46:40 PM,"376","22.2","35","840"
08/06/2022 2:51:40 PM,"381","22.2","35","840"
08/06/2022 2:56:40 PM,"379","22.2","35","840"
08/06/2022 3:01:40 PM,"379","22.2","35","840"
08/06/2022 3:06:40 PM,"379","22.2","35","840"
08/06/2022 3:11:40 PM,"388","22.2","35","840"
08/06/2022 3:16:40 PM,"378","22.2","35","840"
08/06/2022 3:21:40 PM,"379","22.1","35","840"
08/06/2022 3:26:40 PM,"371","22.2","35","840"
08/06/2022 3:31:40 PM,"407","22.2","35","840"
08/06/2022 3:36:40 PM,"432","22.2","35","840"
08/06/2022 3:41:40 PM,"389","22.2","36","840"
08/06/2022 3:46:40 PM,"372","22.1","36","840"
08/06/2022 3:51:40 PM,"364","22.1","36","840"
08/06/2022 3:56:40 PM,"381","22.1","36","840"
08/06/2022 4:01:40 PM,"375","22.1","36","840"
08/06/2022 4:06:40 PM,"360","22.0","36","840"
08/06/2022 4:11:40 PM,"348","22.0","36","839"
08/06/2022 4:16:40 PM,"348","22.0","36","840"
08/06/2022 4:21:40 PM,"352","22.0","36","840"
08/06/2022 4:26:40 PM,"341","21.9","36","840"
08/06/2022 4:31:40 PM,"343","21.9","36","839"
08/06/2022 4:36:40 PM,"337","21.9","36","839"
08/06/2022 4:41:40 PM,"341","21.8","36","839"
08/06/2022 4:46:40 PM,"347","21.8","36","839"
08/06/2022 4:51:40 PM,"337","21.8","36","839"
08/06/2022 4:56:40 PM,"338","21.8","36","839"
08/06/2022 5:01:40 PM,"339","21.7","36","839"
08/06/2022 5:06:40 PM,"334","21.7","37","839"
