Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
08/06/2022 1:34:52 PM,"808","21.9","39","841"
08/06/2022 1:39:52 PM,"434","22.3","33","841"
08/06/2022 1:44:52 PM,"404","22.2","33","841"
08/06/2022 1:49:52 PM,"393","22.2","33","841"
08/06/2022 1:54:52 PM,"401","22.1","33","841"
08/06/2022 1:59:52 PM,"425","22.1","33","841"
08/06/2022 2:04:52 PM,"388","22.0","34","841"
08/06/2022 2:09:52 PM,"398","22.1","34","841"
08/06/2022 2:14:52 PM,"394","22.3","34","841"
08/06/2022 2:19:52 PM,"397","22.3","34","841"
08/06/2022 2:24:52 PM,"389","22.3","34","840"
08/06/2022 2:29:52 PM,"392","22.3","34","840"
08/06/2022 2:34:52 PM,"360","22.4","34","840"
08/06/2022 2:39:52 PM,"382","22.4","34","840"
08/06/2022 2:44:52 PM,"376","22.4","34","840"
08/06/2022 2:49:52 PM,"373","22.4","34","840"
08/06/2022 2:54:52 PM,"368","22.4","34","840"
08/06/2022 2:59:52 PM,"379","22.3","35","840"
08/06/2022 3:04:52 PM,"374","22.3","35","840"
08/06/2022 3:09:52 PM,"363","22.3","35","840"
08/06/2022 3:14:52 PM,"367","22.3","35","840"
08/06/2022 3:19:52 PM,"357","22.3","35","840"
08/06/2022 3:24:52 PM,"364","22.2","35","840"
08/06/2022 3:29:52 PM,"448","22.4","36","840"
08/06/2022 3:34:52 PM,"377","22.3","36","840"
08/06/2022 3:39:52 PM,"392","22.3","36","840"
08/06/2022 3:44:52 PM,"372","22.3","36","840"
08/06/2022 3:49:52 PM,"355","22.3","36","840"
08/06/2022 3:54:52 PM,"370","22.2","36","840"
08/06/2022 3:59:52 PM,"358","22.2","36","840"
08/06/2022 4:04:52 PM,"353","22.2","36","840"
08/06/2022 4:09:52 PM,"344","22.2","36","839"
08/06/2022 4:14:52 PM,"338","22.2","36","839"
08/06/2022 4:19:52 PM,"340","22.1","36","839"
08/06/2022 4:24:52 PM,"335","22.1","36","839"
08/06/2022 4:29:52 PM,"339","22.1","36","839"
08/06/2022 4:34:52 PM,"331","22.0","36","839"
08/06/2022 4:39:52 PM,"329","22.0","36","839"
08/06/2022 4:44:52 PM,"330","21.9","36","839"
08/06/2022 4:49:52 PM,"327","21.9","36","839"
08/06/2022 4:54:52 PM,"335","21.9","36","839"
08/06/2022 4:59:52 PM,"330","21.9","37","839"
08/06/2022 5:04:52 PM,"337","21.8","37","839"
08/06/2022 5:09:52 PM,"332","21.8","37","839"
08/06/2022 5:14:52 PM,"343","21.8","37","839"
08/06/2022 5:19:52 PM,"338","21.8","37","839"
08/06/2022 5:24:52 PM,"328","21.7","37","839"
08/06/2022 5:29:52 PM,"335","21.7","37","839"
08/06/2022 5:34:52 PM,"335","21.6","36","839"
08/06/2022 5:39:52 PM,"340","21.5","36","839"
08/06/2022 5:44:52 PM,"330","21.5","36","839"
08/06/2022 5:49:52 PM,"334","21.5","36","839"
08/06/2022 5:54:52 PM,"334","21.4","36","839"
08/06/2022 5:59:52 PM,"329","21.4","36","839"
08/06/2022 6:04:52 PM,"346","21.4","36","839"
08/06/2022 6:09:52 PM,"345","21.4","36","839"
08/06/2022 6:14:52 PM,"328","21.4","36","839"
08/06/2022 6:19:52 PM,"337","21.3","36","839"
08/06/2022 6:24:52 PM,"332","21.3","36","839"
08/06/2022 6:29:52 PM,"333","21.3","36","839"
08/06/2022 6:34:52 PM,"327","21.3","36","839"
08/06/2022 6:39:52 PM,"332","21.3","35","839"
08/06/2022 6:44:52 PM,"330","21.2","35","839"
08/06/2022 6:49:52 PM,"340","21.2","35","839"
08/06/2022 6:54:52 PM,"335","21.3","35","839"
08/06/2022 6:59:52 PM,"329","21.5","35","839"
08/06/2022 7:04:52 PM,"322","21.6","35","839"
08/06/2022 7:09:52 PM,"342","21.7","35","839"
08/06/2022 7:14:52 PM,"335","21.8","35","839"
08/06/2022 7:19:52 PM,"331","21.7","35","839"
08/06/2022 7:24:52 PM,"332","21.7","35","839"
08/06/2022 7:29:52 PM,"336","21.6","35","839"
08/06/2022 7:34:52 PM,"335","21.6","35","839"
08/06/2022 7:39:52 PM,"332","21.5","35","839"
08/06/2022 7:44:52 PM,"342","21.5","35","839"
08/06/2022 7:49:52 PM,"337","21.5","35","839"
08/06/2022 7:54:52 PM,"323","21.5","35","839"
08/06/2022 7:59:52 PM,"337","21.4","35","839"
08/06/2022 8:04:52 PM,"329","21.4","35","839"
08/06/2022 8:09:52 PM,"337","21.4","35","839"
08/06/2022 8:14:52 PM,"337","21.4","35","839"
08/06/2022 8:19:52 PM,"336","21.4","35","839"
08/06/2022 8:24:52 PM,"337","21.4","35","839"
08/06/2022 8:29:52 PM,"337","21.4","35","839"
08/06/2022 8:34:52 PM,"339","21.4","35","839"
08/06/2022 8:39:52 PM,"342","21.3","35","839"
08/06/2022 8:44:52 PM,"343","21.3","36","839"
08/06/2022 8:49:52 PM,"343","21.3","36","839"
08/06/2022 8:54:52 PM,"342","21.4","36","839"
08/06/2022 8:59:52 PM,"331","21.4","36","839"
08/06/2022 9:04:52 PM,"338","21.5","36","839"
08/06/2022 9:09:52 PM,"344","21.5","36","839"
08/06/2022 9:14:52 PM,"338","21.6","36","839"
08/06/2022 9:19:52 PM,"334","21.5","36","839"
08/06/2022 9:24:52 PM,"344","21.5","36","839"
08/06/2022 9:29:52 PM,"335","21.4","36","839"
08/06/2022 9:34:52 PM,"343","21.4","36","840"
08/06/2022 9:39:52 PM,"331","21.4","36","840"
08/06/2022 9:44:52 PM,"347","21.4","36","839"
08/06/2022 9:49:52 PM,"341","21.3","36","840"
08/06/2022 9:54:52 PM,"347","21.3","36","840"
08/06/2022 9:59:52 PM,"345","21.3","36","840"
08/06/2022 10:04:52 PM,"337","21.3","36","840"
08/06/2022 10:09:52 PM,"334","21.3","36","840"
08/06/2022 10:14:52 PM,"339","21.2","36","840"
08/06/2022 10:19:52 PM,"336","21.2","36","840"
08/06/2022 10:24:52 PM,"340","21.3","36","840"
08/06/2022 10:29:52 PM,"348","21.3","36","840"
08/06/2022 10:34:52 PM,"338","21.4","36","839"
08/06/2022 10:39:52 PM,"341","21.5","36","839"
08/06/2022 10:44:52 PM,"350","21.5","36","839"
08/06/2022 10:49:52 PM,"340","21.5","36","839"
08/06/2022 10:54:52 PM,"340","21.5","36","839"
08/06/2022 10:59:52 PM,"351","21.4","36","839"
08/06/2022 11:04:52 PM,"332","21.4","37","839"
08/06/2022 11:09:52 PM,"344","21.4","37","839"
08/06/2022 11:14:52 PM,"348","21.3","37","839"
08/06/2022 11:19:52 PM,"339","21.3","37","839"
08/06/2022 11:24:52 PM,"350","21.3","37","839"
08/06/2022 11:29:52 PM,"343","21.3","37","839"
08/06/2022 11:34:52 PM,"346","21.3","37","839"
08/06/2022 11:39:52 PM,"349","21.2","38","839"
08/06/2022 11:44:52 PM,"371","21.3","38","839"
08/06/2022 11:49:52 PM,"350","21.3","38","839"
08/06/2022 11:54:52 PM,"370","21.3","38","839"
08/06/2022 11:59:52 PM,"373","21.4","38","839"
09/06/2022 12:04:52 AM,"367","21.5","38","839"
09/06/2022 12:09:52 AM,"380","21.5","38","839"
09/06/2022 12:14:52 AM,"366","21.5","38","839"
09/06/2022 12:19:52 AM,"378","21.4","38","839"
09/06/2022 12:24:52 AM,"370","21.4","38","839"
09/06/2022 12:29:52 AM,"367","21.3","38","839"
09/06/2022 12:34:52 AM,"364","21.3","38","839"
09/06/2022 12:39:52 AM,"368","21.2","38","839"
09/06/2022 12:44:52 AM,"368","21.2","38","839"
09/06/2022 12:49:52 AM,"362","21.2","38","839"
09/06/2022 12:54:52 AM,"376","21.2","38","839"
09/06/2022 12:59:52 AM,"374","21.2","38","839"
09/06/2022 1:04:52 AM,"372","21.2","38","839"
09/06/2022 1:09:52 AM,"366","21.2","38","839"
09/06/2022 1:14:52 AM,"376","21.3","38","838"
09/06/2022 1:19:52 AM,"380","21.4","38","839"
09/06/2022 1:24:52 AM,"357","21.4","38","838"
09/06/2022 1:29:52 AM,"357","21.4","38","838"
09/06/2022 1:34:52 AM,"372","21.3","38","838"
09/06/2022 1:39:52 AM,"365","21.3","37","838"
09/06/2022 1:44:52 AM,"359","21.2","37","838"
09/06/2022 1:49:52 AM,"358","21.2","37","838"
09/06/2022 1:54:52 AM,"345","21.2","37","838"
09/06/2022 1:59:52 AM,"346","21.2","37","838"
09/06/2022 2:04:52 AM,"350","21.2","37","838"
09/06/2022 2:09:52 AM,"342","21.3","37","838"
09/06/2022 2:14:52 AM,"339","21.4","36","838"
09/06/2022 2:19:52 AM,"351","21.4","36","838"
09/06/2022 2:24:52 AM,"347","21.4","36","838"
09/06/2022 2:29:52 AM,"349","21.3","36","838"
09/06/2022 2:34:52 AM,"354","21.3","36","838"
09/06/2022 2:39:52 AM,"353","21.3","36","838"
09/06/2022 2:44:52 AM,"356","21.2","36","838"
09/06/2022 2:49:52 AM,"365","21.2","36","838"
09/06/2022 2:54:52 AM,"358","21.2","37","838"
09/06/2022 2:59:52 AM,"350","21.2","37","838"
09/06/2022 3:04:52 AM,"362","21.3","37","838"
09/06/2022 3:09:52 AM,"365","21.4","37","838"
09/06/2022 3:14:52 AM,"354","21.4","37","838"
09/06/2022 3:19:52 AM,"364","21.4","37","838"
09/06/2022 3:24:52 AM,"366","21.3","37","838"
09/06/2022 3:29:52 AM,"361","21.3","37","838"
