Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
08/06/2022 1:43:52 PM,"464","22.3","37","841"
08/06/2022 1:48:52 PM,"459","22.5","32","841"
08/06/2022 1:53:52 PM,"423","22.4","32","841"
08/06/2022 1:58:52 PM,"434","22.3","32","841"
08/06/2022 2:03:52 PM,"404","22.4","33","841"
08/06/2022 2:08:52 PM,"379","22.4","33","841"
08/06/2022 2:13:52 PM,"375","22.3","34","840"
08/06/2022 2:18:52 PM,"377","22.2","34","841"
08/06/2022 2:23:52 PM,"370","22.2","34","840"
08/06/2022 2:28:52 PM,"377","22.1","34","840"
08/06/2022 2:33:52 PM,"368","22.1","34","840"
08/06/2022 2:38:52 PM,"361","22.1","34","840"
08/06/2022 2:43:52 PM,"363","22.1","34","840"
08/06/2022 2:48:52 PM,"374","22.0","34","840"
08/06/2022 2:53:52 PM,"353","22.0","35","840"
08/06/2022 2:58:52 PM,"366","22.0","35","840"
08/06/2022 3:03:52 PM,"370","22.0","35","840"
08/06/2022 3:08:52 PM,"366","22.0","35","840"
08/06/2022 3:13:52 PM,"359","22.0","35","840"
08/06/2022 3:18:52 PM,"369","22.0","35","840"
08/06/2022 3:23:52 PM,"354","22.0","35","840"
08/06/2022 3:28:52 PM,"390","22.1","35","840"
08/06/2022 3:33:52 PM,"369","22.1","36","840"
08/06/2022 3:38:52 PM,"385","22.1","35","840"
08/06/2022 3:43:52 PM,"366","22.0","36","840"
08/06/2022 3:48:52 PM,"362","22.0","36","840"
08/06/2022 3:53:52 PM,"353","22.0","36","840"
08/06/2022 3:58:52 PM,"356","22.0","36","839"
08/06/2022 4:03:52 PM,"357","21.9","36","839"
08/06/2022 4:08:52 PM,"345","22.0","36","839"
08/06/2022 4:13:52 PM,"338","21.9","36","839"
08/06/2022 4:18:52 PM,"341","22.0","36","839"
08/06/2022 4:23:52 PM,"330","21.9","36","839"
08/06/2022 4:28:52 PM,"331","21.9","36","839"
08/06/2022 4:33:52 PM,"326","21.9","36","839"
08/06/2022 4:38:52 PM,"326","21.8","36","839"
08/06/2022 4:43:52 PM,"322","21.8","36","839"
08/06/2022 4:48:52 PM,"328","21.8","36","839"
08/06/2022 4:53:52 PM,"316","21.8","36","839"
08/06/2022 4:58:52 PM,"325","21.8","36","839"
08/06/2022 5:03:52 PM,"325","21.7","36","839"
08/06/2022 5:08:52 PM,"326","21.7","36","839"
08/06/2022 5:13:52 PM,"324","21.7","36","839"
08/06/2022 5:18:52 PM,"332","21.7","36","839"
08/06/2022 5:23:52 PM,"322","21.6","36","839"
08/06/2022 5:28:52 PM,"324","21.6","36","839"
