Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
08/06/2022 1:47:06 PM,"736","22.0","38","841"
08/06/2022 1:52:06 PM,"439","22.4","31","841"
08/06/2022 1:57:06 PM,"448","22.4","32","841"
08/06/2022 2:02:06 PM,"398","22.4","32","841"
08/06/2022 2:07:06 PM,"394","22.5","34","841"
08/06/2022 2:12:06 PM,"383","22.4","33","841"
08/06/2022 2:17:06 PM,"390","22.3","33","841"
08/06/2022 2:22:06 PM,"394","22.2","33","841"
08/06/2022 2:27:06 PM,"376","22.2","33","841"
08/06/2022 2:32:06 PM,"381","22.2","33","840"
08/06/2022 2:37:06 PM,"373","22.2","33","840"
08/06/2022 2:42:06 PM,"378","22.2","33","840"
08/06/2022 2:47:06 PM,"382","22.2","34","840"
08/06/2022 2:52:06 PM,"379","22.2","34","840"
08/06/2022 2:57:06 PM,"366","22.2","34","840"
08/06/2022 3:02:06 PM,"376","22.1","34","840"
08/06/2022 3:07:06 PM,"388","22.1","34","840"
08/06/2022 3:12:06 PM,"388","22.1","34","840"
08/06/2022 3:17:06 PM,"375","22.1","34","840"
08/06/2022 3:22:06 PM,"366","22.1","35","840"
08/06/2022 3:27:06 PM,"396","22.1","35","840"
08/06/2022 3:32:06 PM,"385","22.1","35","840"
08/06/2022 3:37:06 PM,"414","22.2","35","840"
08/06/2022 3:42:06 PM,"382","22.1","35","840"
08/06/2022 3:47:06 PM,"362","22.1","35","840"
08/06/2022 3:52:06 PM,"365","22.1","36","840"
08/06/2022 3:57:06 PM,"370","22.1","36","840"
08/06/2022 4:02:06 PM,"362","22.1","36","840"
08/06/2022 4:07:06 PM,"364","22.0","36","839"
08/06/2022 4:12:06 PM,"343","22.0","36","839"
08/06/2022 4:17:06 PM,"349","22.0","36","839"
08/06/2022 4:22:06 PM,"347","22.0","36","839"
08/06/2022 4:27:06 PM,"335","21.9","36","839"
08/06/2022 4:32:06 PM,"336","21.9","36","839"
08/06/2022 4:37:06 PM,"343","21.9","36","839"
08/06/2022 4:42:06 PM,"335","21.8","36","839"
08/06/2022 4:47:06 PM,"345","21.8","36","839"
08/06/2022 4:52:06 PM,"334","21.8","36","839"
08/06/2022 4:57:06 PM,"332","21.8","36","839"
08/06/2022 5:02:06 PM,"337","21.7","37","839"
08/06/2022 5:07:06 PM,"341","21.7","37","839"
08/06/2022 5:12:06 PM,"334","21.7","37","839"
08/06/2022 5:17:06 PM,"349","21.7","37","839"
08/06/2022 5:22:06 PM,"341","21.6","37","839"
08/06/2022 5:27:06 PM,"338","21.6","36","839"
08/06/2022 5:32:06 PM,"332","21.5","36","839"
08/06/2022 5:37:06 PM,"345","21.5","36","839"
08/06/2022 5:42:06 PM,"343","21.4","36","839"
08/06/2022 5:47:06 PM,"331","21.4","36","839"
08/06/2022 5:52:06 PM,"338","21.3","36","839"
08/06/2022 5:57:06 PM,"334","21.3","36","839"
08/06/2022 6:02:06 PM,"331","21.3","36","839"
08/06/2022 6:07:06 PM,"335","21.3","36","839"
08/06/2022 6:12:06 PM,"330","21.3","36","839"
08/06/2022 6:17:06 PM,"335","21.3","36","839"
08/06/2022 6:22:06 PM,"330","21.2","36","839"
08/06/2022 6:27:06 PM,"339","21.2","36","839"
08/06/2022 6:32:06 PM,"332","21.2","36","839"
08/06/2022 6:37:06 PM,"336","21.2","35","839"
08/06/2022 6:42:06 PM,"340","21.2","35","839"
08/06/2022 6:47:06 PM,"340","21.2","35","839"
08/06/2022 6:52:06 PM,"350","21.2","35","839"
08/06/2022 6:57:06 PM,"332","21.3","35","839"
08/06/2022 7:02:06 PM,"335","21.5","35","839"
08/06/2022 7:07:06 PM,"341","21.6","35","839"
08/06/2022 7:12:06 PM,"335","21.7","35","839"
08/06/2022 7:17:06 PM,"348","21.7","35","839"
08/06/2022 7:22:06 PM,"330","21.7","35","839"
08/06/2022 7:27:06 PM,"343","21.6","35","839"
08/06/2022 7:32:06 PM,"336","21.6","35","839"
08/06/2022 7:37:06 PM,"338","21.5","35","839"
