Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
08/06/2022 1:40:19 PM,"564","22.4","44","841"
08/06/2022 1:45:19 PM,"422","22.9","33","841"
08/06/2022 1:50:19 PM,"400","22.6","33","841"
08/06/2022 1:55:19 PM,"405","22.4","33","841"
08/06/2022 2:00:19 PM,"410","22.3","33","841"
08/06/2022 2:05:19 PM,"405","22.3","34","841"
08/06/2022 2:10:19 PM,"418","22.3","34","841"
08/06/2022 2:15:19 PM,"404","22.2","34","841"
08/06/2022 2:20:19 PM,"395","22.7","34","841"
08/06/2022 2:25:19 PM,"398","22.5","34","840"
08/06/2022 2:30:19 PM,"394","22.4","34","840"
08/06/2022 2:35:19 PM,"366","22.3","35","840"
08/06/2022 2:40:19 PM,"372","22.3","35","840"
08/06/2022 2:45:19 PM,"369","22.3","35","840"
08/06/2022 2:50:19 PM,"378","22.2","35","840"
08/06/2022 2:55:19 PM,"369","22.3","36","840"
08/06/2022 3:00:19 PM,"381","22.2","36","840"
08/06/2022 3:05:19 PM,"366","22.2","36","840"
08/06/2022 3:10:19 PM,"368","22.2","36","840"
08/06/2022 3:15:19 PM,"387","22.2","36","840"
08/06/2022 3:20:19 PM,"368","22.2","36","840"
08/06/2022 3:25:19 PM,"379","22.1","36","840"
08/06/2022 3:30:19 PM,"397","22.2","36","840"
08/06/2022 3:35:19 PM,"431","22.1","36","840"
08/06/2022 3:40:19 PM,"395","22.1","36","840"
08/06/2022 3:45:19 PM,"368","22.1","36","840"
08/06/2022 3:50:19 PM,"371","22.1","36","840"
08/06/2022 3:55:19 PM,"361","22.0","36","840"
08/06/2022 4:00:19 PM,"370","22.0","36","840"
08/06/2022 4:05:19 PM,"356","22.0","36","839"
08/06/2022 4:10:19 PM,"352","22.0","36","839"
08/06/2022 4:15:19 PM,"347","22.0","36","839"
08/06/2022 4:20:19 PM,"351","22.0","36","839"
08/06/2022 4:25:19 PM,"336","21.9","36","839"
08/06/2022 4:30:19 PM,"338","21.9","36","839"
08/06/2022 4:35:19 PM,"336","21.9","36","839"
08/06/2022 4:40:19 PM,"338","21.8","36","839"
08/06/2022 4:45:19 PM,"341","21.8","36","839"
08/06/2022 4:50:19 PM,"335","21.8","36","839"
08/06/2022 4:55:19 PM,"337","21.8","36","839"
08/06/2022 5:00:19 PM,"337","21.8","36","839"
08/06/2022 5:05:19 PM,"340","21.7","37","839"
08/06/2022 5:10:19 PM,"341","21.7","37","839"
08/06/2022 5:15:19 PM,"343","21.7","37","839"
08/06/2022 5:20:19 PM,"334","21.7","36","839"
08/06/2022 5:25:19 PM,"335","21.6","36","839"
08/06/2022 5:30:19 PM,"337","21.6","36","839"
08/06/2022 5:35:19 PM,"340","21.5","36","839"
08/06/2022 5:40:19 PM,"341","21.5","36","839"
08/06/2022 5:45:19 PM,"339","21.4","36","839"
08/06/2022 5:50:19 PM,"344","21.4","36","839"
08/06/2022 5:55:19 PM,"348","21.3","36","839"
08/06/2022 6:00:19 PM,"337","21.3","36","839"
08/06/2022 6:05:19 PM,"334","21.3","36","839"
08/06/2022 6:10:19 PM,"337","21.3","36","839"
08/06/2022 6:15:19 PM,"332","21.3","36","839"
08/06/2022 6:20:19 PM,"350","21.3","36","839"
08/06/2022 6:25:19 PM,"341","21.3","36","839"
08/06/2022 6:30:19 PM,"331","21.2","35","839"
08/06/2022 6:35:19 PM,"339","21.3","35","839"
08/06/2022 6:40:19 PM,"332","21.2","35","839"
08/06/2022 6:45:19 PM,"336","21.2","35","839"
08/06/2022 6:50:19 PM,"335","21.2","35","839"
08/06/2022 6:55:19 PM,"339","21.3","35","839"
08/06/2022 7:00:19 PM,"342","21.5","35","839"
08/06/2022 7:05:19 PM,"338","21.6","35","839"
08/06/2022 7:10:19 PM,"345","21.7","35","839"
08/06/2022 7:15:19 PM,"343","21.7","35","839"
08/06/2022 7:20:19 PM,"337","21.8","35","839"
08/06/2022 7:25:19 PM,"340","21.7","35","839"
08/06/2022 7:30:19 PM,"350","21.6","35","839"
08/06/2022 7:35:19 PM,"345","21.5","35","839"
08/06/2022 7:40:19 PM,"346","21.5","35","839"
08/06/2022 7:45:19 PM,"339","21.4","35","839"
08/06/2022 7:50:19 PM,"335","21.4","35","839"
08/06/2022 7:55:19 PM,"337","21.4","35","839"
08/06/2022 8:00:19 PM,"341","21.4","35","839"
08/06/2022 8:05:19 PM,"350","21.4","35","839"
08/06/2022 8:10:19 PM,"352","21.3","35","839"
08/06/2022 8:15:19 PM,"351","21.3","35","839"
08/06/2022 8:20:19 PM,"340","21.3","35","839"
08/06/2022 8:25:19 PM,"349","21.3","35","839"
08/06/2022 8:30:19 PM,"346","21.3","35","839"
08/06/2022 8:35:19 PM,"346","21.3","35","839"
08/06/2022 8:40:19 PM,"356","21.3","35","839"
08/06/2022 8:45:19 PM,"348","21.3","35","839"
08/06/2022 8:50:19 PM,"345","21.3","35","839"
08/06/2022 8:55:19 PM,"350","21.3","35","839"
08/06/2022 9:00:19 PM,"354","21.4","35","839"
08/06/2022 9:05:19 PM,"352","21.5","35","839"
08/06/2022 9:10:19 PM,"346","21.5","35","839"
08/06/2022 9:15:19 PM,"354","21.5","35","839"
08/06/2022 9:20:19 PM,"346","21.5","36","839"
